start,end,duration,command
0.0,2.6089999999967404,2.6089999999967404,STOP
2.6089999999967404,29.84299999999348,27.23399999999674,ROT_RIGHT
29.84299999999348,34.0,4.157000000006519,STOP
34.0,35.921999999991385,1.9219999999913853,ROT_RIGHT
35.921999999991385,41.48399999999674,5.562000000005355,STOP
41.48399999999674,43.671999999991385,2.187999999994645,FWD
43.671999999991385,49.296999999991385,5.625,STOP
49.296999999991385,50.46799999999348,1.1710000000020955,FWD
50.46799999999348,57.23399999999674,6.76600000000326,STOP
57.23399999999674,59.437000000005355,2.2030000000086147,ROT_RIGHT
59.437000000005355,63.639999999984866,4.202999999979511,STOP
63.639999999984866,66.67199999999139,3.0320000000065193,FWD
66.67199999999139,72.125,5.453000000008615,STOP
72.125,74.375,2.25,ROT_LEFT
74.375,80.0,5.625,STOP
80.0,82.20299999997951,2.202999999979511,ROT_RIGHT
82.20299999997951,86.38999999998487,4.187000000005355,STOP
86.38999999998487,89.71799999999348,3.3280000000086147,FWD
89.71799999999348,95.09299999999348,5.375,STOP
95.09299999999348,97.18700000000536,2.0940000000118744,ROT_LEFT
97.18700000000536,102.71799999999348,5.530999999988126,STOP
102.71799999999348,104.73399999999674,2.0160000000032596,ROT_RIGHT
104.73399999999674,109.0,4.26600000000326,STOP
109.0,112.04699999999139,3.0469999999913853,FWD
112.04699999999139,117.48399999999674,5.437000000005355,STOP
117.48399999999674,119.40599999998813,1.9219999999913853,ROT_LEFT
119.40599999998813,124.93700000000536,5.5310000000172295,STOP
124.93700000000536,126.59299999999348,1.6559999999881256,ROT_RIGHT
126.59299999999348,130.78099999998813,4.187999999994645,STOP
130.78099999998813,132.375,1.5940000000118744,FWD
132.375,137.79699999999139,5.421999999991385,STOP
137.79699999999139,139.59299999999348,1.7960000000020955,ROT_LEFT
139.59299999999348,145.13999999998487,5.546999999991385,STOP
145.13999999998487,151.875,6.735000000015134,FWD
151.875,152.93700000000536,1.062000000005355,STOP
