start,end,duration,state,phase
0.0,2.4059999999881256,2.4059999999881256,STARTUP,Startup
2.4059999999881256,2.5309999999881256,0.125,PRECHECK,Startup
2.5309999999881256,2.640999999974156,0.10999999998603016,SEARCH_SWEEP,Acquire Pallet
2.640999999974156,3.312999999994645,0.6720000000204891,ACQUIRE_VERIFY,Acquire Pallet
3.312999999994645,5.562999999994645,2.25,FACE_ROTATE,Acquire Pallet
5.562999999994645,9.375,3.812000000005355,FACE_SETTLE,Acquire Pallet
9.375,10.030999999988126,0.6559999999881256,STANDOFF_VERIFY,Set Standoff
10.030999999988126,15.405999999988126,5.375,STANDOFF_MOVE,Set Standoff
15.405999999988126,19.23499999998603,3.8289999999979045,STANDOFF_SETTLE,Set Standoff
19.23499999998603,20.155999999988126,0.9210000000020955,STANDOFF_VERIFY,Set Standoff
20.155999999988126,21.125,0.9690000000118744,STAGING_PLAN,Plan Approach
21.125,23.125,2.0,WAYPOINT_TURN,Execute Approach
23.125,26.875,3.75,WAYPOINT_TURN_SETTLE,Execute Approach
26.875,30.20299999997951,3.327999999979511,WAYPOINT_DRIVE,Execute Approach
30.20299999997951,33.98499999998603,3.7820000000065193,WAYPOINT_DRIVE_SETTLE,Execute Approach
33.98499999998603,34.687999999994645,0.7030000000086147,STAGING_PLAN,Plan Approach
34.687999999994645,36.812999999994645,2.125,RECENTER_ROTATE,Execute Approach
36.812999999994645,40.515999999974156,3.702999999979511,RECENTER_SETTLE,Execute Approach
40.515999999974156,41.25,0.7340000000258442,STAGING_PLAN,Plan Approach
41.25,42.84399999998277,1.5939999999827705,WAYPOINT_TURN,Execute Approach
42.84399999998277,46.546999999991385,3.7030000000086147,WAYPOINT_TURN_SETTLE,Execute Approach
46.546999999991385,50.562999999994645,4.01600000000326,WAYPOINT_DRIVE,Execute Approach
50.562999999994645,54.20299999997951,3.639999999984866,WAYPOINT_DRIVE_SETTLE,Execute Approach
54.20299999997951,54.98499999998603,0.7820000000065193,STAGING_PLAN,Plan Approach
54.98499999998603,56.57799999997951,1.5929999999934807,WAYPOINT_TURN,Execute Approach
56.57799999997951,61.030999999988126,4.453000000008615,WAYPOINT_TURN_SETTLE,Execute Approach
61.030999999988126,63.640999999974156,2.60999999998603,WAYPOINT_DRIVE,Execute Approach
63.640999999974156,67.29699999999139,3.6560000000172295,WAYPOINT_DRIVE_SETTLE,Execute Approach
67.29699999999139,68.04699999999139,0.75,FINAL_POSE_LOCK,Execute Approach
68.04699999999139,69.43799999999464,1.3910000000032596,FINAL_ROTATE,Execute Approach
69.43799999999464,73.20299999997951,3.764999999984866,FINAL_SETTLE,Execute Approach
73.20299999997951,73.90599999998813,0.7030000000086147,FINAL_POSE_LOCK,Execute Approach
73.90599999998813,75.23499999998603,1.3289999999979045,FINAL_ROTATE,Execute Approach
75.23499999998603,78.95299999997951,3.7179999999934807,FINAL_SETTLE,Execute Approach
78.95299999997951,79.70299999997951,0.75,FINAL_POSE_LOCK,Execute Approach
79.70299999997951,85.98499999998603,6.282000000006519,INSERT_DRIVE,Insert Forks
85.98499999998603,86.90599999998813,0.9210000000020955,RECOVER_VISUAL,Insert Forks
