t_iso,t_mono,frame_i,fsm_state,align_sub,det_ok,pos_x,pos_y,pos_z,yaw_deg,yaw_model_raw_deg,width_m,fps,rot_stop_command,rot_stop_mode,rot_stop_measured_rate_deg_s,rot_stop_effective_rate_deg_s,rot_stop_error_deg,rot_post_stop_deg,rot_post_stop_peak_abs_deg
2026-09-06T17:15:42.296,184766.593000,1,PRECHECK,PRECHECK,1,0.362835,0.294996,3.129757,-23.7382,-23.7382,1.1000,1.91,,,,,,,
2026-09-06T17:15:42.451,184766.750000,2,PRECHECK,PRECHECK,1,0.278100,0.388700,3.853696,-41.9379,-41.9379,1.1000,0.75,,,,,,,
2026-09-06T17:15:42.656,184766.953000,4,PRECHECK,PRECHECK,1,0.275007,0.389187,3.841606,-41.1061,-41.1061,1.1000,0.75,,,,,,,
2026-09-06T17:15:42.780,184767.078000,5,PRECHECK,PRECHECK,1,0.276457,0.389577,3.846712,-41.1643,-41.1643,1.1000,0.75,,,,,,,
2026-09-06T17:15:42.964,184767.250000,7,PRECHECK,PRECHECK,1,0.275002,0.388181,3.833434,-40.7101,-40.7101,1.1000,9.45,,,,,,,
2026-09-06T17:15:43.064,184767.359000,8,PRECHECK,PRECHECK,1,0.275720,0.388640,3.836801,-40.8855,-40.8855,1.1000,9.45,,,,,,,
2026-09-06T17:15:43.175,184767.468000,9,PRECHECK,PRECHECK,1,0.274313,0.387211,3.827968,-40.5872,-40.5872,1.1000,9.45,,,,,,,
2026-09-06T17:15:43.288,184767.578000,10,PRECHECK,PRECHECK,1,0.274574,0.388206,3.831845,-40.6677,-40.6677,1.1000,9.45,,,,,,,
2026-09-06T17:15:43.388,184767.687000,11,PRECHECK,PRECHECK,1,0.275454,0.387294,3.833256,-40.4863,-40.4863,1.1000,9.45,,,,,,,
2026-09-06T17:15:43.565,184767.859000,13,PRECHECK,PRECHECK,1,0.274310,0.388005,3.830326,-40.3415,-40.3415,1.1000,9.90,,,,,,,
2026-09-06T17:15:43.741,184768.031000,15,PRECHECK,PRECHECK,1,0.273646,0.387894,3.828897,-40.4854,-40.4854,1.1000,9.90,,,,,,,
2026-09-06T17:15:43.914,184768.203000,17,PRECHECK,PRECHECK,1,0.274486,0.387233,3.817882,-40.3650,-40.3650,1.1000,9.90,,,,,,,
2026-09-06T17:15:44.087,184768.375000,19,PRECHECK,PRECHECK,1,0.272432,0.387757,3.822632,-40.3897,-40.3897,1.1000,11.29,,,,,,,
2026-09-06T17:15:44.272,184768.562000,21,PRECHECK,PRECHECK,1,0.273608,0.387050,3.815953,-40.2088,-40.2088,1.1000,11.29,,,,,,,
2026-09-06T17:15:44.441,184768.734000,23,PRECHECK,PRECHECK,1,0.272778,0.387554,3.821553,-40.2984,-40.2984,1.1000,11.29,,,,,,,
2026-09-06T17:15:44.611,184768.906000,25,PRECHECK,PRECHECK,1,0.272814,0.387715,3.822902,-40.2562,-40.2562,1.1000,11.23,,,,,,,
2026-09-06T17:15:44.779,184769.078000,27,PRECHECK,PRECHECK,1,0.271692,0.388469,3.819972,-40.1811,-40.1811,1.1000,11.23,,,,,,,
2026-09-06T17:15:44.949,184769.234000,29,PRECHECK,PRECHECK,1,0.273550,0.386703,3.813712,-40.1466,-40.1466,1.1000,11.23,,,,,,,
2026-09-06T17:15:45.049,184769.343000,30,PRECHECK,PRECHECK,1,0.271686,0.388412,3.819599,-40.1460,-40.1460,1.1000,11.23,,,,,,,
2026-09-06T17:15:45.205,184769.500000,31,PRECHECK,PRECHECK,1,0.273592,0.387972,3.816106,-40.2071,-40.2071,1.1000,10.82,,,,,,,
2026-09-06T17:15:45.387,184769.687000,33,PRECHECK,PRECHECK,1,0.272715,0.387768,3.818255,-40.3147,-40.3147,1.1000,10.82,,,,,,,
2026-09-06T17:15:45.565,184769.859000,35,PRECHECK,PRECHECK,1,0.272800,0.388063,3.821110,-40.2996,-40.2996,1.1000,10.82,,,,,,,
2026-09-06T17:15:45.778,184770.078000,37,PRECHECK,PRECHECK,1,0.272993,0.388578,3.820320,-40.1911,-40.1911,1.1000,10.08,,,,,,,
2026-09-06T17:15:45.894,184770.187000,38,PRECHECK,PRECHECK,1,0.273502,0.386097,3.812492,-40.1545,-40.1545,1.1000,10.08,,,,,,,
2026-09-06T17:15:46.162,184770.453000,40,PRECHECK,PRECHECK,1,0.272784,0.387450,3.821220,-40.2988,-40.2988,1.1000,10.08,,,,,,,
2026-09-06T17:15:46.281,184770.578000,41,PRECHECK,PRECHECK,1,0.272808,0.387086,3.822401,-40.2216,-40.2216,1.1000,7.92,,,,,,,
2026-09-06T17:15:46.512,184770.812000,43,PRECHECK,PRECHECK,1,0.272688,0.387283,3.818621,-40.2792,-40.2792,1.1000,7.92,,,,,,,
2026-09-06T17:15:46.712,184771.000000,45,PRECHECK,PRECHECK,1,0.272826,0.388161,3.822777,-40.2906,-40.2906,1.1000,7.92,,,,,,,
2026-09-06T17:15:46.820,184771.109000,46,PRECHECK,PRECHECK,1,0.273309,0.386730,3.819199,-40.2127,-40.2127,1.1000,9.46,,,,,,,
2026-09-06T17:15:47.019,184771.312000,48,PRECHECK,PRECHECK,1,0.273392,0.387450,3.821549,-40.1957,-40.1957,1.1000,9.46,,,,,,,
2026-09-06T17:15:47.129,184771.421000,49,PRECHECK,PRECHECK,1,0.273981,0.388470,3.825135,-40.3681,-40.3681,1.1000,9.46,,,,,,,
2026-09-06T17:15:47.236,184771.531000,50,PRECHECK,PRECHECK,1,0.273636,0.387557,3.817401,-40.2001,-40.2001,1.1000,9.46,,,,,,,
2026-09-06T17:15:47.445,184771.734000,52,PRECHECK,PRECHECK,1,0.273258,0.388458,3.825926,-40.2541,-40.2541,1.1000,9.53,,,,,,,
2026-09-06T17:15:47.546,184771.843000,53,PRECHECK,PRECHECK,1,0.272529,0.388575,3.826551,-40.2956,-40.2956,1.1000,9.53,,,,,,,
2026-09-06T17:15:47.759,184772.046000,55,PRECHECK,PRECHECK,1,0.270824,0.388791,3.821925,-40.0381,-40.0381,1.1000,9.53,,,,,,,
2026-09-06T17:15:47.869,184772.156000,56,PRECHECK,PRECHECK,1,0.280835,0.395329,3.896613,-39.4988,-39.4988,1.1000,9.51,,,,,,,
2026-09-06T17:15:47.969,184772.265000,57,PRECHECK,PRECHECK,1,0.277672,0.388608,3.841867,-38.8315,-38.8315,1.1000,9.51,,,,,,,
2026-09-06T17:15:48.079,184772.375000,58,PRECHECK,PRECHECK,1,0.323773,0.380055,3.791041,-42.5721,-42.5721,1.1000,9.51,,,,,,,
2026-09-06T17:15:48.243,184772.531000,59,PRECHECK,PRECHECK,0,,,,,,,9.51,,,,,,,
2026-09-06T17:15:48.353,184772.640000,60,PRECHECK,PRECHECK,1,0.291361,0.386569,3.865071,-40.7675,-40.7675,1.1000,9.51,,,,,,,
2026-09-06T17:15:48.462,184772.750000,61,PRECHECK,PRECHECK,1,-0.438446,0.405561,3.913461,39.2246,39.2246,1.1000,8.43,,,,,,,
2026-09-06T17:15:48.562,184772.859000,62,PRECHECK,PRECHECK,1,-0.432015,0.400737,3.880141,37.7982,37.7982,1.1000,8.43,,,,,,,
2026-09-06T17:15:48.762,184773.062000,64,PRECHECK,PRECHECK,1,0.264212,0.388363,3.866675,-40.2810,-40.2810,1.1000,8.43,,,,,,,
2026-09-06T17:15:48.966,184773.265000,66,PRECHECK,PRECHECK,1,0.261297,0.399910,3.934141,-39.8804,-39.8804,1.1000,9.74,,,,,,,
2026-09-06T17:15:49.178,184773.468000,68,PRECHECK,PRECHECK,1,0.261062,0.385830,3.858758,-40.1109,-40.1109,1.1000,9.74,,,,,,,
2026-09-06T17:15:49.279,184773.578000,69,PRECHECK,PRECHECK,1,0.277815,0.380842,3.812936,-40.3069,-40.3069,1.1000,9.74,,,,,,,
2026-09-06T17:15:49.482,184773.781000,71,PRECHECK,PRECHECK,1,0.292912,0.372572,3.688514,-40.1490,-40.1490,1.1000,9.81,,,,,,,
2026-09-06T17:15:49.686,184773.984000,73,PRECHECK,PRECHECK,1,0.298087,0.370403,3.631660,-39.5383,-39.5383,1.1000,9.81,,,,,,,
2026-09-06T17:15:49.876,184774.171000,75,PRECHECK,PRECHECK,1,0.302735,0.364301,3.570857,-39.0192,-39.0192,1.1000,9.81,,,,,,,
2026-09-06T17:15:49.983,184774.281000,76,PRECHECK,PRECHECK,1,0.300997,0.362882,3.566353,-38.9866,-38.9866,1.1000,9.74,,,,,,,
2026-09-06T17:15:50.192,184774.484000,78,PRECHECK,PRECHECK,1,0.307366,0.356067,3.486085,-38.4596,-38.4596,1.1000,9.74,,,,,,,
2026-09-06T17:15:50.395,184774.687000,80,PRECHECK,PRECHECK,1,0.304425,0.360284,3.526504,-38.7393,-38.7393,1.1000,9.74,,,,,,,
2026-09-06T17:15:50.594,184774.890000,82,PRECHECK,PRECHECK,1,0.305669,0.360259,3.517337,-38.5050,-38.5050,1.1000,9.95,,,,,,,
2026-09-06T17:15:50.795,184775.093000,84,PRECHECK,PRECHECK,1,0.315369,0.349872,3.425525,-38.1425,-38.1425,1.1000,9.95,,,,,,,
2026-09-06T17:15:51.002,184775.296000,86,PRECHECK,PRECHECK,1,0.312956,0.350039,3.440567,-38.3228,-38.3228,1.1000,9.80,,,,,,,
