frame_i,t_mono,fsm_state,det_ok,yaw4_deg,x4,y4,z4,reproj4_px,yawm_deg,xm,ym,zm,reprojm_px,n_used
36,20975.953,PRECHECK,1,-2.766959224710871,-0.15858848768098377,0.42697721232359,4.022449989239557,0.4154244911572879,-7.182918553119707,-0.15016284584999084,0.4220263659954071,3.9816222190856934,1.1203203749799724,9.0
37,20976.062,PRECHECK,1,-2.5105536250676876,-0.16106793201101574,0.42351140188875264,4.011666741717164,0.36323079787756146,-6.881939553286439,-0.15310268104076385,0.4191560447216034,3.978384017944336,0.9092262592148188,9.0
38,20976.171,PRECHECK,1,-2.3168084206574537,-0.16241011682213874,0.42304575860037047,4.006441661498068,0.4396902169854872,-6.886309135346846,-0.15440192818641663,0.41916146874427795,3.975919246673584,0.8214411857609486,9.0
39,20976.281,PRECHECK,1,-2.9098567447689305,-0.1615657791962556,0.42553379668922103,4.014940826544644,0.4150470904636576,-7.006088337521369,-0.15393981337547302,0.421380877494812,3.9812865257263184,0.9046613890181446,9.0
40,20976.375,PRECHECK,1,-2.919358006123262,-0.16120317256742706,0.42523926769180576,4.014142426415123,0.385574773622099,-7.179305522810464,-0.15376396477222443,0.4216475486755371,3.987452745437622,0.6321914994497223,9.0
41,20976.468,SEARCH_SWEEP,1,-2.696627597347148,-0.16340911270647465,0.42413469051298636,3.9989640678532963,0.4344350462667161,-6.819071502897902,-0.1563093364238739,0.4210272431373596,3.9752590656280518,0.6116823590145768,9.0
42,20976.562,SEARCH_SWEEP,1,-2.5882831603597216,-0.16289874224044423,0.4226763822505413,3.992418279707969,0.41255311360663616,-6.646048219817128,-0.1555568277835846,0.41880014538764954,3.9623537063598633,0.8513967629265576,9.0
43,20976.671,SEARCH_SWEEP,1,-2.7076632093977357,-0.16244620106359683,0.4217515485275274,3.9872259779230204,0.3788448785546633,-6.821387343827644,-0.15504612028598785,0.4175995886325836,3.954967498779297,0.8809283565726465,9.0
44,20976.765,SEARCH_SWEEP,1,-2.6537012963508566,-0.1636144889894039,0.4230401738387827,3.9914156445178492,0.4242787295577646,-6.687388249351627,-0.15617556869983673,0.418945848941803,3.9585859775543213,0.9467562003661448,9.0
45,20976.875,SEARCH_SWEEP,1,-2.8022051770664667,-0.16210631333545997,0.4237427505937201,3.999406002772135,0.3973857940995025,-6.962016458221874,-0.15467096865177155,0.4197866916656494,3.968597412109375,0.8010584067126372,9.0
46,20976.968,SEARCH_SWEEP,1,-2.8051700500226278,-0.16249441914396776,0.42128905631284713,3.979319904712806,0.4040073721956053,-6.771350686096114,-0.15498888492584229,0.4170040190219879,3.9454474449157715,0.9755388945192636,9.0
47,20977.062,SEARCH_SWEEP,1,-2.7290702763127546,-0.1635396737560563,0.42149326013489646,3.9797589498693977,0.41073561062708563,-6.835617962726347,-0.1560719609260559,0.4175208806991577,3.9486770629882812,0.8554207312461435,9.0
48,20977.156,SEARCH_SWEEP,1,-2.8002825830189715,-0.16086419595449558,0.42607091367521116,4.012232934209094,0.44727561357342727,-6.539632964611435,-0.15308502316474915,0.4208517074584961,3.9673023223876953,1.505576507256776,9.0
49,20977.265,SEARCH_SWEEP,1,-2.607798447895582,-0.1628323042196818,0.4234991456786225,4.004534319542208,0.4671247823605833,-6.725505397361664,-0.15477755665779114,0.418668657541275,3.962787628173828,1.2935261769802233,9.0
50,20977.359,SEARCH_SWEEP,1,-2.5934136094185254,-0.16224207887548286,0.42374580557697866,4.003073626666716,0.45641751494315624,-6.556960326499702,-0.15416967868804932,0.41839972138404846,3.957061767578125,1.5704273810886926,9.0
51,20977.468,SEARCH_SWEEP,1,-2.524080617895658,-0.16368264450215173,0.4227421448060618,3.989329603353874,0.49785122818331207,-6.428147608865783,-0.1557692289352417,0.4178926944732666,3.9473824501037598,1.4404260989779867,9.0
52,20977.546,SEARCH_SWEEP,1,-2.484078030995796,-0.16395928279823876,0.42168436490171674,3.9861885643386743,0.48554822170958845,-6.406735745206007,-0.1561604142189026,0.4168800115585327,3.9440581798553467,1.4423922648049887,9.0
53,20977.656,SEARCH_SWEEP,1,-2.469860810181059,-0.1642557545475633,0.4230516724541307,3.994885312790867,0.4595314891018333,-6.303826056851731,-0.15665553510189056,0.41831687092781067,3.9545819759368896,1.3325148276958614,9.0
54,20977.75,SEARCH_SWEEP,1,-2.215782172275162,-0.16475635193974938,0.4227502986332261,3.993067983282747,0.46075048965659865,-6.078291260892332,-0.15737798810005188,0.4184979796409607,3.958146333694458,1.1594776697146805,9.0
55,20977.843,SEARCH_SWEEP,1,-2.37930409476346,-0.1622577930632009,0.4227809103151934,3.9984269772648107,0.47204349734173673,-6.577170588709106,-0.1541009247303009,0.41784507036209106,3.956080913543701,1.370183130080385,9.0
56,20977.937,SEARCH_SWEEP,1,-2.305548041343069,-0.16376187223409927,0.4216433919008646,3.987524936421229,0.4861981519062776,-6.453304779433793,-0.15579617023468018,0.4169847071170807,3.947315216064453,1.3149928612305375,9.0
57,20978.031,SEARCH_SWEEP,1,-2.3325435896390743,-0.16324171183474873,0.422962108959978,3.995316192216169,0.48783489267739405,-6.580718648175597,-0.1551503688097,0.4182506203651428,3.9542555809020996,1.3157796162665243,9.0
58,20978.14,SEARCH_SWEEP,1,-2.4205452915091756,-0.16272744116945756,0.42291408240976053,3.99802451996238,0.47594369208087106,-6.633578377105847,-0.15462827682495117,0.41815251111984253,3.956801652908325,1.3008333158167131,9.0
59,20978.218,SEARCH_SWEEP,1,-2.4830475496151214,-0.1629800866779984,0.42296233678474787,3.9956919934131845,0.47496031730822974,-6.6182939503079385,-0.1550743728876114,0.4183650016784668,3.9558968544006348,1.2507636473116828,9.0
60,20978.328,SEARCH_SWEEP,1,-2.3906883805759707,-0.1628292646614078,0.42369731942392885,4.010662267440994,0.38721066281743893,-6.417331323048696,-0.1548885852098465,0.4184032082557678,3.967193126678467,1.402068565474884,9.0
61,20978.437,SEARCH_SWEEP,1,-2.398806734396433,-0.16438511033844624,0.42235537742294826,4.002837429715572,0.38899602628786234,-6.431237561461448,-0.15639010071754456,0.41717493534088135,3.960635185241699,1.351377093011341,9.0
62,20978.546,ACQUIRE_VERIFY,1,-2.5272940909887995,-0.16432615409464602,0.42317959757013046,3.9997016901456304,0.3931120976569851,-6.329167914109852,-0.15661855041980743,0.41795191168785095,3.95668625831604,1.4306136521008843,9.0
63,20978.64,ACQUIRE_VERIFY,1,-2.7493072214818537,-0.1617918083764029,0.42310169761186195,4.0128891470675665,0.33463819308668424,-6.505298443172849,-0.1539863795042038,0.4175150394439697,3.9680445194244385,1.4467828373511011,9.0
64,20978.734,ACQUIRE_VERIFY,1,-2.450086821318572,-0.16369404095797324,0.42261414546730675,4.00124840634828,0.39509213372563,-6.382711270046618,-0.1557876467704773,0.4176124930381775,3.961038827896118,1.2885411856139475,9.0
65,20978.828,ACQUIRE_VERIFY,1,-2.609577595846844,-0.16326772721540464,0.42258087840507735,4.000532436496476,0.3865070673026786,-6.815999299138763,-0.15500867366790771,0.417380690574646,3.9585368633270264,1.2642431919446127,9.0
66,20978.921,ACQUIRE_VERIFY,1,-2.3186151374657027,-0.16344601197636455,0.4215797164127935,3.9894798417892545,0.4452943101108481,-6.170178229910367,-0.15549814701080322,0.4163104295730591,3.9454259872436523,1.5855387122309064,9.0
67,20979.031,ACQUIRE_VERIFY,1,-2.393037800667596,-0.16359176436674516,0.42221566070678634,3.9998728204977385,0.4131483224287162,-6.6613828172128295,-0.15517431497573853,0.4168030023574829,3.9552533626556396,1.4369523590989912,9.0
68,20979.14,ACQUIRE_VERIFY,1,-2.3112022954227003,-0.16387983381856303,0.42145020069936756,3.9955968348272886,0.3942988843710481,-6.535143905325943,-0.15554159879684448,0.4161294400691986,3.952831506729126,1.3726851004373177,9.0
69,20979.218,ACQUIRE_VERIFY,1,-2.3295842406559117,-0.16292517950875346,0.4233650181548865,4.005924963735176,0.3864920369001739,-6.648292795060126,-0.1544293910264969,0.41782480478286743,3.9613022804260254,1.4168466785423044,9.0
70,20979.312,ACQUIRE_VERIFY,1,-2.220782439843481,-0.1630798599669837,0.42334171474239046,4.007837491481911,0.4366412136696702,-6.629826637613529,-0.1544458419084549,0.41806092858314514,3.964465856552124,1.3885509393869908,9.0
71,20979.406,ACQUIRE_VERIFY,1,-2.4376435373028835,-0.1625711890973097,0.42382842601127096,4.0098708223657065,0.45536651319836935,-6.760673095939107,-0.15408578515052795,0.4186447858810425,3.966097116470337,1.3776381508402227,9.0
72,20979.5,ACQUIRE_VERIFY,1,-2.3218120996622558,-0.1619233262817404,0.4238743308827091,3.999572164693407,0.47637536681798587,-6.342063567580538,-0.1538611352443695,0.41861167550086975,3.953770637512207,1.637981720965512,9.0
