t_iso,t_mono,frame_i,fsm_state,align_sub,det_ok,pos_x,pos_y,pos_z,yaw_deg,yaw_model_raw_deg,width_m,fps,rot_stop_command,rot_stop_mode,rot_stop_measured_rate_deg_s,rot_stop_effective_rate_deg_s,rot_stop_error_deg,rot_post_stop_deg,rot_post_stop_peak_abs_deg
2026-09-06T16:41:03.357,182687.671000,1,PRECHECK,PRECHECK,0,,,,,,,1.89,,,,,,,
2026-09-06T16:41:03.489,182687.796000,2,SEARCH_SWEEP,SEARCH_SWEEP,1,1.341263,0.445712,5.390635,9.2278,9.2278,1.1000,1.03,,,,,,,
2026-09-06T16:41:03.599,182687.906000,4,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,1.325915,0.434099,5.260993,8.2684,8.2684,1.1000,1.03,,,,,,,
2026-09-06T16:41:03.721,182688.031000,6,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,1.326470,0.427787,5.207695,7.4023,7.4023,1.1000,1.03,,,,,,,
2026-09-06T16:41:03.835,182688.140000,8,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,1.323485,0.425844,5.178536,7.0428,7.0428,1.1000,1.03,,,,,,,
2026-09-06T16:41:03.941,182688.250000,10,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,1.322741,0.426381,5.174940,6.7852,6.7852,1.1000,1.03,,,,,,,
2026-09-06T16:41:04.132,182688.437000,11,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,1.328657,0.427944,5.194503,6.6393,6.6393,1.1000,14.34,,,,,,,
2026-09-06T16:41:04.261,182688.578000,13,FACE_ROTATE,FACE_ROTATE,1,1.331941,0.429584,5.203760,6.5023,6.5023,1.1000,14.34,,,,,,,
2026-09-06T16:41:04.373,182688.687000,15,FACE_ROTATE,FACE_ROTATE,1,1.326909,0.428430,5.181985,6.5378,6.5378,1.1000,14.34,,,,,,,
2026-09-06T16:41:04.484,182688.796000,17,FACE_ROTATE,FACE_ROTATE,1,1.328472,0.428752,5.185343,6.4980,6.4980,1.1000,14.34,,,,,,,
2026-09-06T16:41:04.645,182688.953000,20,FACE_ROTATE,FACE_ROTATE,1,1.330217,0.429521,5.187359,6.6840,6.6840,1.1000,17.02,,,,,,,
2026-09-06T16:41:04.790,182689.109000,22,FACE_ROTATE,FACE_ROTATE,1,1.334804,0.430159,5.202987,6.2261,6.2261,1.1000,17.02,,,,,,,
2026-09-06T16:41:04.946,182689.265000,25,FACE_ROTATE,FACE_ROTATE,1,1.334852,0.429455,5.203153,6.2255,6.2255,1.1000,17.02,,,,,,,
2026-09-06T16:41:05.105,182689.421000,27,FACE_ROTATE,FACE_ROTATE,1,1.334892,0.430469,5.207209,6.2534,6.2534,1.1000,17.02,,,,,,,
2026-09-06T16:41:05.266,182689.578000,30,FACE_ROTATE,FACE_ROTATE,1,1.323930,0.429051,5.198239,6.4815,6.4815,1.1000,15.61,,,,,,,
