t_iso,frame_i,raw_video_frame_index,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-08T16:44:17.992,1,,PRECHECK,PRECHECK,1,,1788853456648.311,,timestamp_domain.system_time,99250593.000,,1,99250625.000,99251703.000,1078.000,1110.000,99251703.000,1110.000,0,0,,,,,,,
2026-09-08T16:44:18.269,2,,SEARCH_SWEEP,SEARCH_SWEEP,48,47,1788853458215.619,1567.308,timestamp_domain.system_time,99251953.000,1360.000,1,99251953.000,99251968.000,15.000,15.000,99251984.000,31.000,1,1,pnp_visible_ransac,9,0.618,-46.7966,-0.758995,6.418096,-6.7444
2026-09-08T16:44:18.374,3,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,51,3,1788853458315.155,99.536,timestamp_domain.system_time,99252046.000,93.000,1,99252046.000,99252078.000,32.000,32.000,99252078.000,32.000,1,1,pnp_visible_ransac,9,0.580,-46.7959,-0.758507,6.422351,-6.7357
2026-09-08T16:44:18.482,4,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,55,4,1788853458448.664,133.509,timestamp_domain.system_time,99252171.000,125.000,1,99252171.000,99252187.000,16.000,16.000,99252187.000,16.000,1,1,pnp_visible_ransac,9,0.605,-46.8556,-0.759509,6.439045,-6.7272
2026-09-08T16:44:18.602,5,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,58,3,1788853458548.943,100.279,timestamp_domain.system_time,99252281.000,110.000,1,99252281.000,99252312.000,31.000,31.000,99252312.000,31.000,1,1,pnp_visible_ransac,9,0.625,-46.7711,-0.757815,6.421918,-6.7300
2026-09-08T16:44:18.702,6,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,59,1,1788853458582.106,33.163,timestamp_domain.system_time,99252390.000,109.000,1,99252390.000,99252406.000,16.000,16.000,99252406.000,16.000,1,1,pnp_visible_ransac,9,0.607,-46.9715,-0.756086,6.426769,-6.7098
2026-09-08T16:44:18.803,7,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,64,5,1788853458748.917,166.811,timestamp_domain.system_time,99252484.000,94.000,1,99252484.000,99252515.000,31.000,31.000,99252515.000,31.000,1,1,pnp_visible_ransac,9,0.667,-47.2389,-0.755205,6.424214,-6.7047
2026-09-08T16:44:18.917,8,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,67,3,1788853458848.918,100.001,timestamp_domain.system_time,99252593.000,109.000,1,99252593.000,99252625.000,32.000,32.000,99252625.000,32.000,1,1,pnp_visible_ransac,9,0.602,-47.3278,-0.758739,6.446368,-6.7128
2026-09-08T16:44:19.017,9,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,71,4,1788853458982.402,133.484,timestamp_domain.system_time,99252703.000,110.000,1,99252703.000,99252718.000,15.000,15.000,99252718.000,15.000,1,1,pnp_visible_ransac,9,0.669,-47.2354,-0.755303,6.424717,-6.7050
2026-09-08T16:44:19.123,10,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,74,3,1788853459082.542,100.140,timestamp_domain.system_time,99252796.000,93.000,1,99252796.000,99252828.000,32.000,32.000,99252828.000,32.000,1,1,pnp_visible_ransac,9,0.624,-47.1414,-0.760689,6.454074,-6.7220
2026-09-08T16:44:19.234,11,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,77,3,1788853459182.340,99.798,timestamp_domain.system_time,99252906.000,110.000,1,99252906.000,99252921.000,15.000,15.000,99252937.000,31.000,1,1,pnp_visible_ransac,9,0.657,-47.3008,-0.754519,6.426575,-6.6962
2026-09-08T16:44:19.336,12,,ACQUIRE_VERIFY,ACQUIRE_VERIFY,80,3,1788853459282.618,100.278,timestamp_domain.system_time,99253015.000,109.000,1,99253015.000,99253046.000,31.000,31.000,99253046.000,31.000,1,1,pnp_visible_ransac,9,0.650,-47.2690,-0.754972,6.425479,-6.7013
