t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-01T17:43:47.317,24,PRECHECK,PRECHECK,105,3,1788252227292.093,99.974,timestamp_domain.system_time,20974953.000,94.000,1,20974953.000,20974953.000,0.000,0.000,20974953.000,0.000,1,1,-1.6827,-0.162618,3.974719,-2.3428
2026-09-01T17:43:47.406,25,PRECHECK,PRECHECK,107,2,1788252227358.792,66.700,timestamp_domain.system_time,20975031.000,78.000,1,20975031.000,20975046.000,15.000,15.000,20975046.000,15.000,1,1,-3.0402,-0.160872,3.982158,-2.3134
2026-09-01T17:43:47.484,26,PRECHECK,PRECHECK,110,3,1788252227458.731,99.938,timestamp_domain.system_time,20975109.000,78.000,1,20975109.000,20975125.000,16.000,16.000,20975125.000,16.000,1,1,-3.7261,-0.159691,3.984296,-2.2952
2026-09-01T17:43:47.559,27,PRECHECK,PRECHECK,112,2,1788252227525.541,66.810,timestamp_domain.system_time,20975187.000,78.000,1,20975187.000,20975203.000,16.000,16.000,20975203.000,16.000,1,1,-2.6038,-0.161619,3.980957,-2.3248
2026-09-01T17:43:47.635,28,PRECHECK,PRECHECK,113,1,1788252227559.877,34.335,timestamp_domain.system_time,20975265.000,78.000,1,20975265.000,20975281.000,16.000,16.000,20975281.000,16.000,1,1,-2.7229,-0.161470,3.980906,-2.3227
2026-09-01T17:43:47.752,29,PRECHECK,PRECHECK,117,4,1788252227692.588,132.711,timestamp_domain.system_time,20975359.000,94.000,1,20975359.000,20975390.000,31.000,31.000,20975390.000,31.000,1,1,-3.4903,-0.160792,3.993604,-2.3056
2026-09-01T17:43:47.832,30,PRECHECK,PRECHECK,120,3,1788252227792.450,99.862,timestamp_domain.system_time,20975453.000,94.000,1,20975453.000,20975468.000,15.000,15.000,20975468.000,15.000,1,1,-2.8528,-0.162477,3.985308,-2.3346
2026-09-01T17:43:47.924,31,PRECHECK,PRECHECK,123,3,1788252227892.784,100.334,timestamp_domain.system_time,20975546.000,93.000,1,20975546.000,20975562.000,16.000,16.000,20975562.000,16.000,1,1,-3.4494,-0.160341,3.981738,-2.3060
2026-09-01T17:43:47.995,32,PRECHECK,PRECHECK,125,2,1788252227959.288,66.504,timestamp_domain.system_time,20975625.000,79.000,1,20975625.000,20975640.000,15.000,15.000,20975640.000,15.000,1,1,-2.2703,-0.162394,3.986860,-2.3325
2026-09-01T17:43:48.076,33,PRECHECK,PRECHECK,127,2,1788252228026.120,66.832,timestamp_domain.system_time,20975687.000,62.000,1,20975687.000,20975718.000,31.000,31.000,20975718.000,31.000,1,1,-3.4756,-0.161398,3.987725,-2.3177
2026-09-01T17:43:48.167,34,PRECHECK,PRECHECK,130,3,1788252228126.147,100.027,timestamp_domain.system_time,20975781.000,94.000,1,20975781.000,20975812.000,31.000,31.000,20975812.000,31.000,1,1,-2.1829,-0.162597,3.985373,-2.3363
2026-09-01T17:43:48.241,35,PRECHECK,PRECHECK,132,2,1788252228192.770,66.623,timestamp_domain.system_time,20975859.000,78.000,1,20975859.000,20975890.000,31.000,31.000,20975890.000,31.000,1,1,-3.0402,-0.160872,3.982158,-2.3134
2026-09-01T17:43:48.336,36,PRECHECK,PRECHECK,135,3,1788252228292.641,99.871,timestamp_domain.system_time,20975953.000,94.000,1,20975968.000,20975984.000,16.000,31.000,20975984.000,31.000,1,1,-3.4527,-0.161119,3.990695,-2.3120
2026-09-01T17:43:48.455,37,PRECHECK,PRECHECK,138,3,1788252228393.251,100.610,timestamp_domain.system_time,20976062.000,109.000,1,20976078.000,20976093.000,15.000,31.000,20976093.000,31.000,1,1,-3.3715,-0.160672,3.996724,-2.3021
