t_iso,t_mono,frame_i,fsm_state,align_sub,det_ok,pos_x,pos_y,pos_z,yaw_deg,yaw_model_raw_deg,width_m,fps,rot_stop_command,rot_stop_mode,rot_stop_measured_rate_deg_s,rot_stop_effective_rate_deg_s,rot_stop_error_deg,rot_post_stop_deg,rot_post_stop_peak_abs_deg
2026-09-06T15:33:43.537,178647.890000,1,PRECHECK,PRECHECK,1,-0.260681,0.408015,3.815747,-16.4982,-16.4982,1.1000,1.90,,,,,,,
2026-09-06T15:33:43.713,178648.062000,3,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,-0.256149,0.411835,3.822362,-16.3090,-16.3090,1.1000,1.10,,,,,,,
2026-09-06T15:33:43.851,178648.203000,4,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,-0.256314,0.412784,3.826596,-16.1585,-16.1585,1.1000,1.10,,,,,,,
2026-09-06T15:33:44.008,178648.359000,6,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,-0.256733,0.413787,3.826647,-16.2099,-16.2099,1.1000,1.10,,,,,,,
2026-09-06T15:33:44.163,178648.515000,8,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,-0.257474,0.414194,3.825750,-16.0408,-16.0408,1.1000,11.15,,,,,,,
2026-09-06T15:33:44.313,178648.671000,10,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,-0.257299,0.414346,3.823325,-16.1430,-16.1430,1.1000,11.15,,,,,,,
2026-09-06T15:33:44.463,178648.812000,12,ACQUIRE_VERIFY,ACQUIRE_VERIFY,1,-0.256894,0.413641,3.817132,-15.8516,-15.8516,1.1000,11.15,,,,,,,
2026-09-06T15:33:44.639,178649.000000,14,FACE_ROTATE,FACE_ROTATE,1,-0.257706,0.414228,3.822485,-15.9018,-15.9018,1.1000,11.15,,,,,,,
2026-09-06T15:33:44.853,178649.203000,16,FACE_ROTATE,FACE_ROTATE,1,-0.257238,0.414838,3.826401,-16.0586,-16.0586,1.1000,12.72,,,,,,,
2026-09-06T15:33:45.032,178649.390000,18,FACE_ROTATE,FACE_ROTATE,1,-0.258563,0.414444,3.822621,-15.8395,-15.8395,1.1000,12.72,,,,,,,
2026-09-06T15:33:45.213,178649.562000,20,FACE_ROTATE,FACE_ROTATE,1,-0.257238,0.414838,3.826401,-16.0586,-16.0586,1.1000,12.72,,,,,,,
2026-09-06T15:33:45.379,178649.734000,22,FACE_ROTATE,FACE_ROTATE,1,-0.257801,0.414502,3.823248,-16.0077,-16.0077,1.1000,10.49,,,,,,,
2026-09-06T15:33:45.548,178649.906000,24,FACE_ROTATE,FACE_ROTATE,1,-0.254298,0.413659,3.820058,-15.9912,-15.9912,1.1000,10.49,,,,,,,
2026-09-06T15:33:45.742,178650.093000,26,FACE_ROTATE,FACE_ROTATE,1,-0.245166,0.414132,3.829790,-15.8259,-15.8259,1.1000,10.49,,,,,,,
2026-09-06T15:33:45.858,178650.218000,27,FACE_ROTATE,FACE_ROTATE,1,-0.224713,0.412831,3.806954,-15.0747,-15.0747,1.1000,10.72,,,,,,,
2026-09-06T15:33:46.021,178650.375000,29,FACE_ROTATE,FACE_ROTATE,1,-0.168567,0.414494,3.821716,-14.7451,-14.7451,1.1000,10.72,,,,,,,
2026-09-06T15:33:46.192,178650.546000,31,FACE_SETTLE,FACE_SETTLE,1,-0.048876,0.413611,3.825472,-13.1619,-13.1619,1.1000,10.72,ROT_LEFT,face,6.5584,6.5584,-2.5255,0.5909,0.5909
2026-09-06T15:33:46.347,178650.703000,33,FACE_SETTLE,FACE_SETTLE,1,0.147704,0.410093,3.846274,-11.1428,-11.1428,1.1000,11.89,ROT_LEFT,face,6.5584,6.5584,-2.5255,2.8548,2.8548
2026-09-06T15:33:46.498,178650.859000,35,FACE_SETTLE,FACE_SETTLE,1,0.235288,0.415069,3.804583,-9.1035,-9.1035,1.1000,11.89,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.9168,5.9168
2026-09-06T15:33:46.687,178651.046000,37,FACE_SETTLE,FACE_SETTLE,1,0.150730,0.409425,3.849525,-11.1005,-11.1005,1.1000,11.89,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.5943,6.0644
2026-09-06T15:33:46.894,178651.250000,39,FACE_SETTLE,FACE_SETTLE,1,0.176682,0.407754,3.833246,-10.7614,-10.7614,1.1000,11.29,ROT_LEFT,face,6.5584,6.5584,-2.5255,4.8866,6.0644
2026-09-06T15:33:47.080,178651.437000,41,FACE_SETTLE,FACE_SETTLE,1,0.164437,0.402854,3.830938,-10.5123,-10.5123,1.1000,11.29,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.1578,6.0644
2026-09-06T15:33:47.336,178651.687000,43,FACE_SETTLE,FACE_SETTLE,1,0.173348,0.406220,3.838232,-10.7572,-10.7572,1.1000,11.29,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0466,6.0644
2026-09-06T15:33:47.457,178651.812000,44,FACE_SETTLE,FACE_SETTLE,1,0.169054,0.404635,3.834144,-10.7769,-10.7769,1.1000,8.99,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.1115,6.0644
2026-09-06T15:33:47.650,178652.000000,46,FACE_SETTLE,FACE_SETTLE,1,0.174067,0.406066,3.837142,-10.8906,-10.8906,1.1000,8.99,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0853,6.0644
2026-09-06T15:33:47.840,178652.187000,48,FACE_SETTLE,FACE_SETTLE,1,0.170167,0.404873,3.836404,-10.8358,-10.8358,1.1000,8.99,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0653,6.0644
2026-09-06T15:33:48.027,178652.375000,50,FACE_SETTLE,FACE_SETTLE,1,0.169566,0.405350,3.840991,-10.5720,-10.5720,1.1000,10.24,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.1023,6.0644
2026-09-06T15:33:48.127,178652.484000,51,FACE_SETTLE,FACE_SETTLE,1,0.169780,0.405912,3.841583,-10.6765,-10.6765,1.1000,10.24,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0533,6.0644
2026-09-06T15:33:48.314,178652.671000,53,FACE_SETTLE,FACE_SETTLE,1,0.171523,0.406390,3.845966,-10.7709,-10.7709,1.1000,10.24,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0955,6.0644
2026-09-06T15:33:48.430,178652.781000,54,FACE_SETTLE,FACE_SETTLE,1,0.171627,0.405524,3.842634,-10.8704,-10.8704,1.1000,10.24,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0791,6.0644
2026-09-06T15:33:48.602,178652.953000,56,FACE_SETTLE,FACE_SETTLE,1,0.172221,0.405329,3.836359,-10.6962,-10.6962,1.1000,10.35,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0954,6.0644
2026-09-06T15:33:48.784,178653.140000,58,FACE_SETTLE,FACE_SETTLE,1,0.173042,0.405873,3.841127,-10.9124,-10.9124,1.1000,10.35,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0709,6.0644
2026-09-06T15:33:48.981,178653.328000,60,FACE_SETTLE,FACE_SETTLE,1,0.170610,0.406085,3.843671,-10.8162,-10.8162,1.1000,10.35,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0848,6.0644
2026-09-06T15:33:49.155,178653.515000,62,FACE_SETTLE,FACE_SETTLE,1,0.172414,0.406311,3.840680,-10.8464,-10.8464,1.1000,10.90,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0701,6.0644
2026-09-06T15:33:49.332,178653.687000,64,FACE_SETTLE,FACE_SETTLE,1,0.171811,0.405650,3.839555,-10.7847,-10.7847,1.1000,10.90,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0958,6.0644
2026-09-06T15:33:49.497,178653.843000,66,FACE_SETTLE,FACE_SETTLE,1,0.172205,0.405309,3.840509,-10.7416,-10.7416,1.1000,10.90,ROT_LEFT,face,6.5584,6.5584,-2.5255,5.0966,6.0644
