t_iso,frame_i,raw_video_frame_index,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-08T17:00:59.387,1,,PRECHECK,PRECHECK,1,,1788854458492.684,,timestamp_domain.system_time,100252281.000,,1,100252281.000,100253093.000,812.000,812.000,100253093.000,812.000,0,0,,,,,,,
2026-09-08T17:00:59.548,2,,SEARCH_SWEEP,SEARCH_SWEEP,31,30,1788854459493.250,1000.566,timestamp_domain.system_time,100253218.000,937.000,1,100253218.000,100253250.000,32.000,32.000,100253250.000,32.000,0,0,,,,,,,
2026-09-08T17:00:59.644,3,,SEARCH_SWEEP,SEARCH_SWEEP,34,3,1788854459593.422,100.172,timestamp_domain.system_time,100253312.000,94.000,1,100253312.000,100253359.000,47.000,47.000,100253359.000,47.000,0,0,,,,,,,
2026-09-08T17:00:59.743,4,,SEARCH_SWEEP,SEARCH_SWEEP,37,3,1788854459693.641,100.219,timestamp_domain.system_time,100253421.000,109.000,1,100253421.000,100253453.000,32.000,32.000,100253453.000,32.000,0,0,,,,,,,
2026-09-08T17:00:59.849,5,,SEARCH_SWEEP,SEARCH_SWEEP,40,3,1788854459793.583,99.942,timestamp_domain.system_time,100253531.000,110.000,1,100253531.000,100253562.000,31.000,31.000,100253562.000,31.000,0,0,,,,,,,
2026-09-08T17:00:59.958,6,,SEARCH_SWEEP,SEARCH_SWEEP,43,3,1788854459893.876,100.293,timestamp_domain.system_time,100253640.000,109.000,1,100253640.000,100253671.000,31.000,31.000,100253671.000,31.000,0,0,,,,,,,
2026-09-08T17:01:00.066,7,,SEARCH_SWEEP,SEARCH_SWEEP,47,4,1788854460027.350,133.474,timestamp_domain.system_time,100253734.000,94.000,1,100253734.000,100253781.000,47.000,47.000,100253781.000,47.000,0,0,,,,,,,
2026-09-08T17:01:00.169,8,,SEARCH_SWEEP,SEARCH_SWEEP,49,2,1788854460094.558,67.208,timestamp_domain.system_time,100253843.000,109.000,1,100253843.000,100253875.000,32.000,32.000,100253875.000,32.000,0,0,,,,,,,
2026-09-08T17:01:00.270,9,,SEARCH_SWEEP,SEARCH_SWEEP,53,4,1788854460227.358,132.800,timestamp_domain.system_time,100253953.000,110.000,1,100253953.000,100253984.000,31.000,31.000,100253984.000,31.000,0,0,,,,,,,
2026-09-08T17:01:00.367,10,,SEARCH_SWEEP,SEARCH_SWEEP,56,3,1788854460327.329,99.971,timestamp_domain.system_time,100254046.000,93.000,1,100254046.000,100254078.000,32.000,32.000,100254078.000,32.000,0,0,,,,,,,
2026-09-08T17:01:00.453,11,,SEARCH_SWEEP,SEARCH_SWEEP,58,2,1788854460394.308,66.978,timestamp_domain.system_time,100254125.000,79.000,1,100254125.000,100254156.000,31.000,31.000,100254156.000,31.000,0,0,,,,,,,
2026-09-08T17:01:00.545,12,,SEARCH_SWEEP,SEARCH_SWEEP,61,3,1788854460494.869,100.562,timestamp_domain.system_time,100254218.000,93.000,1,100254218.000,100254250.000,32.000,32.000,100254250.000,32.000,0,0,,,,,,,
