frame_i,t_mono,fsm_state,det_ok,yaw4_deg,x4,y4,z4,reproj4_px,yawm_deg,xm,ym,zm,reprojm_px,n_used
36,20460.937,PRECHECK,1,-1.3562914008633702,-0.32955785206398225,0.27628343741651484,4.334153530062919,0.09376492177074072,-8.943846732723324,-0.32446274161338806,0.27669110894203186,4.36374044418335,1.6109440054135213,9.0
37,20461.078,PRECHECK,1,-2.365170174262177,-0.3247664029443675,0.2763515776118014,4.31929404468221,0.13298551327229613,-9.292838289037135,-0.3202235996723175,0.2768215835094452,4.347867488861084,1.9144514399017845,9.0
38,20461.171,PRECHECK,1,-2.19056741070792,-0.326152996505232,0.27614015363971894,4.327181793933785,0.10533925713615566,-9.459375440144713,-0.3211487829685211,0.27645960450172424,4.354534149169922,1.8711388662449513,9.0
39,20461.281,PRECHECK,1,-2.790793895487398,-0.3280164284166267,0.2766367282112656,4.332563625434848,0.1434583830814226,-9.329530347102795,-0.32389289140701294,0.2770095467567444,4.359044075012207,1.6698177287374432,9.0
40,20461.39,PRECHECK,1,-2.5337577348563873,-0.32825563398928226,0.27625546495293196,4.327901961850203,0.12538035178232948,-9.33811752839172,-0.3238765597343445,0.27665603160858154,4.355743885040283,1.8327548597033778,9.0
41,20461.484,PRECHECK,1,-1.6483109242412186,-0.3297858198277931,0.275351695146809,4.325001658994491,0.09857050984712493,-9.02819784157067,-0.3250065743923187,0.2758949398994446,4.356634140014648,1.8823571503855827,9.0
42,20461.625,PRECHECK,1,-2.26505995751365,-0.3297496333645595,0.2762484881297592,4.324227538216409,0.12346831817475627,-9.096555698373079,-0.32548218965530396,0.2767987549304962,4.354671955108643,1.974466023642927,9.0
43,20461.765,PRECHECK,1,-2.03009460742069,-0.3296792111704296,0.27611805700424147,4.326487911382254,0.1260580631752733,-9.024024671585972,-0.3253350257873535,0.27670958638191223,4.357656002044678,1.9573759045339043,9.0
44,20461.859,PRECHECK,1,-2.00379362756179,-0.3319275672913883,0.2753668667211781,4.338221200439143,0.13450709985871642,-8.906073889123602,-0.3278919458389282,0.2760307192802429,4.370342254638672,1.8111936948649863,9.0
45,20461.937,PRECHECK,1,-2.014561171402896,-0.3310602449517716,0.2752466085089358,4.334450240506669,0.12562653420244554,-8.810521680281733,-0.32698315382003784,0.2758179306983948,4.365301609039307,1.6352617335558886,9.0
46,20462.078,PRECHECK,1,-2.3410973126103274,-0.32981718484612826,0.2758443857811053,4.333611270171142,0.12227320215200992,-8.997453991740036,-0.32581645250320435,0.27644267678260803,4.364767551422119,1.7196127575704594,9.0
47,20462.171,PRECHECK,1,-2.108866585151921,-0.33104458477788556,0.2753578880580998,4.332831226832219,0.10729021335150488,-9.050807995423037,-0.3267337381839752,0.2759465277194977,4.364490509033203,1.8019523360529326,9.0
48,20462.265,PRECHECK,1,-2.798936068100061,-0.32793761648389913,0.2763435606539503,4.338192531976625,0.18410352176847897,-9.324813369382914,-0.3240244388580322,0.27700188755989075,4.367127418518066,1.784171408297093,9.0
49,20462.375,PRECHECK,1,-2.705277870825622,-0.3292535361263811,0.2766833701236456,4.342673777909768,0.16572446927197027,-9.217727347540837,-0.3253936767578125,0.27733227610588074,4.372550964355469,1.7458330479793729,9.0
50,20462.468,PRECHECK,1,-2.8037888687371484,-0.3289745954155402,0.27689156450563895,4.35361944910043,0.16674834361431312,-9.217889841088379,-0.3251231014728546,0.2774854302406311,4.38236141204834,1.6554370073971658,9.0
51,20462.546,PRECHECK,1,-2.956887173148817,-0.3284249711004821,0.2775094367370924,4.352902517756395,0.17020423184116168,-9.306388837659577,-0.32465463876724243,0.27814316749572754,4.382039546966553,1.7061924569354399,9.0
52,20462.64,PRECHECK,1,-2.6651526488794994,-0.329172432779171,0.27674982001113724,4.350570741627481,0.145422185349716,-9.1945821950519,-0.325270414352417,0.27737000584602356,4.380809307098389,1.7351937206071826,9.0
53,20462.75,PRECHECK,1,-2.4451894412803816,-0.3282211982184376,0.27659372316523284,4.3383297007605455,0.10747322863615924,-9.405752687628578,-0.32361865043640137,0.27703332901000977,4.366913318634033,1.9114594809353738,9.0
