t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-01T17:54:22.674,1,PRECHECK,PRECHECK,3,,1788252861411.253,,timestamp_domain.system_time,21609187.000,,1,21609187.000,21610312.000,1125.000,1125.000,21610312.000,1125.000,0,0,,,,
2026-09-01T17:54:22.956,2,PRECHECK,PRECHECK,46,43,1788252862846.307,1435.054,timestamp_domain.system_time,21610562.000,1375.000,1,21610562.000,21610593.000,31.000,31.000,21610593.000,31.000,0,0,,,,
2026-09-01T17:54:23.050,3,PRECHECK,PRECHECK,51,5,1788252863011.825,165.518,timestamp_domain.system_time,21610671.000,109.000,1,21610671.000,21610687.000,16.000,16.000,21610687.000,16.000,0,0,,,,
2026-09-01T17:54:23.143,4,PRECHECK,PRECHECK,54,3,1788252863112.030,100.205,timestamp_domain.system_time,21610765.000,94.000,1,21610765.000,21610781.000,16.000,16.000,21610781.000,16.000,0,0,,,,
2026-09-01T17:54:23.227,5,PRECHECK,PRECHECK,56,2,1788252863178.551,66.521,timestamp_domain.system_time,21610859.000,94.000,1,21610859.000,21610875.000,16.000,16.000,21610875.000,16.000,0,0,,,,
2026-09-01T17:54:23.317,6,PRECHECK,PRECHECK,59,3,1788252863278.766,100.214,timestamp_domain.system_time,21610937.000,78.000,1,21610937.000,21610953.000,16.000,16.000,21610953.000,16.000,0,0,,,,
2026-09-01T17:54:23.426,7,PRECHECK,PRECHECK,62,3,1788252863378.720,99.955,timestamp_domain.system_time,21611046.000,109.000,1,21611046.000,21611062.000,16.000,16.000,21611062.000,16.000,0,0,,,,
2026-09-01T17:54:23.511,8,PRECHECK,PRECHECK,65,3,1788252863478.914,100.193,timestamp_domain.system_time,21611125.000,79.000,1,21611125.000,21611156.000,31.000,31.000,21611156.000,31.000,0,0,,,,
2026-09-01T17:54:23.593,9,PRECHECK,PRECHECK,67,2,1788252863545.611,66.697,timestamp_domain.system_time,21611203.000,78.000,1,21611203.000,21611234.000,31.000,31.000,21611234.000,31.000,0,0,,,,
2026-09-01T17:54:23.669,10,PRECHECK,PRECHECK,70,3,1788252863645.494,99.883,timestamp_domain.system_time,21611281.000,78.000,1,21611281.000,21611312.000,31.000,31.000,21611312.000,31.000,0,0,,,,
2026-09-01T17:54:23.760,11,PRECHECK,PRECHECK,72,2,1788252863712.196,66.702,timestamp_domain.system_time,21611375.000,94.000,1,21611375.000,21611406.000,31.000,31.000,21611406.000,31.000,0,0,,,,
2026-09-01T17:54:23.837,12,PRECHECK,PRECHECK,75,3,1788252863812.333,100.137,timestamp_domain.system_time,21611468.000,93.000,1,21611468.000,21611484.000,16.000,16.000,21611484.000,16.000,0,0,,,,
2026-09-01T17:54:23.928,13,PRECHECK,PRECHECK,76,1,1788252863845.833,33.501,timestamp_domain.system_time,21611546.000,78.000,1,21611546.000,21611562.000,16.000,16.000,21611562.000,16.000,0,0,,,,
2026-09-01T17:54:24.022,14,PRECHECK,PRECHECK,80,4,1788252863978.940,133.106,timestamp_domain.system_time,21611640.000,94.000,1,21611640.000,21611656.000,16.000,16.000,21611656.000,16.000,0,0,,,,
2026-09-01T17:54:24.094,15,PRECHECK,PRECHECK,82,2,1788252864045.696,66.757,timestamp_domain.system_time,21611718.000,78.000,1,21611718.000,21611734.000,16.000,16.000,21611734.000,16.000,0,0,,,,
2026-09-01T17:54:24.188,16,PRECHECK,PRECHECK,85,3,1788252864145.805,100.108,timestamp_domain.system_time,21611796.000,78.000,1,21611796.000,21611828.000,32.000,32.000,21611828.000,32.000,0,0,,,,
2026-09-01T17:54:24.262,17,PRECHECK,PRECHECK,87,2,1788252864212.620,66.815,timestamp_domain.system_time,21611875.000,79.000,1,21611875.000,21611906.000,31.000,31.000,21611906.000,31.000,0,0,,,,
2026-09-01T17:54:24.349,18,PRECHECK,PRECHECK,90,3,1788252864312.472,99.852,timestamp_domain.system_time,21611968.000,93.000,1,21611968.000,21611984.000,16.000,16.000,21611984.000,16.000,0,0,,,,
2026-09-01T17:54:24.440,19,PRECHECK,PRECHECK,92,2,1788252864379.274,66.802,timestamp_domain.system_time,21612062.000,94.000,1,21612062.000,21612078.000,16.000,16.000,21612078.000,16.000,0,0,,,,
2026-09-01T17:54:24.523,20,PRECHECK,PRECHECK,95,3,1788252864479.378,100.104,timestamp_domain.system_time,21612140.000,78.000,1,21612140.000,21612171.000,31.000,31.000,21612171.000,31.000,0,0,,,,
2026-09-01T17:54:24.607,21,PRECHECK,PRECHECK,97,2,1788252864546.359,66.982,timestamp_domain.system_time,21612218.000,78.000,1,21612218.000,21612250.000,32.000,32.000,21612250.000,32.000,0,0,,,,
2026-09-01T17:54:24.693,22,PRECHECK,PRECHECK,100,3,1788252864646.212,99.852,timestamp_domain.system_time,21612312.000,94.000,1,21612312.000,21612328.000,16.000,16.000,21612328.000,16.000,0,0,,,,
2026-09-01T17:54:24.775,23,PRECHECK,PRECHECK,102,2,1788252864712.912,66.700,timestamp_domain.system_time,21612390.000,78.000,1,21612390.000,21612421.000,31.000,31.000,21612421.000,31.000,0,0,,,,
2026-09-01T17:54:24.856,24,PRECHECK,PRECHECK,105,3,1788252864813.067,100.155,timestamp_domain.system_time,21612468.000,78.000,1,21612468.000,21612500.000,32.000,32.000,21612500.000,32.000,0,0,,,,
2026-09-01T17:54:24.932,25,PRECHECK,PRECHECK,107,2,1788252864880.035,66.969,timestamp_domain.system_time,21612546.000,78.000,1,21612546.000,21612578.000,32.000,32.000,21612578.000,32.000,0,0,,,,
2026-09-01T17:54:25.046,26,PRECHECK,PRECHECK,110,3,1788252864980.255,100.219,timestamp_domain.system_time,21612671.000,125.000,1,21612671.000,21612687.000,16.000,16.000,21612687.000,16.000,0,0,,,,
2026-09-01T17:54:25.113,27,PRECHECK,PRECHECK,113,3,1788252865079.628,99.373,timestamp_domain.system_time,21612734.000,63.000,1,21612734.000,21612750.000,16.000,16.000,21612750.000,16.000,0,0,,,,
2026-09-01T17:54:25.195,28,PRECHECK,PRECHECK,115,2,1788252865146.756,67.128,timestamp_domain.system_time,21612828.000,94.000,1,21612828.000,21612843.000,15.000,15.000,21612843.000,15.000,0,0,,,,
2026-09-01T17:54:25.286,29,PRECHECK,PRECHECK,118,3,1788252865246.625,99.869,timestamp_domain.system_time,21612890.000,62.000,1,21612890.000,21612921.000,31.000,31.000,21612921.000,31.000,0,0,,,,
2026-09-01T17:54:25.362,30,PRECHECK,PRECHECK,120,2,1788252865313.192,66.566,timestamp_domain.system_time,21612984.000,94.000,1,21612984.000,21613000.000,16.000,16.000,21613000.000,16.000,0,0,,,,
2026-09-01T17:54:25.460,31,SEARCH_SWEEP,SEARCH_SWEEP,123,3,1788252865413.405,100.214,timestamp_domain.system_time,21613062.000,78.000,1,21613062.000,21613109.000,47.000,47.000,21613109.000,47.000,0,0,,,,
2026-09-01T17:54:25.536,32,SEARCH_SWEEP,SEARCH_SWEEP,125,2,1788252865479.881,66.475,timestamp_domain.system_time,21613156.000,94.000,1,21613156.000,21613171.000,15.000,15.000,21613171.000,15.000,0,0,,,,
2026-09-01T17:54:25.611,33,SEARCH_SWEEP,SEARCH_SWEEP,128,3,1788252865580.102,100.221,timestamp_domain.system_time,21613218.000,62.000,1,21613218.000,21613250.000,32.000,32.000,21613250.000,32.000,0,0,,,,
2026-09-01T17:54:25.689,34,SEARCH_SWEEP,SEARCH_SWEEP,130,2,1788252865646.696,66.594,timestamp_domain.system_time,21613296.000,78.000,1,21613296.000,21613328.000,32.000,32.000,21613328.000,32.000,0,0,,,,
2026-09-01T17:54:25.767,35,SEARCH_SWEEP,SEARCH_SWEEP,133,3,1788252865746.817,100.121,timestamp_domain.system_time,21613390.000,94.000,1,21613390.000,21613406.000,16.000,16.000,21613406.000,16.000,0,0,,,,
2026-09-01T17:54:25.860,36,SEARCH_SWEEP,SEARCH_SWEEP,135,2,1788252865813.449,66.632,timestamp_domain.system_time,21613453.000,63.000,1,21613484.000,21613500.000,16.000,47.000,21613500.000,47.000,0,0,,,,
2026-09-01T17:54:25.968,37,SEARCH_SWEEP,SEARCH_SWEEP,137,2,1788252865880.830,67.381,timestamp_domain.system_time,21613593.000,140.000,1,21613593.000,21613609.000,16.000,16.000,21613609.000,16.000,0,0,,,,
2026-09-01T17:54:26.067,38,SEARCH_SWEEP,SEARCH_SWEEP,141,4,1788252866013.998,133.168,timestamp_domain.system_time,21613687.000,94.000,1,21613687.000,21613703.000,16.000,16.000,21613703.000,16.000,0,0,,,,
