t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-04T10:37:41.834,1,PRECHECK,PRECHECK,1,,1788485860865.516,,timestamp_domain.system_time,1399562.000,,1,1399562.000,1400500.000,938.000,938.000,1400500.000,938.000,0,0,,,,,,,
2026-09-04T10:37:41.986,2,SEARCH_SWEEP,SEARCH_SWEEP,31,30,1788485861862.731,997.215,timestamp_domain.system_time,1400625.000,1063.000,1,1400625.000,1400656.000,31.000,31.000,1400656.000,31.000,1,1,pnp_visible_ransac,9,1.050,-10.6418,-0.001133,6.562751,-0.0099
2026-09-04T10:37:42.064,3,ACQUIRE_VERIFY,ACQUIRE_VERIFY,36,5,1788485862029.323,166.591,timestamp_domain.system_time,1400703.000,78.000,1,1400703.000,1400734.000,31.000,31.000,1400734.000,31.000,1,1,pnp_visible_ransac,9,1.105,-18.0448,0.023870,6.964950,0.1964
2026-09-04T10:37:42.138,4,ACQUIRE_VERIFY,ACQUIRE_VERIFY,38,2,1788485862096.611,67.288,timestamp_domain.system_time,1400781.000,78.000,1,1400781.000,1400812.000,31.000,31.000,1400812.000,31.000,1,1,pnp_visible_ransac,9,0.962,-16.1429,0.015307,6.783834,0.1293
2026-09-04T10:37:42.215,5,ACQUIRE_VERIFY,ACQUIRE_VERIFY,40,2,1788485862163.088,66.477,timestamp_domain.system_time,1400859.000,78.000,1,1400859.000,1400890.000,31.000,31.000,1400890.000,31.000,1,1,pnp_visible_ransac,9,0.809,-14.6168,0.007773,6.626332,0.0672
2026-09-04T10:37:42.280,6,ACQUIRE_VERIFY,ACQUIRE_VERIFY,42,2,1788485862229.244,66.156,timestamp_domain.system_time,1400921.000,62.000,1,1400921.000,1400953.000,32.000,32.000,1400953.000,32.000,1,1,pnp_visible_ransac,9,0.820,-13.9763,0.005770,6.498595,0.0509
2026-09-04T10:37:42.351,7,ACQUIRE_VERIFY,ACQUIRE_VERIFY,44,2,1788485862296.184,66.940,timestamp_domain.system_time,1400984.000,63.000,1,1400984.000,1401015.000,31.000,31.000,1401015.000,31.000,1,1,pnp_visible_ransac,9,0.772,-14.0911,0.007753,6.500482,0.0683
2026-09-04T10:37:42.412,8,ACQUIRE_VERIFY,ACQUIRE_VERIFY,46,2,1788485862362.900,66.716,timestamp_domain.system_time,1401046.000,62.000,1,1401046.000,1401078.000,32.000,32.000,1401078.000,32.000,1,1,pnp_visible_ransac,9,0.733,-13.4791,0.006045,6.475433,0.0535
2026-09-04T10:37:42.473,9,ACQUIRE_VERIFY,ACQUIRE_VERIFY,48,2,1788485862429.323,66.424,timestamp_domain.system_time,1401109.000,63.000,1,1401109.000,1401140.000,31.000,31.000,1401140.000,31.000,1,1,pnp_visible_ransac,9,0.737,-14.0932,0.008279,6.525801,0.0727
2026-09-04T10:37:42.555,10,ACQUIRE_VERIFY,ACQUIRE_VERIFY,50,2,1788485862496.225,66.902,timestamp_domain.system_time,1401187.000,78.000,1,1401203.000,1401218.000,15.000,31.000,1401234.000,47.000,1,1,pnp_visible_ransac,9,0.737,-13.8881,0.006211,6.517172,0.0546
2026-09-04T10:37:42.620,11,ACQUIRE_VERIFY,ACQUIRE_VERIFY,52,2,1788485862563.091,66.865,timestamp_domain.system_time,1401250.000,63.000,1,1401250.000,1401281.000,31.000,31.000,1401296.000,46.000,1,1,pnp_visible_ransac,9,0.792,-13.1326,0.002061,6.445449,0.0183
2026-09-04T10:37:42.686,12,ACQUIRE_VERIFY,ACQUIRE_VERIFY,54,2,1788485862629.823,66.733,timestamp_domain.system_time,1401328.000,78.000,1,1401328.000,1401359.000,31.000,31.000,1401359.000,31.000,1,1,pnp_visible_ransac,9,0.769,-13.7298,0.004938,6.469873,0.0437
2026-09-04T10:37:42.747,13,ACQUIRE_VERIFY,ACQUIRE_VERIFY,56,2,1788485862696.459,66.635,timestamp_domain.system_time,1401390.000,62.000,1,1401390.000,1401421.000,31.000,31.000,1401421.000,31.000,1,1,pnp_visible_ransac,9,0.736,-13.5742,0.002040,6.462381,0.0181
2026-09-04T10:37:42.808,14,ACQUIRE_VERIFY,ACQUIRE_VERIFY,58,2,1788485862762.906,66.448,timestamp_domain.system_time,1401453.000,63.000,1,1401453.000,1401484.000,31.000,31.000,1401484.000,31.000,1,1,pnp_visible_ransac,9,0.754,-13.3365,0.002067,6.444189,0.0184
2026-09-04T10:37:42.869,15,ACQUIRE_VERIFY,ACQUIRE_VERIFY,60,2,1788485862829.777,66.870,timestamp_domain.system_time,1401515.000,62.000,1,1401515.000,1401546.000,31.000,31.000,1401546.000,31.000,1,1,pnp_visible_ransac,9,0.707,-13.3026,0.002703,6.426425,0.0241
2026-09-04T10:37:42.942,16,STANDOFF_VERIFY,STANDOFF_VERIFY,61,1,1788485862863.064,33.287,timestamp_domain.system_time,1401593.000,78.000,1,1401593.000,1401609.000,16.000,16.000,1401609.000,16.000,1,1,pnp_visible_ransac,9,0.706,-13.2463,0.001987,6.437476,0.0177
2026-09-04T10:37:43.032,17,STANDOFF_VERIFY,STANDOFF_VERIFY,62,1,1788485862896.503,33.440,timestamp_domain.system_time,1401671.000,78.000,1,1401671.000,1401703.000,32.000,32.000,1401703.000,32.000,1,1,pnp_visible_ransac,9,0.705,-13.4370,0.003355,6.460343,0.0298
2026-09-04T10:37:43.100,18,STANDOFF_VERIFY,STANDOFF_VERIFY,67,5,1788485863063.299,166.795,timestamp_domain.system_time,1401734.000,63.000,1,1401734.000,1401765.000,31.000,31.000,1401765.000,31.000,1,1,pnp_visible_ransac,9,0.718,-13.7993,0.004096,6.481539,0.0362
2026-09-04T10:37:43.165,19,STANDOFF_VERIFY,STANDOFF_VERIFY,69,2,1788485863129.944,66.645,timestamp_domain.system_time,1401812.000,78.000,1,1401812.000,1401843.000,31.000,31.000,1401843.000,31.000,1,1,pnp_visible_ransac,9,0.682,-13.4836,0.001959,6.455491,0.0174
2026-09-04T10:37:43.235,20,STANDOFF_VERIFY,STANDOFF_VERIFY,71,2,1788485863196.589,66.646,timestamp_domain.system_time,1401875.000,63.000,1,1401875.000,1401906.000,31.000,31.000,1401906.000,31.000,1,1,pnp_visible_ransac,9,0.729,-13.8227,0.004746,6.475224,0.0420
2026-09-04T10:37:43.299,21,STANDOFF_VERIFY,STANDOFF_VERIFY,73,2,1788485863263.042,66.453,timestamp_domain.system_time,1401937.000,62.000,1,1401937.000,1401968.000,31.000,31.000,1401968.000,31.000,1,1,pnp_visible_ransac,9,0.659,-13.8893,0.005426,6.489739,0.0479
2026-09-04T10:37:43.368,22,STANDOFF_VERIFY,STANDOFF_VERIFY,75,2,1788485863329.935,66.894,timestamp_domain.system_time,1402000.000,63.000,1,1402000.000,1402031.000,31.000,31.000,1402046.000,46.000,1,1,pnp_visible_ransac,9,0.726,-13.7317,0.002795,6.483462,0.0247
2026-09-04T10:37:43.429,23,STANDOFF_VERIFY,STANDOFF_VERIFY,77,2,1788485863396.589,66.654,timestamp_domain.system_time,1402078.000,78.000,1,1402078.000,1402093.000,15.000,15.000,1402093.000,15.000,1,1,pnp_visible_ransac,9,0.714,-13.6841,0.004896,6.466291,0.0434
2026-09-04T10:37:43.494,24,STANDOFF_VERIFY,STANDOFF_VERIFY,78,1,1788485863430.044,33.455,timestamp_domain.system_time,1402140.000,62.000,1,1402140.000,1402171.000,31.000,31.000,1402171.000,31.000,1,1,pnp_visible_ransac,9,0.726,-13.6960,0.004866,6.474277,0.0431
2026-09-04T10:37:43.561,25,STANDOFF_VERIFY,STANDOFF_VERIFY,80,2,1788485863496.806,66.762,timestamp_domain.system_time,1402203.000,63.000,1,1402203.000,1402234.000,31.000,31.000,1402234.000,31.000,1,1,pnp_visible_ransac,9,0.701,-13.5939,0.004210,6.458017,0.0374
2026-09-04T10:37:43.630,26,STANDOFF_MOVE,STANDOFF_MOVE,82,2,1788485863563.248,66.441,timestamp_domain.system_time,1402265.000,62.000,1,1402265.000,1402296.000,31.000,31.000,1402296.000,31.000,1,1,pnp_visible_ransac,9,0.718,-13.5155,0.003476,6.458518,0.0308
