t_iso,frame_i,raw_video_frame_index,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-06T17:07:25.518,1,,PRECHECK,PRECHECK,2,,1788682044165.226,,timestamp_domain.system_time,184268500.000,,1,184268531.000,184269812.000,1281.000,1312.000,184269812.000,1312.000,0,0,,,,,,,
2026-09-06T17:07:25.761,2,,SEARCH_SWEEP,SEARCH_SWEEP,48,46,1788682045700.914,1535.688,timestamp_domain.system_time,184270031.000,1531.000,1,184270031.000,184270062.000,31.000,31.000,184270062.000,31.000,0,0,,,,,,,
2026-09-06T17:07:25.910,3,,SEARCH_SWEEP,SEARCH_SWEEP,52,4,1788682045834.171,133.257,timestamp_domain.system_time,184270156.000,125.000,1,184270156.000,184270203.000,47.000,47.000,184270203.000,47.000,0,0,,,,,,,
2026-09-06T17:07:25.999,4,,SEARCH_SWEEP,SEARCH_SWEEP,56,4,1788682045966.099,131.928,timestamp_domain.system_time,184270281.000,125.000,1,184270281.000,184270296.000,15.000,15.000,184270296.000,15.000,0,0,,,,,,,
2026-09-06T17:07:26.096,5,,SEARCH_SWEEP,SEARCH_SWEEP,58,2,1788682046032.890,66.791,timestamp_domain.system_time,184270375.000,94.000,1,184270375.000,184270390.000,15.000,15.000,184270390.000,15.000,0,0,,,,,,,
2026-09-06T17:07:26.203,6,,SEARCH_SWEEP,SEARCH_SWEEP,62,4,1788682046166.566,133.676,timestamp_domain.system_time,184270468.000,93.000,1,184270468.000,184270500.000,32.000,32.000,184270500.000,32.000,0,0,,,,,,,
2026-09-06T17:07:26.296,7,,SEARCH_SWEEP,SEARCH_SWEEP,64,2,1788682046233.298,66.732,timestamp_domain.system_time,184270562.000,94.000,1,184270562.000,184270593.000,31.000,31.000,184270593.000,31.000,0,0,,,,,,,
2026-09-06T17:07:26.370,8,,SEARCH_SWEEP,SEARCH_SWEEP,67,3,1788682046333.955,100.657,timestamp_domain.system_time,184270656.000,94.000,1,184270656.000,184270671.000,15.000,15.000,184270671.000,15.000,0,0,,,,,,,
2026-09-06T17:07:26.462,9,,SEARCH_SWEEP,SEARCH_SWEEP,69,2,1788682046400.240,66.285,timestamp_domain.system_time,184270734.000,78.000,1,184270734.000,184270765.000,31.000,31.000,184270765.000,31.000,0,0,,,,,,,
2026-09-06T17:07:26.545,10,,SEARCH_SWEEP,SEARCH_SWEEP,72,3,1788682046500.001,99.760,timestamp_domain.system_time,184270812.000,78.000,1,184270812.000,184270843.000,31.000,31.000,184270843.000,31.000,0,0,,,,,,,
2026-09-06T17:07:26.627,11,,SEARCH_SWEEP,SEARCH_SWEEP,74,2,1788682046566.835,66.834,timestamp_domain.system_time,184270890.000,78.000,1,184270890.000,184270921.000,31.000,31.000,184270921.000,31.000,0,0,,,,,,,
2026-09-06T17:07:26.787,12,,SEARCH_SWEEP,SEARCH_SWEEP,77,3,1788682046667.245,100.410,timestamp_domain.system_time,184271000.000,110.000,1,184271000.000,184271078.000,78.000,78.000,184271078.000,78.000,0,0,,,,,,,
2026-09-06T17:07:26.878,13,,SEARCH_SWEEP,SEARCH_SWEEP,82,5,1788682046833.509,166.265,timestamp_domain.system_time,184271156.000,156.000,1,184271156.000,184271171.000,15.000,15.000,184271171.000,15.000,0,0,,,,,,,
2026-09-06T17:07:26.969,14,,SEARCH_SWEEP,SEARCH_SWEEP,85,3,1788682046934.038,100.529,timestamp_domain.system_time,184271234.000,78.000,1,184271234.000,184271265.000,31.000,31.000,184271265.000,31.000,0,0,,,,,,,
2026-09-06T17:07:27.060,15,,SEARCH_SWEEP,SEARCH_SWEEP,87,2,1788682047001.748,67.710,timestamp_domain.system_time,184271328.000,94.000,1,184271328.000,184271359.000,31.000,31.000,184271359.000,31.000,0,0,,,,,,,
2026-09-06T17:07:27.145,16,,SEARCH_SWEEP,SEARCH_SWEEP,90,3,1788682047100.174,98.426,timestamp_domain.system_time,184271406.000,78.000,1,184271406.000,184271437.000,31.000,31.000,184271437.000,31.000,0,0,,,,,,,
2026-09-06T17:07:27.229,17,,SEARCH_SWEEP,SEARCH_SWEEP,92,2,1788682047167.415,67.241,timestamp_domain.system_time,184271500.000,94.000,1,184271500.000,184271531.000,31.000,31.000,184271531.000,31.000,0,0,,,,,,,
2026-09-06T17:07:27.304,18,,SEARCH_SWEEP,SEARCH_SWEEP,95,3,1788682047267.287,99.872,timestamp_domain.system_time,184271593.000,93.000,1,184271593.000,184271593.000,0.000,0.000,184271593.000,0.000,0,0,,,,,,,
2026-09-06T17:07:27.395,19,,SEARCH_SWEEP,SEARCH_SWEEP,97,2,1788682047334.104,66.817,timestamp_domain.system_time,184271671.000,78.000,1,184271671.000,184271687.000,16.000,16.000,184271687.000,16.000,0,0,,,,,,,
2026-09-06T17:07:27.475,20,,SEARCH_SWEEP,SEARCH_SWEEP,100,3,1788682047436.006,101.903,timestamp_domain.system_time,184271750.000,79.000,1,184271750.000,184271765.000,15.000,15.000,184271765.000,15.000,0,0,,,,,,,
2026-09-06T17:07:27.562,21,,SEARCH_SWEEP,SEARCH_SWEEP,102,2,1788682047501.037,65.031,timestamp_domain.system_time,184271828.000,78.000,1,184271828.000,184271859.000,31.000,31.000,184271859.000,31.000,0,0,,,,,,,
2026-09-06T17:07:27.638,22,,SEARCH_SWEEP,SEARCH_SWEEP,104,2,1788682047567.620,66.583,timestamp_domain.system_time,184271906.000,78.000,1,184271906.000,184271937.000,31.000,31.000,184271937.000,31.000,0,0,,,,,,,
2026-09-06T17:07:27.780,23,,SEARCH_SWEEP,SEARCH_SWEEP,107,3,1788682047667.897,100.277,timestamp_domain.system_time,184272000.000,94.000,1,184272000.000,184272078.000,78.000,78.000,184272078.000,78.000,0,0,,,,,,,
2026-09-06T17:07:27.891,24,,SEARCH_SWEEP,SEARCH_SWEEP,112,5,1788682047834.197,166.300,timestamp_domain.system_time,184272156.000,156.000,1,184272156.000,184272187.000,31.000,31.000,184272187.000,31.000,0,0,,,,,,,
2026-09-06T17:07:27.972,25,,SEARCH_SWEEP,SEARCH_SWEEP,115,3,1788682047934.523,100.326,timestamp_domain.system_time,184272234.000,78.000,1,184272234.000,184272265.000,31.000,31.000,184272265.000,31.000,0,0,,,,,,,
2026-09-06T17:07:28.078,26,,SEARCH_SWEEP,SEARCH_SWEEP,118,3,1788682048034.343,99.820,timestamp_domain.system_time,184272343.000,109.000,1,184272343.000,184272375.000,32.000,32.000,184272375.000,32.000,0,0,,,,,,,
2026-09-06T17:07:28.171,27,,SEARCH_SWEEP,SEARCH_SWEEP,121,3,1788682048135.446,101.104,timestamp_domain.system_time,184272453.000,110.000,1,184272453.000,184272468.000,15.000,15.000,184272468.000,15.000,0,0,,,,,,,
2026-09-06T17:07:28.263,28,,SEARCH_SWEEP,SEARCH_SWEEP,123,2,1788682048201.316,65.869,timestamp_domain.system_time,184272531.000,78.000,1,184272531.000,184272562.000,31.000,31.000,184272562.000,31.000,0,0,,,,,,,
2026-09-06T17:07:28.346,29,,SEARCH_SWEEP,SEARCH_SWEEP,126,3,1788682048301.410,100.094,timestamp_domain.system_time,184272609.000,78.000,1,184272609.000,184272640.000,31.000,31.000,184272640.000,31.000,0,0,,,,,,,
2026-09-06T17:07:28.435,30,,SEARCH_SWEEP,SEARCH_SWEEP,128,2,1788682048368.256,66.846,timestamp_domain.system_time,184272703.000,94.000,1,184272703.000,184272734.000,31.000,31.000,184272734.000,31.000,0,0,,,,,,,
2026-09-06T17:07:28.519,31,,SEARCH_SWEEP,SEARCH_SWEEP,131,3,1788682048469.877,101.621,timestamp_domain.system_time,184272796.000,93.000,1,184272796.000,184272812.000,16.000,16.000,184272812.000,16.000,0,0,,,,,,,
2026-09-06T17:07:28.610,32,,SEARCH_SWEEP,SEARCH_SWEEP,134,3,1788682048569.161,99.284,timestamp_domain.system_time,184272875.000,79.000,1,184272875.000,184272906.000,31.000,31.000,184272906.000,31.000,0,0,,,,,,,
2026-09-06T17:07:28.824,33,,SEARCH_SWEEP,SEARCH_SWEEP,136,2,1788682048635.290,66.129,timestamp_domain.system_time,184273046.000,171.000,1,184273046.000,184273125.000,79.000,79.000,184273125.000,79.000,0,0,,,,,,,
2026-09-06T17:07:28.925,34,,SEARCH_SWEEP,SEARCH_SWEEP,143,7,1788682048869.841,234.552,timestamp_domain.system_time,184273203.000,157.000,1,184273203.000,184273218.000,15.000,15.000,184273218.000,15.000,0,0,,,,,,,
2026-09-06T17:07:29.008,35,,SEARCH_SWEEP,SEARCH_SWEEP,146,3,1788682048968.469,98.627,timestamp_domain.system_time,184273281.000,78.000,1,184273281.000,184273312.000,31.000,31.000,184273312.000,31.000,0,0,,,,,,,
2026-09-06T17:07:29.110,36,0,SEARCH_SWEEP,SEARCH_SWEEP,148,2,1788682049035.424,66.955,timestamp_domain.system_time,184273375.000,94.000,1,184273375.000,184273406.000,31.000,31.000,184273406.000,31.000,0,0,,,,,,,
2026-09-06T17:07:29.231,37,1,SEARCH_SWEEP,SEARCH_SWEEP,152,4,1788682049169.147,133.723,timestamp_domain.system_time,184273484.000,109.000,1,184273500.000,184273531.000,31.000,47.000,184273531.000,47.000,0,0,,,,,,,
2026-09-06T17:07:29.348,38,2,SEARCH_SWEEP,SEARCH_SWEEP,156,4,1788682049302.469,133.322,timestamp_domain.system_time,184273609.000,125.000,1,184273609.000,184273640.000,31.000,31.000,184273640.000,31.000,0,0,,,,,,,
2026-09-06T17:07:29.454,39,3,SEARCH_SWEEP,SEARCH_SWEEP,159,3,1788682049402.238,99.769,timestamp_domain.system_time,184273718.000,109.000,1,184273718.000,184273750.000,32.000,32.000,184273750.000,32.000,0,0,,,,,,,
2026-09-06T17:07:29.563,40,4,SEARCH_SWEEP,SEARCH_SWEEP,162,3,1788682049502.240,100.002,timestamp_domain.system_time,184273828.000,110.000,1,184273828.000,184273859.000,31.000,31.000,184273859.000,31.000,0,0,,,,,,,
2026-09-06T17:07:29.668,41,5,SEARCH_SWEEP,SEARCH_SWEEP,165,3,1788682049602.532,100.293,timestamp_domain.system_time,184273937.000,109.000,1,184273937.000,184273968.000,31.000,31.000,184273968.000,31.000,0,0,,,,,,,
