distance_m,lateral_m,facing,success,state,elapsed,reasons,trace_hash
4.5,-0.8625,True,False,DONE,50.843333333331756,['fork/slot geometry collision'],f49f3fb1a273efff52d3ffaffacfa368e39fa98118c3796fe57e19ddbab92965
4.5,-0.85625,True,True,DONE,50.843333333331756,[],7c5d6e2a38cf244e50212449a62ab1768e23a681ea63f140bc5f1ce465e0ecfa
4.5,-0.2140625,True,True,DONE,37.86666666666671,[],24dbce39587d5500bb391aa08ceaeab1ac0074141ffb42d8a216cf7c25920192
4.5,-0.428125,True,True,DONE,45.606666666665184,[],52a0c408e5b9583ecf4c3f729259523cd7fbc360a4737a34c5d6e13609647da3
4.5,-0.6421875,True,True,DONE,46.349999999998474,[],0f6313150236898a33d9ab008d5b789b6b5566277f50e6ca93e08c9e4028ab5f
4.5,-0.770625,True,True,DONE,50.7466666666651,[],dbc1470a0d117a231d9429c3214ec2170be866c50489d1b8ecff6cb8cc59a71f
4.5,-0.8825,True,False,DONE,50.86666666666509,['fork/slot geometry collision'],788a9629a0cb8dcd5592c4cfab53b98879c64a8e98808b319f35a0fadb76dadd
4.5,-2.0,True,False,FAILED,39.06666666666701,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],7cfab85598e14a52752b15620404b73ae925c7eacef3b0ab9c85107e3af470c3
5.0,0.0,True,True,DONE,28.133333333334978,[],f4808cf69693c713417b79330c0ea8bbb9863325de0b35dfc105a7f1881e73b9
5.0,0.1,True,True,DONE,28.133333333334978,[],a4418862a5069a49bcd17db6ff65176b142c8a394e7d6097bd14509844c6833b
5.0,0.2,True,True,DONE,43.106666666665326,[],3c41b864a4bcde83ec2a81224651075a20549a9141d8f687c20169b2184511ca
5.0,0.4,True,True,DONE,43.806666666665286,[],f07aaef6b9f4323b7f65210a45856605404a55cba0721bb3afa600a3936aa043
5.0,0.8,True,True,DONE,48.46999999999835,[],35254dad25476b1a446e7d2e0dd4fd811cece964ac26e8d7161c151d23e9f334
5.0,1.6,True,False,FAILED,44.500000000000036,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],d03b4f8203fbd2a1a1a11f1614bcb68a46eb966b8116387d24a7d8699537d25f
5.0,1.2,True,False,FAILED,44.06666666666673,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],39f08dd0d87b8f3c13501c96407cd9f49918fb0df249891812147e76a4f2a3de
