distance_m,lateral_m,facing,success,state,elapsed,reasons,trace_hash
3.5,0.36875,True,False,DONE,30.936666666668458,['fork/slot geometry collision'],1d37ffd2b2518e8a43e27b9369be66bc1f05783d9d21d9c48a1186d3cd783983
3.5,0.090625,True,True,DONE,26.706666666668244,[],eee00ce758d20dfc6f53ebedaac94780894ec92d7f560491056d0bba07a51d61
3.5,0.18125,True,True,DONE,27.08333333333493,[],e6e9e0fa404af315bae8faade5745664963c45551f9ff1ebfb32078691a942e2
3.5,0.271875,True,True,DONE,27.173333333334934,[],f8f8be2401cce3130aef2a404ee324cfc6765e0561d5d922066e3efd8249dbdb
3.5,0.32625,True,True,DONE,27.193333333334937,[],3031c832922a3af8d464a6e10b27e62bdee38172d0387e51d34dfcdebe6ab7d4
3.5,0.38875,True,False,FAILED,20.700000000000188,['no commandable visibility-safe insertion rotation (minimum 0.50deg): left fork sweep hits row 3 column 1 (wall margin included)'],43c8ae17aaa555d513decd6a578d9b868c03839126083b655341ad833aab240f
3.5,0.5,True,False,FAILED,17.066666666666674,['no commandable visibility-safe insertion rotation (minimum 0.50deg): front pocket clearance'],24a96b16a933e7aca8a539526b6febda63e2e83cbc2a1d23a3a6c5e492ce9d17
3.5,-0.1,True,True,DONE,26.80666666666825,[],2321b3d3645a5879562a14e06d20f84cb6d0748b5e2ddb7f1710f3746b19e14e
3.5,-0.2,True,True,DONE,27.160000000001602,[],babde90d273304a13bddc9a6300ca2758e74eb22f10e594ad30dd7d16125564b
3.5,-0.4,True,False,FAILED,20.700000000000188,['no commandable visibility-safe insertion rotation (minimum 0.50deg): right fork sweep hits row 3 column 5 (wall margin included)'],02baf460f04dd8b004ffa5fa7d9eca901caa2ec0a2b074203669226ad73af15e
3.5,-0.3,True,True,DONE,27.183333333334936,[],1bc4508506cec3b873edbdd41c8c9ac2a18e2aa837bb75507fbcd2bc73c7572e
3.5,-0.35,True,True,DONE,27.20333333333494,[],b159b38991bffa264c157c26eea1062140c243b77abf120f620436d976d26ad7
3.5,-0.375,True,False,FAILED,20.700000000000188,['no commandable visibility-safe insertion rotation (minimum 0.50deg): right fork sweep hits row 3 column 5 (wall margin included)'],7f37a8c9d01936684b0039fc9912ad0da2729448d420db88a9357378d9deb7bd
3.5,-0.3625,True,True,DONE,30.936666666668458,[],2f8a182941aec0aa9b855eb620bf26b21d59bd63bbcad22beee8c18b4a68d105
3.5,-0.36875,True,False,DONE,30.936666666668458,['fork/slot geometry collision'],237a4056e11433fd25022827ea97f632de67b00b92c3e610797d53cbc044b37c
3.5,-0.090625,True,True,DONE,26.706666666668244,[],4a066c81aae554ef9e84e94cbc3f5156fc982e05049b724936eed876ae5f0f6e
3.5,-0.18125,True,True,DONE,27.08333333333493,[],e7607f8f557e28554ea371a83c1ff130acb381e2077aea8d4415ec0000e6df26
