frame_i,yaw_deg,pose_ok,valid,confidence,model_hash,angle_domain,angle_source,model_det_ok,pos_x_m,pos_z_m,pose_src,pose_n_used,pose_rms_px,keypoint_count,video_frame_i,failure_reason
1467,-4.946624,1,1,0.967773,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13301151,1.56811452,pnp_visible_ransac,9,0.868766,9,0,
1468,-4.894198,1,1,0.967773,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13344258,1.56837642,pnp_visible_ransac,9,0.813063,9,1,
1469,-4.856628,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13350767,1.56767118,pnp_visible_ransac,9,0.900403,9,2,
1470,-4.892149,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13342169,1.56804657,pnp_visible_ransac,9,0.946911,9,3,
1471,-4.977209,1,1,0.968262,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13254704,1.56624007,pnp_visible_ransac,9,0.856072,9,4,
1472,-4.839109,1,1,0.967773,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13319947,1.56629086,pnp_visible_ransac,9,0.793355,9,5,
1473,-4.895279,1,1,0.967773,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13302153,1.56654644,pnp_visible_ransac,9,0.778753,9,6,
1474,-4.932360,1,1,0.967773,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13277403,1.56654465,pnp_visible_ransac,9,0.772860,9,7,
1475,-4.752130,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13353564,1.56701088,pnp_visible_ransac,9,0.786828,9,8,
1476,-4.832667,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13360400,1.56684721,pnp_visible_ransac,9,0.821962,9,9,
1477,-4.835583,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13334283,1.56631827,pnp_visible_ransac,9,0.839870,9,10,
1478,-4.935770,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13343374,1.56711686,pnp_visible_ransac,9,0.911887,9,11,
1479,-4.966872,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13328013,1.56685555,pnp_visible_ransac,9,0.867014,9,12,
1480,-4.876460,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13390011,1.56834424,pnp_visible_ransac,9,0.936115,9,13,
1481,-4.850072,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13392118,1.56758332,pnp_visible_ransac,9,0.874162,9,14,
1482,-5.005103,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13333270,1.56695712,pnp_visible_ransac,9,0.809037,9,15,
1483,-4.829967,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13400877,1.56767833,pnp_visible_ransac,9,0.886432,9,16,
1484,-4.824728,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13383016,1.56772065,pnp_visible_ransac,9,0.830956,9,17,
1485,-4.896650,1,1,0.967285,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13394961,1.56524634,pnp_visible_ransac,9,0.793986,9,18,
1486,-4.857248,1,1,0.968262,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13231494,1.56692410,pnp_visible_ransac,9,0.875233,9,19,
1487,-4.873097,1,1,0.967773,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13263258,1.56827533,pnp_visible_ransac,9,0.859066,9,20,
1488,-4.820829,1,1,0.968262,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13222453,1.56910563,pnp_visible_ransac,9,0.795380,9,21,
1489,-4.975447,1,1,0.968262,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13176203,1.56965220,pnp_visible_ransac,9,0.829988,9,22,
1490,-4.889079,1,1,0.968262,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13225806,1.56838369,pnp_visible_ransac,9,0.802622,9,23,
1491,-4.852070,1,1,0.968262,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.13195981,1.56955719,pnp_visible_ransac,9,0.812360,9,24,
1492,-4.744037,1,1,0.969238,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.12901530,1.57007885,pnp_visible_ransac,9,0.842207,9,25,
1493,-4.863072,1,1,0.970703,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.12299348,1.57088840,pnp_visible_ransac,9,0.878716,9,26,
1494,-4.906724,1,1,0.971680,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.11870863,1.57071328,pnp_visible_ransac,9,0.866193,9,27,
1495,-4.370631,1,1,0.973633,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.10404576,1.57149446,pnp_visible_ransac,9,0.781096,9,28,
1496,-3.787458,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.08916074,1.57015765,pnp_visible_ransac,9,0.851480,9,29,
1497,-3.526644,1,1,0.974121,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.06546430,1.57471716,pnp_visible_ransac,9,0.788325,9,30,
1498,-2.461507,1,1,0.968750,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.03194914,1.56854844,pnp_visible_ransac,9,0.701944,9,31,
1499,-1.420347,1,1,0.974121,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.02214216,1.57025695,pnp_visible_ransac,9,0.962530,9,32,
1500,-0.446944,1,1,0.866211,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.05953283,1.57406437,pnp_visible_ransac,9,0.920728,9,33,
1501,1.605297,1,1,0.975098,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.14156517,1.56666124,pnp_visible_ransac,9,1.316586,9,34,
1502,2.282461,1,1,0.975098,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.15335993,1.57084262,pnp_visible_ransac,9,1.503473,9,35,
1503,1.276047,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11410610,1.57395029,pnp_visible_ransac,9,1.059045,9,36,
1504,0.881840,1,1,0.974121,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.10833178,1.57283366,pnp_visible_ransac,9,0.878446,9,37,
1505,0.892091,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11468754,1.57371962,pnp_visible_ransac,9,0.970574,9,38,
1506,1.185429,1,1,0.975098,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.12681840,1.57136476,pnp_visible_ransac,9,1.093748,9,39,
1507,1.211595,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.12250078,1.56987095,pnp_visible_ransac,9,1.027003,9,40,
1508,0.976322,1,1,0.974121,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11554927,1.57510793,pnp_visible_ransac,9,0.963735,9,41,
1509,1.133153,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11747369,1.57608235,pnp_visible_ransac,9,1.097607,9,42,
1510,1.221089,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11740064,1.57463443,pnp_visible_ransac,9,1.087219,9,43,
1511,1.027404,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11635963,1.57416725,pnp_visible_ransac,9,0.993393,9,44,
1512,1.152619,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11753438,1.57546926,pnp_visible_ransac,9,1.074323,9,45,
1513,0.975646,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11681245,1.57499552,pnp_visible_ransac,9,0.996840,9,46,
1514,1.057893,1,1,0.974121,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11697028,1.57613337,pnp_visible_ransac,9,1.037741,9,47,
1515,0.865929,1,1,0.974121,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11802983,1.57508206,pnp_visible_ransac,9,1.019719,9,48,
1516,0.946309,1,1,0.974121,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11764192,1.57666290,pnp_visible_ransac,9,0.954555,9,49,
1517,0.992407,1,1,0.974121,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11769316,1.57717526,pnp_visible_ransac,9,1.011055,9,50,
1518,0.930759,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11837278,1.57644486,pnp_visible_ransac,9,1.073896,9,51,
1519,1.160441,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11643968,1.57442117,pnp_visible_ransac,9,1.014842,9,52,
1520,1.178184,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11655812,1.57444608,pnp_visible_ransac,9,1.027898,9,53,
1521,1.076877,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11682579,1.57408702,pnp_visible_ransac,9,1.011133,9,54,
1522,0.946387,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11720615,1.57376528,pnp_visible_ransac,9,0.975511,9,55,
1523,1.039641,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11690215,1.57328820,pnp_visible_ransac,9,1.083661,9,56,
1524,1.076877,1,1,0.974609,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.11682579,1.57408702,pnp_visible_ransac,9,1.011133,9,57,
