frame_i,yaw_deg,pose_ok,valid,confidence,model_hash,angle_domain,angle_source,model_det_ok,pos_x_m,pos_z_m,pose_src,pose_n_used,pose_rms_px,keypoint_count,video_frame_i,failure_reason
36,-12.873190,1,1,0.934570,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17340037,5.09941959,pnp_visible_ransac,9,0.445133,9,0,
37,-13.003154,1,1,0.936035,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.18718068,5.13966656,pnp_visible_ransac,9,0.436472,9,1,
38,-13.171833,1,1,0.935059,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17748095,5.12948132,pnp_visible_ransac,9,0.449208,9,2,
39,-13.170909,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.16897336,5.12439060,pnp_visible_ransac,9,0.406290,9,3,
40,-13.440427,1,1,0.935547,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17899366,5.13208199,pnp_visible_ransac,9,0.420803,9,4,
41,-13.520035,1,1,0.935547,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.18624331,5.14016724,pnp_visible_ransac,9,0.365885,9,5,
42,-13.426854,1,1,0.935547,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.18374282,5.14620495,pnp_visible_ransac,9,0.419345,9,6,
43,-13.227453,1,1,0.934082,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17059913,5.13485670,pnp_visible_ransac,9,0.401952,9,7,
44,-13.001736,1,1,0.933594,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.16877988,5.12844706,pnp_visible_ransac,9,0.456931,9,8,
45,-13.250193,1,1,0.935059,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17711145,5.12023926,pnp_visible_ransac,9,0.382243,9,9,
46,-13.314309,1,1,0.935547,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.18149602,5.12779236,pnp_visible_ransac,9,0.471292,9,10,
47,-13.203610,1,1,0.935059,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17609468,5.13097429,pnp_visible_ransac,9,0.472367,9,11,
48,-13.190758,1,1,0.933105,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17062694,5.13910866,pnp_visible_ransac,9,0.369548,9,12,
49,-13.162065,1,1,0.933594,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17732455,5.12363052,pnp_visible_ransac,9,0.491069,9,13,
50,-13.109247,1,1,0.933105,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17448126,5.12454891,pnp_visible_ransac,9,0.452449,9,14,
51,-13.096944,1,1,0.933105,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.16902810,5.13300991,pnp_visible_ransac,9,0.424694,9,15,
52,-13.096944,1,1,0.932617,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.16902810,5.13300991,pnp_visible_ransac,9,0.424694,9,16,
53,-13.297800,1,1,0.934082,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17814662,5.11068630,pnp_visible_ransac,9,0.426719,9,17,
54,-13.203194,1,1,0.933594,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17631274,5.11772776,pnp_visible_ransac,9,0.427483,9,18,
55,-13.235378,1,1,0.933105,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17198189,5.12949705,pnp_visible_ransac,9,0.441444,9,19,
56,-13.191571,1,1,0.933105,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.17063774,5.13926411,pnp_visible_ransac,9,0.417651,9,20,
