frame_i,yaw_deg,pose_ok,valid,confidence,model_hash,angle_domain,angle_source,model_det_ok,pos_x_m,pos_z_m,pose_src,pose_n_used,pose_rms_px,keypoint_count,video_frame_i,failure_reason
194,0.398404,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93287247,3.58433867,pnp_visible_ransac,9,0.731635,9,0,
195,0.369989,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93185383,3.58191586,pnp_visible_ransac,9,0.696403,9,1,
196,0.514383,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93367743,3.58221078,pnp_visible_ransac,9,0.778290,9,2,
197,0.468341,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93385541,3.58330369,pnp_visible_ransac,9,0.709810,9,3,
198,0.479064,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93396884,3.58492517,pnp_visible_ransac,9,0.677545,9,4,
199,0.487210,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93404561,3.58387733,pnp_visible_ransac,9,0.712901,9,5,
200,0.487596,1,1,0.936035,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93393129,3.58338213,pnp_visible_ransac,9,0.676061,9,6,
201,0.402798,1,1,0.936035,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93288577,3.58345127,pnp_visible_ransac,9,0.735596,9,7,
202,0.434564,1,1,0.936035,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93384707,3.58521986,pnp_visible_ransac,9,0.709332,9,8,
203,0.398345,1,1,0.936035,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93293267,3.58410287,pnp_visible_ransac,9,0.738811,9,9,
204,0.574952,1,1,0.936035,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93499774,3.58593416,pnp_visible_ransac,9,0.778323,9,10,
205,0.569899,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93492699,3.58610415,pnp_visible_ransac,9,0.741765,9,11,
206,0.583510,1,1,0.936035,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93489939,3.58462548,pnp_visible_ransac,9,0.770966,9,12,
207,0.574161,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93491781,3.58562398,pnp_visible_ransac,9,0.743047,9,13,
208,0.574161,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93491781,3.58562398,pnp_visible_ransac,9,0.743047,9,14,
209,0.574161,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93491781,3.58562398,pnp_visible_ransac,9,0.743047,9,15,
210,0.570019,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93496853,3.58627987,pnp_visible_ransac,9,0.748582,9,16,
211,0.529742,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93473715,3.58615899,pnp_visible_ransac,9,0.768351,9,17,
212,0.603903,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93529516,3.58813381,pnp_visible_ransac,9,0.739554,9,18,
213,0.568388,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93485969,3.58667493,pnp_visible_ransac,9,0.724179,9,19,
214,0.571207,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93493384,3.58609271,pnp_visible_ransac,9,0.749675,9,20,
215,0.574952,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93499774,3.58593416,pnp_visible_ransac,9,0.778323,9,21,
216,0.439872,1,1,0.935547,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93382013,3.58511567,pnp_visible_ransac,9,0.738574,9,22,
217,0.405325,1,1,0.935547,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93180257,3.57969856,pnp_visible_ransac,9,0.679110,9,23,
218,0.388036,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93174088,3.57961965,pnp_visible_ransac,9,0.721806,9,24,
219,0.383588,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93178761,3.58026981,pnp_visible_ransac,9,0.723997,9,25,
220,0.388036,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93174088,3.57961965,pnp_visible_ransac,9,0.721806,9,26,
221,0.388036,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93174088,3.57961965,pnp_visible_ransac,9,0.721806,9,27,
222,0.392482,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93169415,3.57896948,pnp_visible_ransac,9,0.720207,9,28,
223,0.345395,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.93154937,3.57925367,pnp_visible_ransac,9,0.728191,9,29,
224,0.036869,1,1,0.936523,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.92411000,3.58109999,pnp_visible_ransac,9,0.774112,9,30,
225,0.434693,1,1,0.932617,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.92302716,3.58794045,pnp_visible_ransac,9,0.707941,9,31,
226,-0.003907,1,1,0.935547,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.91480011,3.58488250,pnp_visible_ransac,9,0.774668,9,32,
