frame_i,yaw_deg,pose_ok,valid,confidence,model_hash,angle_domain,angle_source,model_det_ok,pos_x_m,pos_z_m,pose_src,pose_n_used,pose_rms_px,keypoint_count,video_frame_i,failure_reason
36,16.684357,1,1,0.962891,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.35391861,2.97354388,pnp_visible_ransac,9,0.502370,9,0,
37,16.585530,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.35559201,2.97560477,pnp_visible_ransac,9,0.382145,9,1,
38,16.614037,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.35561508,2.97618103,pnp_visible_ransac,9,0.352427,9,2,
39,16.531845,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.35632911,2.97704148,pnp_visible_ransac,9,0.396391,9,3,
40,16.582180,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.35619047,2.97933888,pnp_visible_ransac,9,0.322800,9,4,
41,16.668041,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.35574654,2.97777128,pnp_visible_ransac,9,0.342041,9,5,
42,16.744757,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.35538563,2.98159885,pnp_visible_ransac,9,0.341137,9,6,
43,16.838674,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.35695830,2.97899914,pnp_visible_ransac,9,0.363692,9,7,
44,16.845868,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.36035815,2.97743940,pnp_visible_ransac,9,0.312701,9,8,
45,16.975694,1,1,0.963867,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.36088765,2.97433615,pnp_visible_ransac,9,0.376166,9,9,
46,17.022544,1,1,0.963867,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.36583871,2.97715497,pnp_visible_ransac,9,0.431919,9,10,
47,17.210668,1,1,0.962891,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.37931523,2.96100640,pnp_visible_ransac,9,0.497316,9,11,
48,17.530930,1,1,0.963379,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,0.38980666,2.96632290,pnp_visible_ransac,9,0.358529,9,12,
