recording,step,direction,model_hash,command_start_host_s,command_stop_host_s,command_start_iso,command_stop_iso,command_duration_s,start_angle_deg,end_angle_deg,signed_rotation_deg,rotation_magnitude_deg,endpoint_noise_scale_deg,start_first_frame_i,start_last_frame_i,end_first_frame_i,end_last_frame_i,end_observation_after_stop_s,accepted,exclusion_reasons
forklift_v4_recording_20260904_103429,1,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1213.875,1215.671,2026-09-04T10:34:35.217,2026-09-04T10:34:37.007,1.7960000000000491,,,,,,,,,,,False,pre_fewer_than_5_valid_frames; post_fewer_than_5_valid_frames
forklift_v4_recording_20260904_103429,3,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1232.218,1234.0,2026-09-04T10:34:53.566,2026-09-04T10:34:55.338,1.7819999999999254,1.0080855,7.3741639999999995,6.366078499999986,6.366078499999986,0.323592503335939,113,120,146,152,2.698623537994081,False,post_yaw_rate_above_1deg_s; post_yaw_p90_p10_above_1.5deg; post_yaw_step_above_2deg; post_position_rate_above_0.05m_s
forklift_v4_recording_20260904_103739,2,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1420.578,1422.937,2026-09-04T10:38:01.906,2026-09-04T10:38:04.260,2.3589999999999236,-14.84675,-25.234168000000004,-10.387417999999997,10.387417999999997,0.09888361951858389,227,237,282,293,2.6332020551747064,True,
forklift_v4_recording_20260904_103739,3,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1426.781,1428.812,2026-09-04T10:38:08.102,2026-09-04T10:38:10.139,2.030999999999949,-25.270842,-14.093139,11.177703000000008,11.177703000000008,0.046424178236793345,296,306,347,359,2.628676239695551,True,
forklift_v4_recording_20260904_103739,4,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1432.343,1434.703,2026-09-04T10:38:13.666,2026-09-04T10:38:16.027,2.3599999999999,-14.12245,-25.479365,-11.356915000000015,11.356915000000015,0.032010160543981224,358,370,422,434,2.6081316234942733,True,
forklift_v4_recording_20260904_103739,5,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1438.312,1440.484,2026-09-04T10:38:19.632,2026-09-04T10:38:21.810,2.1720000000000255,-25.4586235,-12.587878000000002,12.870745499999998,12.870745499999998,0.09708553168620822,435,446,494,506,2.6645587777954916,True,
forklift_v4_recording_20260904_103739,6,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1444.0,1446.531,2026-09-04T10:38:25.317,2026-09-04T10:38:27.850,2.530999999999949,-12.611343,-25.206233000000005,-12.594889999999992,12.594889999999992,0.0708021771485858,505,517,569,581,2.6879732696525025,True,
forklift_v4_recording_20260904_103739,7,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1450.093,1452.14,2026-09-04T10:38:31.419,2026-09-04T10:38:33.461,2.0470000000000255,-25.13432,-16.241541,8.89277899999999,8.89277899999999,0.11421310518165911,580,592,641,653,2.682948684146595,True,
forklift_v4_recording_20260904_103739,8,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1455.687,1457.796,2026-09-04T10:38:37.001,2026-09-04T10:38:39.117,2.109000000000151,-16.341716,-23.909268,-7.567552000000006,7.567552000000006,0.06542373673379488,652,664,711,723,2.6636366225068286,True,
forklift_v4_recording_20260904_103739,9,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,1461.515,1463.515,2026-09-04T10:38:42.834,2026-09-04T10:38:44.829,2.0,-23.992461499999997,-15.184067,8.808394499999991,8.808394499999991,0.07089893341451325,724,735,782,794,2.681682570989551,True,
