target_deg,diagnostic_earliest_duration_s
1,0.9967873983537303
2,1.2511006571875618
3,1.5054139160213933
5,1.726415795205137
8,1.8124423839432608
10,2.3400203919808478
12,2.39292400905578
15,2.5242726987240607
