command_duration_s,predicted_total_rotation_deg
0.0,0.0
0.3279999999977008,0.088575249999991
0.7649999999994179,0.088575249999991
1.5149999999998727,3.0376939999999877
1.5159999999996217,3.6774208897058847
1.5470000000000255,3.6774208897058847
1.719000000000051,4.826739500000002
1.7970000000000255,6.64910900000001
1.8290000000015425,9.448450873699846
2.312999999999988,9.448450873699846
2.3589999999999236,10.387417999999997
2.3599999999999,11.356915000000015
2.436999999999898,12.86090999999999
2.530999999999949,15.164888941176468
5.65599999999904,15.164888941176468
