recording,step,direction,model_hash,command_start_host_s,command_stop_host_s,command_start_iso,command_stop_iso,command_duration_s,start_angle_deg,end_angle_deg,signed_rotation_deg,rotation_magnitude_deg,endpoint_noise_scale_deg,start_first_frame_i,start_last_frame_i,end_first_frame_i,end_last_frame_i,end_observation_after_stop_s,accepted,exclusion_reasons
forklift_v4_recording_20260903_192254,4,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,28128.093,28129.562,2026-09-03T19:23:14.431,2026-09-03T19:23:15.895,1.4690000000009604,3.982818,3.909809,-0.0730090000000132,0.0730090000000132,0.386711866136107,242,256,295,308,2.673995744848071,True,
forklift_v4_recording_20260903_192254,5,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,28133.093,28134.578,2026-09-03T19:23:19.435,2026-09-03T19:23:20.922,1.485000000000582,3.8180489999999994,3.544812,-0.2732369999999946,0.2732369999999946,0.5088767183351444,306,320,368,382,2.694655950010201,True,
forklift_v4_recording_20260903_192254,6,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,28137.593,28139.046,2026-09-03T19:23:23.939,2026-09-03T19:23:25.386,1.4529999999977008,3.5693745,0.1521405,-3.4172340000000077,3.4172340000000077,0.6354272103753956,372,387,429,442,2.6631860917113954,True,
forklift_v4_recording_20260904_102504,4,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,668.015,670.328,2026-09-04T10:25:29.351,2026-09-04T10:25:31.676,2.312999999999988,-14.34835,-22.6808605,-8.332510500000012,8.332510500000012,0.053884969549075665,215,224,263,272,2.601379175829038,True,
forklift_v4_recording_20260904_103429,3,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1232.218,1234.0,2026-09-04T10:34:53.566,2026-09-04T10:34:55.338,1.7819999999999254,1.580902,7.839738,6.258836000000002,6.258836000000002,0.23166325410452698,113,120,146,152,2.698623537994081,True,
forklift_v4_recording_20260904_103739,3,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1426.781,1428.812,2026-09-04T10:38:08.102,2026-09-04T10:38:10.139,2.030999999999949,-27.055667,-15.412943999999998,11.64272299999999,11.64272299999999,0.09103775763226185,297,306,347,359,2.628553920063041,True,
forklift_v4_recording_20260904_103739,4,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1432.343,1434.703,2026-09-04T10:38:13.666,2026-09-04T10:38:16.027,2.3599999999999,-15.400347,-27.08001,-11.679663000000005,11.679663000000005,0.07939270049823058,358,370,422,434,2.608074244877571,True,
forklift_v4_recording_20260904_103739,5,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1438.312,1440.484,2026-09-04T10:38:19.632,2026-09-04T10:38:21.810,2.1720000000000255,-27.092619,-14.199852000000002,12.892766999999992,12.892766999999992,0.0772178838503374,435,446,494,506,2.6645659748246544,True,
forklift_v4_recording_20260904_103739,6,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1444.0,1446.531,2026-09-04T10:38:25.317,2026-09-04T10:38:27.850,2.530999999999949,-14.293989,-26.931726,-12.637737000000016,12.637737000000016,0.10623565698362843,505,517,569,581,2.6880476197145526,True,
forklift_v4_recording_20260904_103739,7,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1450.093,1452.14,2026-09-04T10:38:31.419,2026-09-04T10:38:33.461,2.0470000000000255,-26.837845000000005,-18.064294,8.773550999999998,8.773550999999998,0.06309359125368626,580,592,641,653,2.6830850273302076,True,
forklift_v4_recording_20260904_103739,8,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1455.687,1457.796,2026-09-04T10:38:37.001,2026-09-04T10:38:39.117,2.109000000000151,-18.062931,-25.670125,-7.607193999999993,7.607193999999993,0.10442512312168033,652,664,711,723,2.6638353206894863,True,
forklift_v4_recording_20260904_103739,9,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1461.515,1463.515,2026-09-04T10:38:42.834,2026-09-04T10:38:44.829,2.0,-25.854226,-17.288666,8.565560000000005,8.565560000000005,0.0798491226695635,724,735,782,794,2.681944734366425,True,
forklift_v4_recording_20260904_104212,3,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1691.64,1694.171,2026-09-04T10:42:32.929,2026-09-04T10:42:35.459,2.530999999999949,-14.200371,-34.244257,-20.043885999999986,20.043885999999986,0.20974291462781786,198,208,256,266,2.6933777101914984,True,
forklift_v4_recording_20260904_104212,4,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1698.0,1700.437,2026-09-04T10:42:39.279,2026-09-04T10:42:41.726,2.436999999999898,-33.89414,-18.530078,15.36406199999999,15.36406199999999,0.21363025121904822,268,278,325,337,2.697862749249907,True,
forklift_v4_recording_20260904_104212,5,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1704.093,1706.25,2026-09-04T10:42:45.381,2026-09-04T10:42:47.532,2.1569999999999254,-18.70082,-27.4806025,-8.77978250000001,8.77978250000001,0.09656051770128855,337,348,395,406,2.6554433861119833,True,
forklift_v4_recording_20260904_104212,6,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1709.875,1711.968,2026-09-04T10:42:51.157,2026-09-04T10:42:53.252,2.0930000000000746,-27.423359,-16.255452,11.167907000000014,11.167907000000014,0.05283802124769295,406,418,465,476,2.6407979069947487,True,
forklift_v4_recording_20260904_105241,0,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2307.25,2307.546,2026-09-04T10:52:48.442,2026-09-04T10:52:48.743,0.29599999999982174,-4.525979,-4.366866,0.15911299999999073,0.15911299999999073,0.088890016260198,36,42,59,67,2.6195788025715956,True,
forklift_v4_recording_20260904_105615,2,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2530.0,2531.421,2026-09-04T10:56:31.169,2026-09-04T10:56:32.591,1.4209999999998217,-8.2397335,-7.8967385000000005,0.34299500000000194,0.34299500000000194,0.041547460169077365,110,121,156,167,2.688000000000102,True,
