recording,step,actual_can_duration_s,observed_cleanlabel_rotation_deg,capture_response_predicted_heading_deg,selected_linear_predicted_heading_deg,logged_plan_hold_sec,logged_plan_total_deg,logged_domain,bearing_gain,capture_coast_reduction_in_logged_domain_deg
forklift_v4_recording_20260903_190743,2,2.0,10.152276999999998,9.970891131444613,8.75779081269353,2.09187277278839,11.074283132633179,heading,1.0,0.0
forklift_v4_recording_20260903_190743,3,0.7809999999990396,0.30937900000000695,0.017723923205332313,0.0,1.4612806709690362,3.644078268400589,heading,1.0,0.0
forklift_v4_recording_20260903_190743,4,1.4840000000003783,2.612799499999994,3.874023039366553,2.5129164653674736,1.5430474871590003,4.504549163651428,heading,1.0,0.0
forklift_v4_recording_20260903_190743,7,0.7809999999990396,0.10587599999999497,0.017723923205332313,0.0,1.3793744603496645,2.873491491027009,heading,1.0,0.0
forklift_v4_recording_20260903_190743,8,0.8590000000003783,0.04771700000000578,0.11339631144666482,0.0,1.386877122127835,2.940273842332627,heading,1.0,0.0
forklift_v4_recording_20260903_190743,9,0.7350000000005821,0.05919249999999465,0.00017035681670631703,0.0,1.3482180219778357,2.6043708750993053,heading,1.0,0.0
forklift_v4_recording_20260903_190743,10,1.1570000000028813,0.7242195000000038,1.2424395210574328,0.0,1.3920142600808703,2.986442767749338,heading,1.0,0.0
forklift_v4_recording_20260903_192254,2,1.4529999999977008,0.10784449999999879,3.562017936751343,2.1377399057086155,1.441208805375576,4.169642088830893,bearing,1.2097204449849634,0.0
forklift_v4_recording_20260903_192254,3,1.4529999999977008,0.1880754999999965,3.562017936751343,2.1377399057086155,1.4436010795420482,4.201669906068189,bearing,1.210853010597796,0.0
forklift_v4_recording_20260903_192254,4,1.4690000000009604,0.0730090000000132,3.7214174030023375,2.331379420393976,1.4419523386719675,4.176331865301559,bearing,1.209131825804067,0.0
forklift_v4_recording_20260903_192254,5,1.485000000000582,0.2732369999999946,3.8843057768226537,2.5250189350353085,1.4418266131824948,4.173985755244955,bearing,1.2088795004586685,0.0
forklift_v4_recording_20260903_192254,6,1.4529999999977008,3.4172340000000077,3.562017936751343,2.1377399057086155,1.446097514232017,4.234719700965285,bearing,1.2118833800969817,0.0
forklift_v4_recording_20260904_102504,4,2.312999999999988,8.332510500000012,13.73002113144447,12.545863817954025,2.2655788950752953,13.16049366129891,heading,1.0,0.0
forklift_v4_recording_20260904_103429,3,1.7819999999999254,6.258836000000002,7.352711131443717,6.119452425642088,1.7335436867386886,6.7707508091762625,heading,1.0,0.0
forklift_v4_recording_20260904_103739,3,2.030999999999949,11.64272299999999,10.343201131444001,9.132967372319367,2.0909737023818042,14.707487933741218,bearing,1.3293720323072835,0.0
forklift_v4_recording_20260904_103739,4,2.3599999999999,11.679663000000005,14.294491131443412,13.114679892225322,2.341884831614453,14.076927959134196,heading,1.0,0.0
forklift_v4_recording_20260904_103739,5,2.1720000000000255,12.892766999999992,12.036611131444918,10.839415595137384,2.1350079859951805,15.399034122100748,bearing,1.3283804693266454,0.0
forklift_v4_recording_20260904_103739,6,2.530999999999949,12.637737000000016,16.348201131444,15.184202205004091,2.495712879156436,15.924402810113406,heading,1.0,0.0
forklift_v4_recording_20260904_103739,7,2.0470000000000255,8.773550999999998,10.535361131444919,9.326606886966204,2.093327295364708,14.80298781725185,bearing,1.3345941998718294,0.0
forklift_v4_recording_20260904_103739,8,2.109000000000151,7.607193999999993,11.279981131446426,10.076960006220627,2.072192401150069,10.837921869256942,heading,1.0,0.0
forklift_v4_recording_20260904_103739,9,2.0,8.565560000000005,9.970891131444613,8.75779081269353,2.014113979814203,13.599004519701964,bearing,1.3410718000072177,0.0
forklift_v4_recording_20260904_104212,3,2.530999999999949,20.043885999999986,16.348201131444,15.184202205004091,2.5,15.975891131444612,heading,1.0,0.0
forklift_v4_recording_20260904_104212,4,2.436999999999898,15.36406199999999,15.219261131443389,14.046570056458748,2.425157732338217,19.353487908877415,bearing,1.2836401368790915,0.0
forklift_v4_recording_20260904_104212,5,2.1569999999999254,8.77978250000001,11.856461131443718,10.657878550155631,2.1416215543610715,11.671765999321082,heading,1.0,0.0
forklift_v4_recording_20260904_104212,6,2.0930000000000746,11.167907000000014,11.087821131445509,9.883320491573793,2.1120260811185156,14.96612049376313,bearing,1.3225248773492964,0.0
forklift_v4_recording_20260904_105615,2,1.4209999999998217,0.34299500000000194,3.2536857271509865,1.7504608764424618,1.3749640072975278,2.8345914043033504,heading,1.0,0.0
forklift_v4_recording_20260904_105615,3,1.1570000000001528,0.8150789999999972,1.2424395210415546,0.0,1.361709741294781,2.719284551634925,heading,1.0,0.0
forklift_v4_recording_20260904_105615,5,1.405999999999949,1.845577999999989,3.113959066122196,1.568923831463461,1.4282259581041798,3.3220907254332683,heading,1.0,0.0
forklift_v4_recording_20260904_105615,9,1.3119999999998981,1.3124525000000062,2.30815769474319,0.4312916829181164,1.3598184442109633,2.7030262109956,heading,1.0,0.0
forklift_v4_recording_20260904_142318,2,2.5,15.317613499999993,14.905891131444612,14.809025645378256,2.5,14.905891131444612,heading,1.0,1.07
forklift_v4_recording_20260904_144221,2,0.7339999999999236,0.20459800000000428,0.0,0.0,1.49360200995278,2.903320822390553,heading,1.0,1.07
forklift_v4_recording_20260904_144733,3,1.5470000000000255,1.3624210000000119,3.4784520480009475,3.275372054281478,1.4650031831896073,2.611272337368287,heading,1.0,1.07
forklift_v4_recording_20260904_144733,6,1.7970000000000255,7.893016999999986,6.462861131444917,6.300989470623841,1.7745280950097269,6.192973552511432,heading,1.0,1.07
forklift_v4_recording_20260904_145924,2,2.0160000000000764,8.445024999999987,9.093051131445531,8.951430327340367,1.9990849206561427,8.889901028524886,heading,1.0,1.07
forklift_v4_recording_20260904_145924,4,1.5149999999998727,2.3439439999999934,3.1291251740153023,2.8880930249878065,1.4621248857651516,2.5824968159027706,heading,1.0,1.07
forklift_v4_recording_20260904_150944,2,1.5159999999996217,5.466808500000013,3.139830396371945,2.900195494650138,1.5822068881458993,3.8789103634662707,heading,1.0,1.07
forklift_v4_recording_20260904_150944,4,1.719000000000051,4.873172000000011,5.526081131445224,5.356996836725331,1.700993623806414,5.309824553359644,heading,1.0,1.07
forklift_v4_recording_20260904_190446,3,2.0310000000026776,8.119698,9.273201131476771,9.132967372352388,1.9666202221944533,8.499999999999996,heading,1.0,1.07
forklift_v4_recording_20260904_190446,4,0.3279999999977008,0.1606209999999919,0.0,0.0,1.4538096256646282,2.4999999999999956,heading,1.0,1.07
forklift_v4_recording_20260904_190446,8,0.7649999999994179,0.05310249999999428,0.0,0.0,1.4538096256646282,2.4999999999999956,heading,1.0,1.07
