recording,step,direction,model_hash,command_start_host_s,command_stop_host_s,command_start_iso,command_stop_iso,command_duration_s,start_angle_deg,end_angle_deg,signed_rotation_deg,rotation_magnitude_deg,endpoint_noise_scale_deg,start_first_frame_i,start_last_frame_i,end_first_frame_i,end_last_frame_i,end_observation_after_stop_s,accepted,exclusion_reasons
forklift_v4_recording_20260904_102630,4,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,770.453,772.843,2026-09-04T10:27:11.800,2026-09-04T10:27:14.192,2.3899999999999864,,,,,,,,,,,False,pre_fewer_than_5_valid_frames; post_fewer_than_5_valid_frames
forklift_v4_recording_20260904_103429,1,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1213.875,1215.671,2026-09-04T10:34:35.217,2026-09-04T10:34:37.007,1.7960000000000491,,,,,,,,,,,False,pre_fewer_than_5_valid_frames; post_fewer_than_5_valid_frames
forklift_v4_recording_20260904_103429,3,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1232.218,1234.0,2026-09-04T10:34:53.566,2026-09-04T10:34:55.338,1.7819999999999254,1.580902,7.839738,6.258836000000002,6.258836000000002,0.23166325410452698,113,120,146,152,2.698623537994081,True,
forklift_v4_recording_20260904_103739,2,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1420.578,1422.937,2026-09-04T10:38:01.906,2026-09-04T10:38:04.260,2.3589999999999236,-16.163936,-26.8999605,-10.736024499999985,10.736024499999985,0.5761174701554549,227,237,267,277,1.2322432009291333,False,post_observation_ends_before_STOP_plus_1.5s; post_yaw_noise_above_0.5deg
forklift_v4_recording_20260904_103739,3,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1426.781,1428.812,2026-09-04T10:38:08.102,2026-09-04T10:38:10.139,2.030999999999949,-27.055667,-15.412943999999998,11.64272299999999,11.64272299999999,0.09103775763226185,297,306,347,359,2.628553920063041,True,
forklift_v4_recording_20260904_103739,4,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1432.343,1434.703,2026-09-04T10:38:13.666,2026-09-04T10:38:16.027,2.3599999999999,-15.400347,-27.08001,-11.679663000000005,11.679663000000005,0.07939270049823058,358,370,422,434,2.608074244877571,True,
forklift_v4_recording_20260904_103739,5,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1438.312,1440.484,2026-09-04T10:38:19.632,2026-09-04T10:38:21.810,2.1720000000000255,-27.092619,-14.199852000000002,12.892766999999992,12.892766999999992,0.0772178838503374,435,446,494,506,2.6645659748246544,True,
forklift_v4_recording_20260904_103739,6,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1444.0,1446.531,2026-09-04T10:38:25.317,2026-09-04T10:38:27.850,2.530999999999949,-14.293989,-26.931726,-12.637737000000016,12.637737000000016,0.10623565698362843,505,517,569,581,2.6880476197145526,True,
forklift_v4_recording_20260904_103739,7,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1450.093,1452.14,2026-09-04T10:38:31.419,2026-09-04T10:38:33.461,2.0470000000000255,-26.837845000000005,-18.064294,8.773550999999998,8.773550999999998,0.06309359125368626,580,592,641,653,2.6830850273302076,True,
forklift_v4_recording_20260904_103739,8,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1455.687,1457.796,2026-09-04T10:38:37.001,2026-09-04T10:38:39.117,2.109000000000151,-18.062931,-25.670125,-7.607193999999993,7.607193999999993,0.10442512312168033,652,664,711,723,2.6638353206894863,True,
forklift_v4_recording_20260904_103739,9,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1461.515,1463.515,2026-09-04T10:38:42.834,2026-09-04T10:38:44.829,2.0,-25.854226,-17.288666,8.565560000000005,8.565560000000005,0.0798491226695635,724,735,782,794,2.681944734366425,True,
forklift_v4_recording_20260904_104212,1,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1674.718,1676.078,2026-09-04T10:42:16.013,2026-09-04T10:42:17.359,1.3599999999999,,,,,,,,,,,False,pre_fewer_than_5_valid_frames
forklift_v4_recording_20260904_104212,3,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1691.64,1694.171,2026-09-04T10:42:32.929,2026-09-04T10:42:35.459,2.530999999999949,-14.200371,-34.244257,-20.043885999999986,20.043885999999986,0.20974291462781786,198,208,256,266,2.6933777101914984,True,
forklift_v4_recording_20260904_104212,4,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1698.0,1700.437,2026-09-04T10:42:39.279,2026-09-04T10:42:41.726,2.436999999999898,-33.89414,-18.530078,15.36406199999999,15.36406199999999,0.21363025121904822,268,278,325,337,2.697862749249907,True,
forklift_v4_recording_20260904_104212,5,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1704.093,1706.25,2026-09-04T10:42:45.381,2026-09-04T10:42:47.532,2.1569999999999254,-18.70082,-27.4806025,-8.77978250000001,8.77978250000001,0.09656051770128855,337,348,395,406,2.6554433861119833,True,
forklift_v4_recording_20260904_104212,6,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1709.875,1711.968,2026-09-04T10:42:51.157,2026-09-04T10:42:53.252,2.0930000000000746,-27.423359,-16.255452,11.167907000000014,11.167907000000014,0.05283802124769295,406,418,465,476,2.6407979069947487,True,
forklift_v4_recording_20260904_105508,1,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2451.812,2454.281,2026-09-04T10:55:12.995,2026-09-04T10:55:15.461,2.469000000000051,,,,,,,,,,,False,pre_fewer_than_5_valid_frames
forklift_v4_recording_20260904_142318,2,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,1645.609,1648.109,2026-09-04T14:23:38.915,2026-09-04T14:23:41.405,2.5,0.5699590000000001,15.887572500000001,15.317613499999993,15.317613499999993,0.07590773352830248,200,211,262,277,2.6720000000000255,True,
forklift_v4_recording_20260904_144221,1,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2772.781,2774.89,2026-09-04T14:42:26.074,2026-09-04T14:42:28.184,2.1089999999999236,,,,,,,,,,,False,pre_fewer_than_5_valid_frames
forklift_v4_recording_20260904_144221,2,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,2781.953,2782.687,2026-09-04T14:42:35.250,2026-09-04T14:42:35.986,0.7339999999999236,29.322095000000004,29.526693000000005,0.20459800000000428,0.20459800000000428,0.09953797693828431,123,133,161,171,2.670177341226008,True,
forklift_v4_recording_20260904_144733,3,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,3106.609,3108.156,2026-09-04T14:47:59.917,2026-09-04T14:48:01.450,1.5470000000000255,5.467949,6.83037,1.3624210000000119,1.3624210000000119,0.0415701750947654,293,303,336,347,2.625,True,
forklift_v4_recording_20260904_144733,6,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,3136.671,3138.468,2026-09-04T14:48:29.976,2026-09-04T14:48:31.765,1.7970000000000255,6.566552,-1.326465,-7.893016999999986,7.893016999999986,0.03664679766517053,614,624,660,670,2.625,True,
forklift_v4_recording_20260904_145924,2,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,3806.765,3808.781,2026-09-04T14:59:40.058,2026-09-04T14:59:42.083,2.0160000000000764,13.079296,4.634271,-8.445024999999987,8.445024999999987,0.0547846007537871,151,161,202,213,2.6731496111606248,True,
forklift_v4_recording_20260904_145924,4,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,3826.203,3827.718,2026-09-04T14:59:59.497,2026-09-04T15:00:01.012,1.5149999999998727,3.359738,1.015794,-2.3439439999999934,2.3439439999999934,0.09982226324801899,383,395,433,445,2.6482502499993643,True,
forklift_v4_recording_20260904_150944,2,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,4429.359,4430.875,2026-09-04T15:10:02.656,2026-09-04T15:10:04.178,1.5159999999996217,-1.3968585,4.06995,5.466808500000013,5.466808500000013,0.18099280623991257,135,144,167,176,1.875,True,
forklift_v4_recording_20260904_150944,3,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,4439.812,4441.531,2026-09-04T15:10:13.115,2026-09-04T15:10:14.828,1.719000000000051,,,,,,,,,,,False,pre_fewer_than_5_valid_frames
forklift_v4_recording_20260904_150944,4,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,4449.484,4451.203,2026-09-04T15:10:22.784,2026-09-04T15:10:24.509,1.719000000000051,-2.555652,2.31752,4.873172000000011,4.873172000000011,0.06811055336657457,266,274,306,315,2.592999999999847,True,
forklift_v4_recording_20260904_190446,1,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,18517.453,18519.187,2026-09-04T19:04:50.750,2026-09-04T19:04:52.485,1.7340000000003783,,,,,,,,,,,False,pre_fewer_than_5_valid_frames
forklift_v4_recording_20260904_190446,3,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,18541.531,18543.562,2026-09-04T19:05:14.832,2026-09-04T19:05:16.861,2.0310000000026776,-12.897157,-21.016855,-8.119698,8.119698,0.21775536668081516,282,292,337,348,2.645864037822321,True,
forklift_v4_recording_20260904_190446,4,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,18550.453,18550.781,2026-09-04T19:05:23.750,2026-09-04T19:05:24.074,0.3279999999977008,-21.120774,-20.960153,0.1606209999999919,0.1606209999999919,0.3078460621544851,387,397,422,433,2.69720841545859,True,
forklift_v4_recording_20260904_190446,8,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,18578.531,18579.296,2026-09-04T19:05:51.835,2026-09-04T19:05:52.593,0.7649999999994179,-21.071254,-21.018151500000002,0.05310249999999428,0.05310249999999428,0.42415236883966406,717,727,756,767,2.668611272019916,True,
