beta_deg,camera_z_m,category,clearance_m,cycles,elapsed_sec,final_camera_z_m,final_yaw_deg,forward_m,min_fov_deg,radius_m,reason,success,terminal,turn_deg,x_m,y_m
-40.0,-0.20132444371543795,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.5785088487178853,0.6894399988070802
-37.5,-0.21634433716017942,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.5478852861078486,0.7140180062621116
-35.0,-0.23053362435894553,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.5162187927159415,0.7372368398600926
-32.5,-0.24386529519708722,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.48356964751214143,0.7590523012315972
-30.0,-0.25631397208144135,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.44999999999999996,0.7794228634059949
-27.5,-0.267855958248022,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.4155737519115305,0.7983097498603996
-25.0,-0.27846928287015754,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.3803564355666295,0.815677008332985
-22.5,-0.28813374288120774,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.3444150891285808,0.831491579260158
-20.0,-0.29683094143224975,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.30781812899310185,0.8457233587073176
-17.5,-0.3045443229115249,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.27063521955384584,0.8583452556734043
-15.0,-0.3112592044589877,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.23293714059226867,0.8693332436601615
-12.5,-0.31696280391596343,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.1947956525442926,0.87866640640794
-10.0,-0.32164426415671443,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.1562833599002373,0.8863269777109872
-7.5,-0.32529467375559573,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.11747357299804642,0.8923003752364294
-5.0,-0.3279070839504601,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.07844016847289235,0.896575228282571
-2.5,-0.32947652187002185,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.0392574486288024,0.899143399423672
0.0,-0.33000000000000007,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.0,0.9
2.5,-0.32947652187002185,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.0392574486288024,0.899143399423672
5.0,-0.3279070839504601,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.07844016847289235,0.896575228282571
7.5,-0.32529467375559573,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.11747357299804642,0.8923003752364294
10.0,-0.32164426415671443,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.1562833599002373,0.8863269777109872
12.5,-0.31696280391596343,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.1947956525442926,0.87866640640794
15.0,-0.3112592044589877,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.23293714059226867,0.8693332436601615
17.5,-0.3045443229115249,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.27063521955384584,0.8583452556734043
20.0,-0.29683094143224975,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.30781812899310185,0.8457233587073176
22.5,-0.28813374288120774,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,0.3444150891285808,0.831491579260158
