seg_id,tag,cmd,t_from_cmd_s,t_from_onset_s,angle_deg,during_command,usable
0,20260901_173507,ROT_LEFT,-1.1720000000022992,-2.201413462538767,0.020095647434642316,True,True
0,20260901_173507,ROT_LEFT,-1.0780000000013388,-2.1074134625378065,0.00036215971542752357,True,True
0,20260901_173507,ROT_LEFT,-0.9840000000003783,-2.013413462536846,-0.0,True,True
0,20260901_173507,ROT_LEFT,-0.8899999999994179,-1.9194134625358856,0.005992104839800838,True,True
0,20260901_173507,ROT_LEFT,-0.7970000000022992,-1.826413462538767,0.007028338264318812,True,True
0,20260901_173507,ROT_LEFT,-0.7030000000013388,-1.7324134625378065,0.004716907845084606,True,True
0,20260901_173507,ROT_LEFT,-0.6090000000003783,-1.638413462536846,-0.0019225493481318523,True,True
0,20260901_173507,ROT_LEFT,-0.5149999999994179,-1.5444134625358856,-0.001367934445742236,True,True
0,20260901_173507,ROT_LEFT,-0.4220000000022992,-1.451413462538767,0.002002656776687317,True,True
0,20260901_173507,ROT_LEFT,-0.3280000000013388,-1.3574134625378065,-0.017408256444964465,True,True
0,20260901_173507,ROT_LEFT,-0.23400000000037835,-1.263413462536846,-0.015315740576645531,True,True
0,20260901_173507,ROT_LEFT,-0.125,-1.1544134625364677,-0.013216198961173653,True,True
0,20260901_173507,ROT_LEFT,-0.030999999999039574,-1.0604134625355073,-0.024488627313262512,True,True
0,20260901_173507,ROT_LEFT,0.0779999999977008,-0.9514134625387669,-0.029810269282177337,True,True
0,20260901_173507,ROT_LEFT,0.17199999999866122,-0.8574134625378065,-0.02672543430726737,True,True
0,20260901_173507,ROT_LEFT,0.2819999999992433,-0.7474134625372244,-0.0019657141695788027,True,True
0,20260901_173507,ROT_LEFT,0.375,-0.6544134625364677,-0.004647602356510738,True,True
0,20260901_173507,ROT_LEFT,0.5,-0.5294134625364677,0.010701328479434835,True,True
0,20260901_173507,ROT_LEFT,0.6100000000005821,-0.41941346253588563,0.024322723722739248,True,True
0,20260901_173507,ROT_LEFT,0.7029999999977008,-0.3264134625387669,0.026927312873757714,True,True
