seg_id,tag,step,cmd,angle_deg,t_from_cmd_s,t_from_onset_s,during_command,usable
2,20260901_173507,7,ROT_RIGHT,14.5,2.219528358156822,1.1893939178116852,False,True
2,20260901_173507,7,ROT_RIGHT,15.0,2.2537808256893186,1.223646385344182,False,True
2,20260901_173507,7,ROT_RIGHT,15.5,2.930196495333803,1.9000620549886662,False,True
3,20260901_173507,8,ROT_LEFT,0.5,1.1321006603975547,0.16790501633295207,True,True
3,20260901_173507,8,ROT_LEFT,1.0,1.4532132430176716,0.48901759895306895,True,True
3,20260901_173507,8,ROT_LEFT,1.5,1.5047593759009033,0.5405637318363006,True,True
3,20260901_173507,8,ROT_LEFT,2.0,1.6519026707173907,0.687707026652788,True,True
3,20260901_173507,8,ROT_LEFT,2.5,1.7178146193182329,0.7536189752536302,True,True
3,20260901_173507,8,ROT_LEFT,3.0,1.813943373010261,0.8497477289456583,True,True
3,20260901_173507,8,ROT_LEFT,3.5,1.832328590026009,0.8681329459614062,True,True
3,20260901_173507,8,ROT_LEFT,4.0,1.8507138070417568,0.8865181629771541,True,True
3,20260901_173507,8,ROT_LEFT,4.5,1.8690990240611427,0.90490337999654,True,True
3,20260901_173507,8,ROT_LEFT,5.0,1.8874842410768906,0.9232885970122879,True,True
3,20260901_173507,8,ROT_LEFT,5.5,1.9058694580926385,0.9416738140280358,True,True
3,20260901_173507,8,ROT_LEFT,6.0,1.925778806420567,0.9615831623559643,True,True
3,20260901_173507,8,ROT_LEFT,6.5,1.956592193171673,0.9923965491070703,True,True
3,20260901_173507,8,ROT_LEFT,7.0,1.987405579919141,1.0232099358545383,True,True
3,20260901_173507,8,ROT_LEFT,7.5,2.018218966666609,1.0540233226020064,True,True
3,20260901_173507,8,ROT_LEFT,8.0,2.0457519041592604,1.0815562600946578,True,True
3,20260901_173507,8,ROT_LEFT,8.5,2.070630600079312,1.1064349560147093,True,True
3,20260901_173507,8,ROT_LEFT,9.0,2.0955092959957256,1.1313136519311229,True,True
3,20260901_173507,8,ROT_LEFT,9.5,2.120387991912139,1.1561923478475364,True,True
3,20260901_173507,8,ROT_LEFT,10.0,2.145236981657945,1.1810413375933422,True,True
3,20260901_173507,8,ROT_LEFT,10.5,2.169942463413463,1.2057468193488603,False,True
3,20260901_173507,8,ROT_LEFT,11.0,2.194647945165343,1.2304523011007404,False,True
3,20260901_173507,8,ROT_LEFT,11.5,2.2193534269172233,1.2551577828526206,False,True
3,20260901_173507,8,ROT_LEFT,12.0,2.2440589086691034,1.2798632646045007,False,True
3,20260901_173507,8,ROT_LEFT,12.5,2.266698383114999,1.3025027390503965,False,True
3,20260901_173507,8,ROT_LEFT,13.0,2.2886837282385386,1.324488084173936,False,True
3,20260901_173507,8,ROT_LEFT,13.5,2.31066907335844,1.3464734292938374,False,True
3,20260901_173507,8,ROT_LEFT,14.0,2.3326544184783415,1.3684587744137389,False,True
3,20260901_173507,8,ROT_LEFT,14.5,2.357236132818798,1.3930404887541954,False,True
3,20260901_173507,8,ROT_LEFT,15.0,2.384586453656084,1.4203908095914812,False,True
3,20260901_173507,8,ROT_LEFT,15.5,2.4119367744897318,1.447741130425129,False,True
3,20260901_173507,8,ROT_LEFT,16.0,2.4392870953270176,1.475091451262415,False,True
3,20260901_173507,8,ROT_LEFT,16.5,2.468969944253331,1.5047743001887284,False,True
3,20260901_173507,8,ROT_LEFT,17.0,2.501368400779029,1.5371727567144262,False,True
3,20260901_173507,8,ROT_LEFT,17.5,2.5337668573047267,1.569571213240124,False,True
3,20260901_173507,8,ROT_LEFT,18.0,2.578222166524938,1.6140265224603354,False,True
4,20260901_173507,9,ROT_RIGHT,0.5,1.269704432495928,0.2734642301365966,True,True
4,20260901_173507,9,ROT_RIGHT,1.0,1.4133688717556652,0.41712866939633386,True,True
4,20260901_173507,9,ROT_RIGHT,1.5,1.5404271363659063,0.544186934006575,True,True
4,20260901_173507,9,ROT_RIGHT,2.0,1.6218609235584154,0.6256207211990841,True,True
4,20260901_173507,9,ROT_RIGHT,2.5,1.6847732652531704,0.6885330628938391,True,True
4,20260901_173507,9,ROT_RIGHT,3.0,1.7351358392334078,0.7388956368740764,True,True
4,20260901_173507,9,ROT_RIGHT,3.5,1.784313474476221,0.7880732721168897,True,True
4,20260901_173507,9,ROT_RIGHT,4.0,1.8250741632582503,0.828833960898919,True,True
4,20260901_173507,9,ROT_RIGHT,4.5,1.8658348520402797,0.8695946496809484,True,True
4,20260901_173507,9,ROT_RIGHT,5.0,1.893347160610574,0.8971069582512428,True,True
4,20260901_173507,9,ROT_RIGHT,5.5,1.9170164153292717,0.9207762129699404,True,True
4,20260901_173507,9,ROT_RIGHT,6.0,1.9406856700479693,0.944445467688638,True,True
4,20260901_173507,9,ROT_RIGHT,6.5,1.964354924763029,0.9681147224036977,True,True
4,20260901_173507,9,ROT_RIGHT,7.0,1.9959836371672282,0.9997434348078968,True,True
4,20260901_173507,9,ROT_RIGHT,7.5,2.029555785811681,1.0333155834523495,False,True
