angle_deg,n,n_during_command,t_cmd_mean,t_cmd_median,t_cmd_sd,t_onset_mean,t_onset_median,t_onset_sd,t_onset_model,t_cmd_model
0.5,10,10,1.2220766084996284,1.2137852373834903,0.10673862099125872,0.2505062425098003,0.21023375318873144,0.09408318131901358,0.21350595132121386,1.2956709007307103
1.0,10,10,1.3734234308369195,1.377407909509202,0.11860661413468492,0.40185306484709143,0.37657892267270654,0.11658848605341597,0.3019430120058306,1.384107961415327
1.5,10,10,1.4680703441677907,1.4522643492236966,0.08476594522766172,0.4964999781779625,0.45836038628840464,0.12571662604758063,0.36980315540666986,1.4519681048161663
2.0,10,8,1.5430435706290155,1.5100835210760124,0.08289802331945811,0.5714732046391873,0.5072057523466356,0.1507394967360478,0.4270119026424277,1.5091768520519242
2.5,10,6,1.5969761345164444,1.5775808699218032,0.0839669616811941,0.6254057685266161,0.5457927417464816,0.16185376079327998,0.4774138207549954,1.5595787701644919
3.0,10,6,1.6465409980373806,1.630671788851032,0.09371154660165239,0.6749706320475525,0.5806947614255478,0.17178368364470747,0.5229806377844781,1.6051455871939746
3.5,10,6,1.6851055599534448,1.6740227582558873,0.09034192174829594,0.7135351939636166,0.6141062833103206,0.17391413928940366,0.5648836506281945,1.647048600037691
4.0,10,6,1.7198295820435305,1.7183652714138589,0.08812415257326087,0.7482592160537024,0.6435849108729599,0.17779445130978305,0.6038860240116612,1.6860509734211577
4.5,10,6,1.7534608616770129,1.751800544672733,0.08771230500012693,0.7818904956871847,0.6730342605751503,0.18319033939455331,0.6405178539636416,1.722682803373138
5.0,10,6,1.7822791008245986,1.7841400587603857,0.08546746918634927,0.8107087348347705,0.7067415260698908,0.1830254802481602,0.675199314593844,1.7573642640033404
5.5,10,6,1.8095706600644916,1.8128368375128048,0.08317840318690603,0.8380002940746636,0.7402639908868878,0.1821401069773981,0.7092991403396853,1.7914640897491818
6.0,10,5,1.836813068975971,1.838895179475003,0.08159756802011489,0.8652427029861428,0.7734893151500728,0.18166197207414755,0.7433989660855267,1.8255639154950232
6.5,10,4,1.8656659334075811,1.8646608670806017,0.08381250154052096,0.8940955674177531,0.797531617930872,0.18772896832239866,0.777498791831368,1.8596637412408645
7.0,9,4,1.887685114483045,1.874411001252156,0.08790960890986114,0.8865963830859174,0.824348318939883,0.16016940614783914,0.8115986175772094,1.893763566986706
7.5,9,2,1.920509705849933,1.900769435622351,0.09980054377333354,0.9194209744528052,0.8699439203264774,0.15990684722949774,0.8456984433230508,1.9278633927325473
8.0,8,2,1.955994179897516,1.9701228238664044,0.11408940414665748,0.9584460398928059,0.8923455944222951,0.16642892946692522,0.8797982690688921,1.9619632184783886
8.5,7,2,1.9741213871046577,1.9910327947472977,0.12402408194812872,0.9972594310711429,0.9339628996858664,0.1752252823372407,0.9138980948147335,1.99606304422423
9.0,7,2,1.9946990885837295,2.013713864118472,0.1231648681731278,1.0178371325502147,0.9490214676807228,0.17586909488321975,0.9479979205605753,2.030162869970072
9.5,7,2,2.01631857715308,2.034007795526122,0.12152192337413552,1.0394566211195655,0.964080035675579,0.17476050682597702,0.9820977463064162,2.0642626957159127
10.0,7,2,2.043901911090091,2.0543017269337724,0.11093843844325697,1.067039955056576,0.9791386036667972,0.16938013438190508,1.016197572052258,2.0983625214617545
10.5,6,1,2.106467941840189,2.1159559170027933,0.1251502913821538,1.1224792941350945,1.1317279430531926,0.17077852235010269,1.050297397798099,2.1324623472075954
11.0,5,1,2.0942874545056838,2.0991327145638934,0.09702959112569362,1.1502081900369376,1.1798376438709963,0.1895621378728135,1.0843972235439407,2.1665621729534372
11.5,5,0,2.1283668586911517,2.164997216965276,0.0972061832005506,1.1842875942224054,1.2059176307775488,0.2023823882893446,1.1184970492897817,2.200661998699278
12.0,5,0,2.168747576486203,2.2282378200434323,0.1069152366147656,1.2246683120174566,1.231997617684101,0.22783529558301704,1.1525968750356235,2.23476182444512
12.5,4,0,2.1709590265618317,2.1791748074156203,0.10516063611572388,1.1637510428063251,1.1619238821094768,0.13662733697722929,1.1866967007814644,2.268861650190961
13.0,4,0,2.217825621924021,2.2393840185231966,0.09421904473150215,1.2106176381685145,1.2258143503750034,0.12273272211084414,1.2207965265273062,2.3029614759368027
13.5,4,0,2.2714696189777897,2.297386879059559,0.09138884097404774,1.264261635222283,1.2961582329007797,0.11377704414303481,1.254896352273147,2.3370613016826436
14.0,3,0,2.3072104593472127,2.332654418478341,0.11190150111502375,1.310353697090856,1.3684587744137389,0.13628759741765337,1.288996178018989,2.3711611274284854
14.5,3,0,2.3447060623657308,2.357236132818798,0.11940676213548819,1.3478493001093739,1.3930404887541954,0.14138445684387071,1.3230960037648298,2.4052609531743263
15.0,2,0,2.3191836396727012,2.3191836396727012,0.09249354655266447,1.3220185974678316,1.3220185974678316,0.13911931654590834,1.3571958295106716,2.439360778920168
15.5,2,0,2.6710666349117673,2.6710666349117673,0.36646496302468945,1.6739015927068976,1.6739015927068976,0.3198391930314461,1.3912956552565126,2.473460604666009
16.0,1,0,2.4392870953270176,2.4392870953270176,,1.475091451262415,1.475091451262415,,1.4253954810023544,2.507560430411851
16.5,1,0,2.468969944253331,2.468969944253331,,1.5047743001887284,1.5047743001887284,,1.4594953067481962,2.5416602561576926
17.0,1,0,2.501368400779029,2.501368400779029,,1.5371727567144262,1.5371727567144262,,1.493595132494037,2.5757600819035336
17.5,1,0,2.5337668573047267,2.5337668573047267,,1.569571213240124,1.569571213240124,,1.5276949582398789,2.6098599076493754
18.0,1,0,2.578222166524938,2.578222166524938,,1.6140265224603354,1.6140265224603354,,1.5617947839857198,2.6439597333952163
