recording,frame_before,frame_after,dt_s,delta_deg
forklift_v4_recording_20260901_174342,1759,1760,0.11000000000058208,-6.298339999999996
forklift_v4_recording_20260901_174342,1761,1762,0.07800000000133878,5.5464959999999905
forklift_v4_recording_20260901_174342,1766,1767,0.09400000000096043,6.063098999999994
forklift_v4_recording_20260903_192118,41,42,0.06199999999807915,-5.170808999999991
forklift_v4_recording_20260903_192118,63,64,0.06299999999828287,5.538623000000001
forklift_v4_recording_20260903_192254,409,410,0.06299999999828287,5.1221009999999865
