angle_deg,n,n_during_command,t_cmd_mean,t_cmd_median,t_cmd_sd,t_onset_mean,t_onset_median,t_onset_sd,t_onset_model,t_cmd_model
0.5,9,9,1.2324267603382597,1.3382244799067848,0.475357972221394,-0.15688380962253884,0.0758480379372485,0.5392889059739413,0.19333517526778032,1.474990901663157
1.0,9,8,1.5529633759858068,1.5472412018643809,0.12187020539925472,0.1636528060250081,0.13251701340414,0.1286958171849908,0.27341722694747417,1.555072953342851
1.5,9,8,1.62001293337663,1.6357794501927856,0.09036341425445901,0.23070236341583142,0.165222775471193,0.142349021684925,0.33486634645402913,1.6165220728494059
2.0,9,6,1.6949943789930129,1.6696331922103127,0.11685223289575476,0.30568380903221415,0.2134425658441614,0.20596309101384816,0.3866703505355604,1.6683260769309372
2.5,9,6,1.7403540351438602,1.7034869342278398,0.10809447744157177,0.3510434651830615,0.2610363852072623,0.2014238452945541,0.432398214920384,1.7140539413157607
3.0,9,6,1.7769355446879571,1.7495237445364182,0.1023415525529013,0.3876249747271585,0.3347995560761774,0.19667499505767183,0.4765084747342929,1.7581642011296696
3.5,9,6,1.8217519300669665,1.8261301522579745,0.11148433807975522,0.43244136010616785,0.3993406006993609,0.21136132535992694,0.5206187345482018,1.8022744609435786
4.0,8,6,1.8385981977612573,1.8351510107258946,0.09544328780539144,0.41903038412601745,0.3861976883254101,0.15536149141678177,0.5647289943621103,1.846384720757487
4.5,8,2,1.8901912106939562,1.9229869905266241,0.09902891327611582,0.47062339705871636,0.43175013018662867,0.15936339101923952,0.6088392541760193,1.890494980571396
5.0,8,2,1.9226933834588635,1.959221266601162,0.10406668626591727,0.5031255698236237,0.47039263740953174,0.15732586215686256,0.6529495139899282,1.934605240385305
5.5,8,2,1.9523958447875884,1.9974258531274245,0.10612762917800385,0.5328280311523486,0.5083213225007057,0.15798830227838237,0.6970597738038371,1.9787155001992138
6.0,8,2,1.9816101418350627,2.0314600273395627,0.1063240854873863,0.5620423281998228,0.5462500075900607,0.15710956613358712,0.741170033617746,2.0228257600131228
6.5,8,2,2.014806057016358,2.059478613322426,0.09730071776241875,0.5952382433811181,0.5777081631040346,0.15809377574012354,0.785280293431655,2.0669360198270317
7.0,6,2,2.0884019519016874,2.1097042512228654,0.07463405277169666,0.6197994831187922,0.5996981008775037,0.1649815596601092,0.8293905532455639,2.1110462796409406
7.5,5,1,2.0997096812418024,2.1305034325305314,0.06986854812395804,0.6682287793038995,0.6708718078916718,0.17160585953775612,0.8735008130594728,2.1551565394548495
8.0,5,1,2.129529148049187,2.163997317282337,0.07070134681960769,0.6980482461112842,0.6919446420870372,0.17517723384953685,0.9176110728733817,2.1992667992687585
8.5,4,1,2.160318768279467,2.162616433392031,0.0930713396949895,0.7633303087377499,0.7690404735512857,0.20650309956489385,0.9617213326872907,2.2433770590826674
9.0,3,0,2.218852241946782,2.251835373404901,0.0913643737483352,0.8136768729649096,0.8371111849446606,0.225723123249739,1.0058315925011996,2.2874873188965763
9.5,3,0,2.264516204844161,2.280800992677541,0.05718753355538363,0.8593408358622886,0.8660768042173004,0.19353373444796534,1.0499418523151085,2.3315975787104852
10.0,3,0,2.2879160112946315,2.309766611950181,0.060490437307619896,0.882740642312759,0.8950424234899401,0.19576900137417474,1.0940521121290174,2.375707838524394
10.5,3,0,2.311315817745102,2.3387322312228207,0.06405081158926568,0.9061404487632293,0.92400804276258,0.19811721751721925,1.1381623719429264,2.419818098338303
11.0,2,0,2.328600869182992,2.328600869182992,0.10167764995509063,0.8520260366949515,0.8520260366949515,0.18914766958071547,1.1822726317568353,2.463928358152212
11.5,2,0,2.369737359806095,2.369737359806095,0.13357197924247513,0.8931625273180543,0.8931625273180543,0.22104199886809997,1.2263828915707442,2.508038617966121
12.0,2,0,2.4218870717868413,2.4218870717868413,0.12378162395907644,0.9453122392988007,0.9453122392988007,0.21125164358470128,1.2704931513846531,2.55214887778003
12.5,2,0,2.4830211104745104,2.4830211104745104,0.1012855120031017,1.0064462779864698,1.0064462779864698,0.18875553162872652,1.314603411198562,2.596259137593939
13.0,1,0,2.6733322052532458,2.6733322052532458,,1.258608016793005,1.258608016793005,,1.358713671012471,2.6403693974078477
13.5,1,0,2.7477831183532544,2.7477831183532544,,1.3330589298930136,1.3330589298930136,,1.40282393082638,2.6844796572217566
