t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg,raw_video_frame_index,source_raw_video_frame_index
2026-09-04T14:47:35.663,1,PRECHECK,PRECHECK,1,,1788500854792.400,,timestamp_domain.system_time,3081593.000,,1,3081609.000,3082359.000,750.000,766.000,3082359.000,766.000,0,0,,,,,,,,,
2026-09-04T14:47:35.753,2,SEARCH_SWEEP,SEARCH_SWEEP,28,27,1788500855691.493,899.093,timestamp_domain.system_time,3082421.000,828.000,1,3082421.000,3082453.000,32.000,32.000,3082453.000,32.000,1,1,pnp_visible_ransac,9,1.802,-0.4678,0.229725,4.798348,2.7410,,
2026-09-04T14:47:35.820,3,ACQUIRE_VERIFY,ACQUIRE_VERIFY,30,2,1788500855758.271,66.779,timestamp_domain.system_time,3082484.000,63.000,1,3082484.000,3082515.000,31.000,31.000,3082515.000,31.000,1,1,pnp_visible_ransac,9,1.930,0.7249,0.220777,4.757150,2.6572,,
2026-09-04T14:47:35.872,4,ACQUIRE_VERIFY,ACQUIRE_VERIFY,32,2,1788500855824.996,66.725,timestamp_domain.system_time,3082546.000,62.000,1,3082546.000,3082578.000,32.000,32.000,3082578.000,32.000,1,1,pnp_visible_ransac,9,1.531,2.7656,0.180049,4.464831,2.3093,,
2026-09-04T14:47:35.952,5,ACQUIRE_VERIFY,ACQUIRE_VERIFY,34,2,1788500855891.674,66.677,timestamp_domain.system_time,3082625.000,79.000,1,3082625.000,3082656.000,31.000,31.000,3082656.000,31.000,1,1,pnp_visible_ransac,9,1.646,2.8687,0.176871,4.417629,2.2928,,
2026-09-04T14:47:36.024,6,ACQUIRE_VERIFY,ACQUIRE_VERIFY,37,3,1788500855992.134,100.460,timestamp_domain.system_time,3082687.000,62.000,1,3082687.000,3082718.000,31.000,31.000,3082718.000,31.000,1,1,pnp_visible_ransac,9,1.308,3.3651,0.159366,4.306456,2.1193,,
2026-09-04T14:47:36.103,7,ACQUIRE_VERIFY,ACQUIRE_VERIFY,39,2,1788500856058.835,66.701,timestamp_domain.system_time,3082765.000,78.000,1,3082765.000,3082796.000,31.000,31.000,3082796.000,31.000,1,1,pnp_visible_ransac,9,1.288,3.9293,0.147428,4.217512,2.0020,,
2026-09-04T14:47:36.168,8,ACQUIRE_VERIFY,ACQUIRE_VERIFY,41,2,1788500856125.313,66.478,timestamp_domain.system_time,3082843.000,78.000,1,3082843.000,3082859.000,16.000,16.000,3082875.000,32.000,1,1,pnp_visible_ransac,9,1.349,4.0696,0.149008,4.214476,2.0249,,
2026-09-04T14:47:36.229,9,ACQUIRE_VERIFY,ACQUIRE_VERIFY,43,2,1788500856192.154,66.841,timestamp_domain.system_time,3082906.000,63.000,1,3082906.000,3082921.000,15.000,15.000,3082921.000,15.000,1,1,pnp_visible_ransac,9,1.362,3.8099,0.151455,4.225044,2.0530,,
2026-09-04T14:47:36.295,10,ACQUIRE_VERIFY,ACQUIRE_VERIFY,44,1,1788500856225.754,33.601,timestamp_domain.system_time,3082968.000,62.000,1,3082968.000,3083000.000,32.000,32.000,3083000.000,32.000,1,1,pnp_visible_ransac,9,1.364,3.7200,0.153371,4.230004,2.0765,,
