t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg,raw_video_frame_index,source_raw_video_frame_index
2026-09-04T14:23:21.675,1,PRECHECK,PRECHECK,1,,1788499399999.674,,timestamp_domain.system_time,1626812.000,,1,1626812.000,1628375.000,1563.000,1563.000,1628375.000,1563.000,0,0,,,,,,,,,
2026-09-04T14:23:21.875,2,SEARCH_SWEEP,SEARCH_SWEEP,56,55,1788499401833.370,1833.695,timestamp_domain.system_time,1628546.000,1734.000,1,1628546.000,1628562.000,16.000,16.000,1628578.000,32.000,1,1,pnp_visible_ransac,9,0.937,-2.3039,-0.714020,5.021899,-8.0921,,
2026-09-04T14:23:21.951,3,ACQUIRE_VERIFY,ACQUIRE_VERIFY,58,2,1788499401899.913,66.543,timestamp_domain.system_time,1628640.000,94.000,1,1628640.000,1628656.000,16.000,16.000,1628656.000,16.000,1,1,pnp_visible_ransac,9,0.930,-2.0602,-0.716430,5.030149,-8.1060,,
2026-09-04T14:23:22.035,4,ACQUIRE_VERIFY,ACQUIRE_VERIFY,61,3,1788499402000.172,100.259,timestamp_domain.system_time,1628703.000,63.000,1,1628703.000,1628734.000,31.000,31.000,1628734.000,31.000,1,1,pnp_visible_ransac,9,0.967,-2.2463,-0.715019,5.035642,-8.0815,,
2026-09-04T14:23:22.089,5,ACQUIRE_VERIFY,ACQUIRE_VERIFY,63,2,1788499402066.764,66.592,timestamp_domain.system_time,1628765.000,62.000,1,1628765.000,1628781.000,16.000,16.000,1628781.000,16.000,1,1,pnp_visible_ransac,9,0.929,-2.4112,-0.714699,5.034557,-8.0796,,
2026-09-04T14:23:22.149,6,ACQUIRE_VERIFY,ACQUIRE_VERIFY,64,1,1788499402099.896,33.132,timestamp_domain.system_time,1628828.000,63.000,1,1628828.000,1628843.000,15.000,15.000,1628843.000,15.000,1,1,pnp_visible_ransac,9,0.916,-2.2565,-0.714548,5.029083,-8.0866,,
2026-09-04T14:23:22.273,7,ACQUIRE_VERIFY,ACQUIRE_VERIFY,67,3,1788499402200.643,100.747,timestamp_domain.system_time,1628937.000,109.000,1,1628937.000,1628968.000,31.000,31.000,1628968.000,31.000,1,1,pnp_visible_ransac,9,0.915,-2.2147,-0.716517,5.035119,-8.0990,,
2026-09-04T14:23:22.337,8,ACQUIRE_VERIFY,ACQUIRE_VERIFY,70,3,1788499402300.364,99.721,timestamp_domain.system_time,1629015.000,78.000,1,1629015.000,1629031.000,16.000,16.000,1629031.000,16.000,1,1,pnp_visible_ransac,9,0.927,-2.0187,-0.717230,5.042652,-8.0950,,
2026-09-04T14:23:22.394,9,ACQUIRE_VERIFY,ACQUIRE_VERIFY,72,2,1788499402367.035,66.671,timestamp_domain.system_time,1629078.000,63.000,1,1629078.000,1629093.000,15.000,15.000,1629093.000,15.000,1,1,pnp_visible_ransac,9,0.881,-2.3403,-0.716713,5.038851,-8.0953,,
2026-09-04T14:23:22.465,10,ACQUIRE_VERIFY,ACQUIRE_VERIFY,74,2,1788499402433.750,66.715,timestamp_domain.system_time,1629140.000,62.000,1,1629140.000,1629156.000,16.000,16.000,1629171.000,31.000,1,1,pnp_visible_ransac,9,0.940,-2.1272,-0.717397,5.040226,-8.1007,,
