t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg,raw_video_frame_index,source_raw_video_frame_index
2026-09-01T17:35:10.158,1,PRECHECK,PRECHECK,1,,1788251708760.797,,timestamp_domain.system_time,20456609.000,,1,20456609.000,20457796.000,1187.000,1187.000,20457796.000,1187.000,0,0,,,,,,
2026-09-01T17:35:10.377,2,PRECHECK,PRECHECK,45,44,1788251710228.297,1467.500,timestamp_domain.system_time,20457984.000,1375.000,1,20457984.000,20458015.000,31.000,31.000,20458015.000,31.000,1,1,-1.7131,-0.329667,4.349945,-4.3340,,
2026-09-01T17:35:10.464,3,PRECHECK,PRECHECK,51,6,1788251710427.841,199.545,timestamp_domain.system_time,20458093.000,109.000,1,20458093.000,20458109.000,16.000,16.000,20458109.000,16.000,1,1,-1.6611,-0.328148,4.344582,-4.3194,,
2026-09-01T17:35:10.577,4,PRECHECK,PRECHECK,54,3,1788251710528.216,100.375,timestamp_domain.system_time,20458187.000,94.000,1,20458187.000,20458218.000,31.000,31.000,20458218.000,31.000,1,1,-2.3303,-0.327417,4.348274,-4.3061,,
2026-09-01T17:35:10.677,5,PRECHECK,PRECHECK,57,3,1788251710628.154,99.938,timestamp_domain.system_time,20458296.000,109.000,1,20458296.000,20458312.000,16.000,16.000,20458312.000,16.000,1,1,-2.8032,-0.327261,4.342356,-4.3099,,
2026-09-01T17:35:10.770,6,PRECHECK,PRECHECK,60,3,1788251710728.239,100.085,timestamp_domain.system_time,20458390.000,94.000,1,20458390.000,20458406.000,16.000,16.000,20458406.000,16.000,1,1,-3.2409,-0.327630,4.344801,-4.3124,,
2026-09-01T17:35:10.861,7,PRECHECK,PRECHECK,63,3,1788251710828.207,99.968,timestamp_domain.system_time,20458468.000,78.000,1,20458468.000,20458500.000,32.000,32.000,20458500.000,32.000,1,1,-1.6611,-0.328148,4.344582,-4.3194,,
2026-09-01T17:35:10.945,8,PRECHECK,PRECHECK,65,2,1788251710895.074,66.867,timestamp_domain.system_time,20458546.000,78.000,1,20458546.000,20458593.000,47.000,47.000,20458593.000,47.000,1,1,-3.4906,-0.327305,4.345150,-4.3078,,
2026-09-01T17:35:11.031,9,PRECHECK,PRECHECK,68,3,1788251710995.343,100.269,timestamp_domain.system_time,20458656.000,110.000,1,20458656.000,20458671.000,15.000,15.000,20458671.000,15.000,1,1,-2.4469,-0.331214,4.341722,-4.3624,,
2026-09-01T17:35:11.120,10,PRECHECK,PRECHECK,70,2,1788251711061.962,66.619,timestamp_domain.system_time,20458734.000,78.000,1,20458734.000,20458765.000,31.000,31.000,20458765.000,31.000,1,1,-4.0100,-0.326962,4.340178,-4.3082,,
2026-09-01T17:35:11.208,11,PRECHECK,PRECHECK,73,3,1788251711161.878,99.916,timestamp_domain.system_time,20458828.000,94.000,1,20458828.000,20458843.000,15.000,15.000,20458843.000,15.000,1,1,-1.5283,-0.328679,4.336999,-4.3339,,
2026-09-01T17:35:11.295,12,PRECHECK,PRECHECK,76,3,1788251711262.023,100.144,timestamp_domain.system_time,20458906.000,78.000,1,20458906.000,20458937.000,31.000,31.000,20458937.000,31.000,1,1,-1.3971,-0.328449,4.343524,-4.3244,,
2026-09-01T17:35:11.425,13,PRECHECK,PRECHECK,79,3,1788251711362.265,100.242,timestamp_domain.system_time,20459031.000,125.000,1,20459031.000,20459062.000,31.000,31.000,20459062.000,31.000,1,1,-2.1119,-0.329697,4.342563,-4.3417,,
2026-09-01T17:35:11.508,14,PRECHECK,PRECHECK,82,3,1788251711462.150,99.885,timestamp_domain.system_time,20459125.000,94.000,1,20459125.000,20459156.000,31.000,31.000,20459156.000,31.000,1,1,-4.2161,-0.326352,4.347236,-4.2932,,
2026-09-01T17:35:11.582,15,PRECHECK,PRECHECK,84,2,1788251711528.822,66.672,timestamp_domain.system_time,20459203.000,78.000,1,20459203.000,20459218.000,15.000,15.000,20459218.000,15.000,1,1,-2.0891,-0.327897,4.342469,-4.3182,,
