t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg,raw_video_frame_index,source_raw_video_frame_index
2026-09-01T17:49:28.172,1,PRECHECK,PRECHECK,1,,1788252566957.392,,timestamp_domain.system_time,21314609.000,,1,21314609.000,21315812.000,1203.000,1203.000,21315812.000,1203.000,0,0,,,,,,
2026-09-01T17:49:28.458,2,PRECHECK,PRECHECK,44,43,1788252568391.449,1434.057,timestamp_domain.system_time,21316062.000,1453.000,1,21316062.000,21316093.000,31.000,31.000,21316093.000,31.000,1,1,-8.0178,-0.060179,4.486517,-0.7685,,
2026-09-01T17:49:28.558,3,PRECHECK,PRECHECK,46,2,1788252568457.563,66.114,timestamp_domain.system_time,21316171.000,109.000,1,21316171.000,21316203.000,32.000,32.000,21316203.000,32.000,1,1,-10.1700,-0.057496,4.470740,-0.7368,,
2026-09-01T17:49:28.689,4,PRECHECK,PRECHECK,51,5,1788252568625.110,167.547,timestamp_domain.system_time,21316312.000,141.000,1,21316312.000,21316328.000,16.000,16.000,21316328.000,16.000,1,1,-10.8118,-0.058518,4.463174,-0.7512,,
2026-09-01T17:49:28.773,5,PRECHECK,PRECHECK,54,3,1788252568724.583,99.474,timestamp_domain.system_time,21316406.000,94.000,1,21316406.000,21316421.000,15.000,15.000,21316421.000,15.000,1,1,-8.2391,-0.059952,4.501467,-0.7630,,
2026-09-01T17:49:28.873,6,PRECHECK,PRECHECK,57,3,1788252568824.690,100.106,timestamp_domain.system_time,21316484.000,78.000,1,21316484.000,21316515.000,31.000,31.000,21316515.000,31.000,1,1,-7.8363,-0.060904,4.481946,-0.7785,,
2026-09-01T17:49:28.972,7,PRECHECK,PRECHECK,60,3,1788252568924.790,100.100,timestamp_domain.system_time,21316578.000,94.000,1,21316593.000,21316609.000,16.000,31.000,21316609.000,31.000,1,1,-8.3870,-0.060729,4.490475,-0.7748,,
2026-09-01T17:49:29.066,8,PRECHECK,PRECHECK,63,3,1788252569024.691,99.902,timestamp_domain.system_time,21316687.000,109.000,1,21316687.000,21316703.000,16.000,16.000,21316703.000,16.000,1,1,-8.7829,-0.061137,4.476648,-0.7824,,
2026-09-01T17:49:29.159,9,PRECHECK,PRECHECK,66,3,1788252569124.881,100.190,timestamp_domain.system_time,21316765.000,78.000,1,21316765.000,21316796.000,31.000,31.000,21316796.000,31.000,1,1,-9.2553,-0.061288,4.490310,-0.7820,,
2026-09-01T17:49:29.247,10,PRECHECK,PRECHECK,68,2,1788252569191.707,66.826,timestamp_domain.system_time,21316875.000,110.000,1,21316875.000,21316890.000,15.000,15.000,21316890.000,15.000,1,1,-9.6131,-0.068297,4.491178,-0.8712,,
2026-09-01T17:49:29.323,11,PRECHECK,PRECHECK,71,3,1788252569291.444,99.737,timestamp_domain.system_time,21316953.000,78.000,1,21316953.000,21316968.000,15.000,15.000,21316968.000,15.000,1,1,-8.9152,-0.060173,4.482689,-0.7691,,
2026-09-01T17:49:29.415,12,PRECHECK,PRECHECK,73,2,1788252569358.222,66.778,timestamp_domain.system_time,21317031.000,78.000,1,21317031.000,21317062.000,31.000,31.000,21317062.000,31.000,1,1,-10.7085,-0.065792,4.470517,-0.8432,,
2026-09-01T17:49:29.492,13,PRECHECK,PRECHECK,76,3,1788252569458.343,100.121,timestamp_domain.system_time,21317109.000,78.000,1,21317109.000,21317140.000,31.000,31.000,21317140.000,31.000,1,1,-10.2345,-0.067490,4.484053,-0.8623,,
2026-09-01T17:49:29.629,14,PRECHECK,PRECHECK,79,3,1788252569558.337,99.994,timestamp_domain.system_time,21317234.000,125.000,1,21317234.000,21317265.000,31.000,31.000,21317265.000,31.000,1,1,-10.5714,-0.066752,4.464855,-0.8565,,
2026-09-01T17:49:29.709,15,PRECHECK,PRECHECK,82,3,1788252569658.365,100.028,timestamp_domain.system_time,21317328.000,94.000,1,21317328.000,21317343.000,15.000,15.000,21317343.000,15.000,1,1,-11.2779,-0.064854,4.455461,-0.8339,,
2026-09-01T17:49:29.797,16,PRECHECK,PRECHECK,85,3,1788252569758.575,100.210,timestamp_domain.system_time,21317421.000,93.000,1,21317421.000,21317437.000,16.000,16.000,21317437.000,16.000,1,1,-10.6047,-0.065149,4.459665,-0.8369,,
2026-09-01T17:49:29.893,17,PRECHECK,PRECHECK,88,3,1788252569858.595,100.020,timestamp_domain.system_time,21317500.000,79.000,1,21317500.000,21317531.000,31.000,31.000,21317531.000,31.000,1,1,-11.4247,-0.063667,4.452650,-0.8192,,
2026-09-01T17:49:29.978,18,PRECHECK,PRECHECK,90,2,1788252569925.284,66.689,timestamp_domain.system_time,21317593.000,93.000,1,21317593.000,21317625.000,32.000,32.000,21317625.000,32.000,1,1,-10.7150,-0.065698,4.459904,-0.8439,,
2026-09-01T17:49:30.071,19,PRECHECK,PRECHECK,93,3,1788252570025.342,100.057,timestamp_domain.system_time,21317687.000,94.000,1,21317687.000,21317718.000,31.000,31.000,21317718.000,31.000,1,1,-13.0568,-0.061444,4.438527,-0.7931,,
2026-09-01T17:49:30.147,20,PRECHECK,PRECHECK,96,3,1788252570125.430,100.088,timestamp_domain.system_time,21317781.000,94.000,1,21317781.000,21317796.000,15.000,15.000,21317796.000,15.000,1,1,-11.0600,-0.066297,4.472944,-0.8492,,
2026-09-01T17:49:30.239,21,PRECHECK,PRECHECK,98,2,1788252570192.119,66.689,timestamp_domain.system_time,21317859.000,78.000,1,21317859.000,21317875.000,16.000,16.000,21317875.000,16.000,1,1,-10.2006,-0.066610,4.474529,-0.8529,,
2026-09-01T17:49:30.329,22,PRECHECK,PRECHECK,101,3,1788252570292.184,100.065,timestamp_domain.system_time,21317937.000,78.000,1,21317937.000,21317968.000,31.000,31.000,21317968.000,31.000,1,1,-11.0720,-0.065648,4.461793,-0.8430,,
2026-09-01T17:49:30.414,23,PRECHECK,PRECHECK,103,2,1788252570358.865,66.681,timestamp_domain.system_time,21318031.000,94.000,1,21318031.000,21318062.000,31.000,31.000,21318062.000,31.000,1,1,-8.9960,-0.059476,4.461016,-0.7638,,
2026-09-01T17:49:30.499,24,PRECHECK,PRECHECK,106,3,1788252570458.962,100.097,timestamp_domain.system_time,21318109.000,78.000,1,21318109.000,21318140.000,31.000,31.000,21318140.000,31.000,1,1,-12.2624,-0.062533,4.440795,-0.8068,,
2026-09-01T17:49:30.616,25,PRECHECK,PRECHECK,109,3,1788252570559.452,100.490,timestamp_domain.system_time,21318234.000,125.000,1,21318234.000,21318265.000,31.000,31.000,21318265.000,31.000,1,1,-11.4289,-0.064831,4.461116,-0.8326,,
2026-09-01T17:49:30.717,26,PRECHECK,PRECHECK,112,3,1788252570659.129,99.677,timestamp_domain.system_time,21318328.000,94.000,1,21318328.000,21318359.000,31.000,31.000,21318359.000,31.000,1,1,-9.7308,-0.068280,4.477723,-0.8736,,
2026-09-01T17:49:30.804,27,PRECHECK,PRECHECK,115,3,1788252570759.487,100.358,timestamp_domain.system_time,21318421.000,93.000,1,21318421.000,21318453.000,32.000,32.000,21318453.000,32.000,1,1,-12.0348,-0.063452,4.448704,-0.8172,,
2026-09-01T17:49:30.885,28,PRECHECK,PRECHECK,118,3,1788252570859.409,99.922,timestamp_domain.system_time,21318500.000,79.000,1,21318500.000,21318531.000,31.000,31.000,21318531.000,31.000,1,1,-11.2594,-0.057612,4.432023,-0.7447,,
2026-09-01T17:49:30.976,29,PRECHECK,PRECHECK,120,2,1788252570926.004,66.595,timestamp_domain.system_time,21318593.000,93.000,1,21318593.000,21318625.000,32.000,32.000,21318625.000,32.000,1,1,-12.2525,-0.064892,4.454647,-0.8346,,
2026-09-01T17:49:31.052,30,PRECHECK,PRECHECK,123,3,1788252571026.116,100.112,timestamp_domain.system_time,21318671.000,78.000,1,21318671.000,21318687.000,16.000,16.000,21318687.000,16.000,1,1,-12.5026,-0.062767,4.441419,-0.8097,,
2026-09-01T17:49:31.139,31,PRECHECK,PRECHECK,125,2,1788252571092.809,66.693,timestamp_domain.system_time,21318750.000,79.000,1,21318765.000,21318781.000,16.000,31.000,21318781.000,31.000,1,1,-10.5448,-0.066532,4.466537,-0.8534,,
2026-09-01T17:49:31.220,32,PRECHECK,PRECHECK,128,3,1788252571192.740,99.931,timestamp_domain.system_time,21318828.000,78.000,1,21318828.000,21318859.000,31.000,31.000,21318859.000,31.000,1,1,-12.2624,-0.062533,4.440795,-0.8068,,
2026-09-01T17:49:31.303,33,PRECHECK,PRECHECK,130,2,1788252571259.543,66.803,timestamp_domain.system_time,21318921.000,93.000,1,21318921.000,21318937.000,16.000,16.000,21318937.000,16.000,1,1,-9.5965,-0.068552,4.479890,-0.8767,,
2026-09-01T17:49:31.387,34,PRECHECK,PRECHECK,133,3,1788252571359.593,100.051,timestamp_domain.system_time,21319015.000,94.000,1,21319015.000,21319031.000,16.000,16.000,21319031.000,16.000,1,1,-9.5275,-0.065673,4.482197,-0.8394,,
2026-09-01T17:49:31.474,35,PRECHECK,PRECHECK,135,2,1788252571426.544,66.951,timestamp_domain.system_time,21319093.000,78.000,1,21319093.000,21319109.000,16.000,16.000,21319109.000,16.000,1,1,-10.4142,-0.067085,4.474050,-0.8590,,
2026-09-01T17:49:31.565,36,PRECHECK,PRECHECK,137,2,1788252571493.031,66.487,timestamp_domain.system_time,21319171.000,78.000,1,21319187.000,21319203.000,16.000,32.000,21319203.000,32.000,1,1,-10.1368,-0.066443,4.476721,-0.8503,,
2026-09-01T17:49:31.675,37,PRECHECK,PRECHECK,141,4,1788252571627.049,134.017,timestamp_domain.system_time,21319281.000,110.000,1,21319296.000,21319312.000,16.000,31.000,21319312.000,31.000,1,1,-10.9961,-0.066134,4.459086,-0.8497,,
2026-09-01T17:49:31.772,38,PRECHECK,PRECHECK,144,3,1788252571726.904,99.855,timestamp_domain.system_time,21319375.000,94.000,1,21319390.000,21319421.000,31.000,46.000,21319421.000,46.000,1,1,-10.7720,-0.056624,4.436361,-0.7313,,
2026-09-01T17:49:31.873,39,PRECHECK,PRECHECK,147,3,1788252571826.810,99.906,timestamp_domain.system_time,21319484.000,109.000,1,21319484.000,21319515.000,31.000,31.000,21319515.000,31.000,1,1,-12.2214,-0.063608,4.448656,-0.8192,,
2026-09-01T17:49:31.958,40,PRECHECK,PRECHECK,150,3,1788252571926.763,99.953,timestamp_domain.system_time,21319578.000,94.000,1,21319578.000,21319593.000,15.000,15.000,21319593.000,15.000,1,1,-10.4247,-0.066117,4.473649,-0.8467,,
2026-09-01T17:49:32.073,41,PRECHECK,PRECHECK,153,3,1788252572026.821,100.058,timestamp_domain.system_time,21319687.000,109.000,1,21319687.000,21319718.000,31.000,31.000,21319718.000,31.000,1,1,-9.7921,-0.066943,4.481093,-0.8559,,
2026-09-01T17:49:32.163,42,PRECHECK,PRECHECK,156,3,1788252572126.538,99.717,timestamp_domain.system_time,21319781.000,94.000,1,21319781.000,21319796.000,15.000,15.000,21319796.000,15.000,1,1,-10.7423,-0.065748,4.470098,-0.8427,,
2026-09-01T17:49:32.263,43,PRECHECK,PRECHECK,159,3,1788252572226.792,100.254,timestamp_domain.system_time,21319890.000,109.000,1,21319890.000,21319906.000,16.000,16.000,21319906.000,16.000,1,1,-9.6719,-0.066267,4.463353,-0.8506,,
2026-09-01T17:49:32.363,44,PRECHECK,PRECHECK,162,3,1788252572327.060,100.268,timestamp_domain.system_time,21319984.000,94.000,1,21319984.000,21320000.000,16.000,16.000,21320000.000,16.000,1,1,-10.8569,-0.066832,4.464428,-0.8576,,
2026-09-01T17:49:32.442,45,PRECHECK,PRECHECK,164,2,1788252572393.590,66.531,timestamp_domain.system_time,21320078.000,94.000,1,21320078.000,21320078.000,0.000,0.000,21320078.000,0.000,1,1,-12.6152,-0.064575,4.447252,-0.8319,,
2026-09-01T17:49:32.533,46,PRECHECK,PRECHECK,167,3,1788252572494.086,100.496,timestamp_domain.system_time,21320156.000,78.000,1,21320156.000,21320171.000,15.000,15.000,21320171.000,15.000,1,1,-11.5079,-0.064337,4.463717,-0.8258,,
