t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg,raw_video_frame_index,source_raw_video_frame_index
2026-09-04T14:59:26.106,1,PRECHECK,PRECHECK,1,,1788501565321.227,,timestamp_domain.system_time,3792062.000,,1,3792078.000,3792812.000,734.000,750.000,3792812.000,750.000,0,0,,,,,,,,,
2026-09-04T14:59:26.219,2,SEARCH_SWEEP,SEARCH_SWEEP,26,25,1788501566153.793,832.566,timestamp_domain.system_time,3792875.000,813.000,1,3792890.000,3792921.000,31.000,46.000,3792921.000,46.000,1,1,pnp_visible_ransac,9,2.089,7.4550,0.776224,4.042467,10.8695,,
2026-09-04T14:59:26.286,3,ACQUIRE_VERIFY,ACQUIRE_VERIFY,28,2,1788501566220.475,66.682,timestamp_domain.system_time,3792953.000,78.000,1,3792953.000,3792968.000,15.000,15.000,3792984.000,31.000,1,1,pnp_visible_ransac,9,1.487,8.9147,0.774049,4.042297,10.8402,,
2026-09-04T14:59:26.347,4,ACQUIRE_VERIFY,ACQUIRE_VERIFY,30,2,1788501566287.382,66.907,timestamp_domain.system_time,3793015.000,62.000,1,3793015.000,3793046.000,31.000,31.000,3793046.000,31.000,1,1,pnp_visible_ransac,9,1.271,10.1177,0.773243,4.060540,10.7817,,
2026-09-04T14:59:26.427,5,ACQUIRE_VERIFY,ACQUIRE_VERIFY,33,3,1788501566387.917,100.535,timestamp_domain.system_time,3793093.000,78.000,1,3793093.000,3793125.000,32.000,32.000,3793125.000,32.000,1,1,pnp_visible_ransac,9,1.262,11.8016,0.768212,4.067688,10.6947,,
2026-09-04T14:59:26.490,6,ACQUIRE_VERIFY,ACQUIRE_VERIFY,35,2,1788501566454.137,66.219,timestamp_domain.system_time,3793156.000,63.000,1,3793156.000,3793187.000,31.000,31.000,3793187.000,31.000,1,1,pnp_visible_ransac,9,1.102,12.3791,0.766329,4.070095,10.6630,,
2026-09-04T14:59:26.560,7,ACQUIRE_VERIFY,ACQUIRE_VERIFY,37,2,1788501566520.977,66.841,timestamp_domain.system_time,3793234.000,78.000,1,3793234.000,3793250.000,16.000,16.000,3793265.000,31.000,1,1,pnp_visible_ransac,9,0.965,12.1491,0.764005,4.058145,10.6620,,
2026-09-04T14:59:26.624,8,ACQUIRE_VERIFY,ACQUIRE_VERIFY,39,2,1788501566587.795,66.818,timestamp_domain.system_time,3793296.000,62.000,1,3793296.000,3793328.000,32.000,32.000,3793328.000,32.000,1,1,pnp_visible_ransac,9,0.832,11.9812,0.759912,4.047315,10.6339,,
2026-09-04T14:59:26.682,9,ACQUIRE_VERIFY,ACQUIRE_VERIFY,41,2,1788501566654.287,66.492,timestamp_domain.system_time,3793359.000,63.000,1,3793359.000,3793375.000,16.000,16.000,3793375.000,16.000,1,1,pnp_visible_ransac,9,0.946,12.1659,0.762646,4.068846,10.6161,,
2026-09-04T14:59:26.743,10,ACQUIRE_VERIFY,ACQUIRE_VERIFY,42,1,1788501566687.684,33.397,timestamp_domain.system_time,3793406.000,47.000,1,3793406.000,3793437.000,31.000,31.000,3793437.000,31.000,1,1,pnp_visible_ransac,9,0.993,12.0194,0.759361,4.060010,10.5939,,
2026-09-04T14:59:26.818,11,ACQUIRE_VERIFY,ACQUIRE_VERIFY,44,2,1788501566754.530,66.846,timestamp_domain.system_time,3793484.000,78.000,1,3793484.000,3793500.000,16.000,16.000,3793515.000,31.000,1,1,pnp_visible_ransac,9,1.066,12.1719,0.757324,4.046139,10.6015,,
2026-09-04T14:59:26.879,12,ACQUIRE_VERIFY,ACQUIRE_VERIFY,46,2,1788501566821.090,66.560,timestamp_domain.system_time,3793546.000,62.000,1,3793546.000,3793578.000,32.000,32.000,3793578.000,32.000,1,1,pnp_visible_ransac,9,1.081,12.1645,0.758962,4.056284,10.5979,,
2026-09-04T14:59:26.940,13,STANDOFF_VERIFY,STANDOFF_VERIFY,48,2,1788501566887.918,66.828,timestamp_domain.system_time,3793609.000,63.000,1,3793609.000,3793640.000,31.000,31.000,3793640.000,31.000,1,1,pnp_visible_ransac,9,0.961,12.1436,0.760112,4.051704,10.6254,,
2026-09-04T14:59:27.002,14,STANDOFF_VERIFY,STANDOFF_VERIFY,50,2,1788501566954.643,66.725,timestamp_domain.system_time,3793671.000,62.000,1,3793671.000,3793703.000,32.000,32.000,3793703.000,32.000,1,1,pnp_visible_ransac,9,1.114,11.9954,0.760443,4.060219,10.6081,,
