t_iso,t_mono,sim_time_s,frame_i,fsm_state,camera_frame_number,inference_ran,pose_src,model_det_ok,pnp_ok,result_fps,result_interval_s,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,pose_result_host_mono_ms,pos_x_m,pos_z_m,yaw_deg
2026-09-09T06:47:57.594+00:00,1000.0809909234881,0.08099092348816976,0,PRECHECK,0,0,simulation,1,,,,1000000.0,1000080.9909234882,80.99092348816976,1000080.9909234882,-0.006064238381582046,3.991886483356845,-0.8983043700611404
2026-09-09T06:47:57.628+00:00,1000.1143242568215,0.1143242568215031,1,SEARCH_SWEEP,1,0,simulation,1,,29.999999999999993,0.03333333333333334,1000114.3242568215,1000114.3242568215,0.0,1000114.3242568215,0.006231555216863261,4.005585550088606,-1.5875261963561798
2026-09-09T06:47:57.661+00:00,1000.1476575901548,0.14765759015483643,2,ACQUIRE_VERIFY,2,0,simulation,1,,30.000000000000007,0.033333333333333326,1000147.6575901548,1000147.6575901548,0.0,1000147.6575901548,0.0009151059128288707,4.005362759434366,-0.8098901133014351
2026-09-09T06:47:57.694+00:00,1000.1809909234881,0.18099092348816975,3,ACQUIRE_VERIFY,3,0,simulation,1,,30.000000000000007,0.033333333333333326,1000180.9909234882,1000180.9909234882,0.0,1000180.9909234882,0.01174112612653973,4.011828106891867,-0.9609759982139394
2026-09-09T06:47:57.728+00:00,1000.2143242568216,0.21432425682150308,4,ACQUIRE_VERIFY,4,0,simulation,1,,30.000000000000007,0.033333333333333326,1000214.3242568215,1000214.3242568215,0.0,1000214.3242568215,0.015771803398813816,4.006651044997491,0.18327466464774034
2026-09-09T06:47:57.761+00:00,1000.2476575901549,0.2476575901548364,5,ACQUIRE_VERIFY,5,0,simulation,1,,30.000000000000007,0.033333333333333326,1000247.6575901549,1000247.6575901549,0.0,1000247.6575901549,0.003984213821383134,3.999808174904566,-1.3518456816040896
2026-09-09T06:47:57.794+00:00,1000.2809909234882,0.28099092348816973,6,ACQUIRE_VERIFY,6,0,simulation,1,,30.000000000000007,0.033333333333333326,1000280.9909234882,1000280.9909234882,0.0,1000280.9909234882,-0.007079185306748638,4.000688850936564,-1.5177617845887426
2026-09-09T06:47:57.828+00:00,1000.3143242568215,0.31432425682150306,7,ACQUIRE_VERIFY,7,0,simulation,1,,30.000000000000007,0.033333333333333326,1000314.3242568214,1000314.3242568214,0.0,1000314.3242568214,0.0077260045782425735,3.974070190683744,-0.288153771367746
2026-09-09T06:47:57.861+00:00,1000.3476575901549,0.3476575901548364,8,ACQUIRE_VERIFY,8,0,simulation,1,,30.000000000000007,0.033333333333333326,1000347.6575901549,1000347.6575901549,0.0,1000347.6575901549,8.091957015997314e-05,3.971669301738922,1.443572903008942
2026-09-09T06:47:57.894+00:00,1000.3809909234882,0.3809909234881697,9,ACQUIRE_VERIFY,9,0,simulation,1,,30.000000000000007,0.033333333333333326,1000380.9909234882,1000380.9909234882,0.0,1000380.9909234882,0.001056656435994512,4.002314866553057,-0.14618661702940017
2026-09-09T06:47:57.928+00:00,1000.4143242568215,0.41432425682150303,10,ACQUIRE_VERIFY,10,0,simulation,1,,30.000000000000007,0.033333333333333326,1000414.3242568215,1000414.3242568215,0.0,1000414.3242568215,-0.008594766461816361,4.054567271035623,-0.010425197537188069
2026-09-09T06:47:58.025+00:00,1000.5115093715918,0.5115093715918,11,ACQUIRE_VERIFY,11,0,simulation,1,,10.289641601633768,0.09718511477029695,1000447.6575901548,1000511.5093715918,63.85178143696363,1000511.5093715918,0.0037576827818854132,3.992682856927298,2.508677183970974
2026-09-09T06:47:58.058+00:00,1000.5448427049251,0.5448427049251333,12,ACQUIRE_VERIFY,12,0,simulation,1,,30.000000000000007,0.033333333333333326,1000544.8427049251,1000544.8427049251,0.0,1000544.8427049251,-0.008250958774016664,4.001527866837199,0.4026215634211212
2026-09-09T06:47:58.091+00:00,1000.5781760382584,0.5781760382584666,13,ACQUIRE_VERIFY,13,0,simulation,1,,30.000000000000007,0.033333333333333326,1000578.1760382585,1000578.1760382585,0.0,1000578.1760382585,-0.0050310443974240565,3.9985778558181995,0.7880445359154464
2026-09-09T06:47:58.152+00:00,1000.6383251403682,0.6383251403682255,14,ACQUIRE_VERIFY,14,0,simulation,1,,16.625352082151117,0.06014910210975888,1000611.5093715917,1000638.3251403682,26.815768776425553,1000638.3251403682,0.00611348030586502,3.9938449130611966,0.22298030536987312
2026-09-09T06:47:58.172+00:00,1000.6590292170939,0.6590292170939384,15,ACQUIRE_VERIFY,15,0,simulation,1,,48.29966644965523,0.02070407672571284,1000644.8427049252,1000659.029217094,14.186512168805066,1000659.029217094,0.01327949094945002,3.978256096864394,0.8854651153686177
2026-09-09T06:47:58.191+00:00,1000.6781760382585,0.6781760382584666,16,ACQUIRE_VERIFY,16,0,simulation,1,,52.22799081931249,0.01914682116452826,1000678.1760382585,1000678.1760382585,0.0,1000678.1760382585,-0.003330087072125447,3.983227372796914,-0.36132842369704576
2026-09-09T06:47:58.225+00:00,1000.7115093715918,0.7115093715917999,17,ACQUIRE_VERIFY,17,0,simulation,1,,30.000000000000007,0.033333333333333326,1000711.5093715917,1000711.5093715917,0.0,1000711.5093715917,-0.0032725340389780666,4.033055823112985,-0.35171052720548346
2026-09-09T06:47:58.294+00:00,1000.781053559928,0.7810535599279769,18,ACQUIRE_VERIFY,18,0,simulation,1,,14.379346771091718,0.06954418833617693,1000744.8427049251,1000781.053559928,36.2108550028436,1000781.053559928,-0.0028761026713343745,4.0296362895723075,-1.2143748844164577
2026-09-09T06:47:58.328+00:00,1000.8143868932613,0.8143868932613102,19,ACQUIRE_VERIFY,19,0,simulation,1,,30.000000000000007,0.033333333333333326,1000814.3868932612,1000814.3868932612,0.0,1000814.3868932612,-0.003059696597595009,4.008028046281718,-0.30580773019062235
2026-09-09T06:47:58.361+00:00,1000.8477202265947,0.8477202265946435,20,ACQUIRE_VERIFY,20,0,simulation,1,,30.000000000000007,0.033333333333333326,1000847.7202265947,1000847.7202265947,0.0,1000847.7202265947,0.0155884873888236,4.020794629613795,-0.6849622475651813
2026-09-09T06:47:58.430+00:00,1000.9168124625164,0.9168124625163969,21,ACQUIRE_VERIFY,21,0,simulation,1,,14.47340626134165,0.0690922359217534,1000881.053559928,1000916.8124625164,35.75890258842007,1000916.8124625164,-0.010415589736832266,3.973719844876765,-0.31549768076658324
2026-09-09T06:47:58.463+00:00,1000.9501457958497,0.9501457958497302,22,ACQUIRE_VERIFY,22,0,simulation,1,,30.000000000000007,0.033333333333333326,1000950.1457958497,1000950.1457958497,0.0,1000950.1457958497,0.01630808790169491,3.974435469344484,0.40590479486724007
2026-09-09T06:47:58.497+00:00,1000.983479129183,0.9834791291830636,23,ACQUIRE_VERIFY,23,0,simulation,1,,30.000000000000007,0.033333333333333326,1000983.479129183,1000983.479129183,0.0,1000983.479129183,-0.008692785306246835,4.029972396974543,-0.20522141999524024
2026-09-09T06:47:58.554+00:00,1001.0411517290258,1.0411517290258203,24,ACQUIRE_VERIFY,24,0,simulation,1,,17.3392564706027,0.057672599842756744,1001016.8124625165,1001041.1517290259,24.339266509423307,1001041.1517290259,-0.009020625482643083,4.001525312818358,-1.4950834690955048
