angle_deg,n,n_during_command,t_cmd_mean,t_cmd_median,t_cmd_sd,t_onset_mean,t_onset_median,t_onset_sd,t_onset_model,t_cmd_model
0.5,11,11,1.2713870896335389,1.2710791567224078,0.09874115226344586,0.24476539046207269,0.2083879740712291,0.08143980643872298,0.20516549984661436,1.323530024073388
1.0,11,11,1.4159641096269875,1.4190733894211007,0.1050957429589639,0.38934241045552137,0.3436000659457932,0.09331081206493778,0.29014783241413733,1.408512356640911
1.5,11,11,1.499082684468621,1.5144715672831808,0.10055073555359792,0.47246098529715463,0.4149370387567614,0.09391912132776964,0.3553570696946009,1.4737215939213746
2.0,11,9,1.5627111983171331,1.5717666272212227,0.09812847801314299,0.5360894991456668,0.4956540732200665,0.09513123524879792,0.4103309996932287,1.5286955239200024
2.5,11,8,1.6166245382601945,1.60686083523251,0.09933864620074578,0.5900028390887283,0.5611650094979268,0.09871260858514486,0.4587640042947525,1.5771285285215262
3.0,11,7,1.6600629762162333,1.6419550432437973,0.10064438915864012,0.633441277044767,0.5902371539486921,0.10001862754468425,0.5025507874472654,1.6209153116740391
3.5,11,7,1.7019757906888449,1.6770492512550843,0.10285335997549547,0.6753540915173786,0.6275702055245347,0.10135409594966956,0.5428168902044019,1.6611814144311756
4.0,11,7,1.7367959115935347,1.7144559791959182,0.1030225107407561,0.7101742124220685,0.6559402744132967,0.10393826988579954,0.580412586671474,1.6987771108982477
4.5,11,7,1.7686819273330912,1.7589766512428469,0.1024079767456247,0.742060228161625,0.6843103433020588,0.10856355399935046,0.6174164705701597,1.7357809947969334
5.0,11,7,1.7984581210852908,1.797358202853502,0.10219556484143291,0.7718364219138245,0.7126804121908208,0.1122143599547504,0.6544203544688458,1.7727848786956195
5.5,11,7,1.8262548508140422,1.8297299732694228,0.10055494213208394,0.799633151642576,0.7410504810795828,0.11295412897696429,0.691424238367532,1.8097887625943057
6.0,11,6,1.8532787294941293,1.8621017436853435,0.09980810305148659,0.826657030322663,0.7694205499683449,0.11408545196490767,0.7284281222662181,1.8467926464929918
6.5,11,5,1.8817195411661074,1.915736927196121,0.10015420143417064,0.8550978419946411,0.801829612122674,0.11947513867640173,0.7654320061649038,1.8837965303916775
7.0,10,4,1.9067459199184669,1.9088971170931472,0.10301716214516926,0.8606624923191702,0.8429194554792048,0.09727718745624207,0.80243589006359,1.9208004142903636
7.5,10,3,1.9357743279590067,1.9334244752844825,0.1020380886897792,0.8896909003597102,0.8877669296725799,0.09845795919071555,0.8394397739622761,1.9578042981890498
8.0,9,3,1.9752199854693673,1.986634260523715,0.10663346504281097,0.9235330058197886,0.9402123620020576,0.1006167917610947,0.8764436578609618,1.9948081820877355
8.5,8,3,2.003974177414875,2.047619668797779,0.11581059769875579,0.9614971493492703,0.9819791416357476,0.10668445956179794,0.9134475417596484,2.031812065986422
9.0,8,3,2.0284310027955144,2.077075994682673,0.11633942380231582,0.9859539747299095,1.003744753807041,0.10882342339336687,0.9504514256583336,2.0688159498851073
9.5,8,2,2.0539844394984357,2.105214154727946,0.1177878557127826,1.0115074114328308,1.0255103659765155,0.10930635896624707,0.9874553095570198,2.1058198337837934
10.0,7,2,2.1074588095699647,2.1459804392470687,0.09782598884750475,1.0505638791317844,1.059813984993525,0.11114218443116732,1.024459193455706,2.1428237176824796
10.5,6,2,2.1326423258051364,2.1564958837261656,0.10552066450509504,1.068642619407304,1.0837275248468359,0.1160070126283678,1.061463077354392,2.1798276015811657
11.0,5,1,2.1604716337162246,2.1891844469791977,0.11021569981065225,1.0865794175260817,1.0779419790378597,0.11975276872170794,1.0984669612530782,2.216831485479852
11.5,5,1,2.195200096476037,2.210786450847081,0.09329243483160382,1.1213078802858945,1.0995439829057432,0.11094070231320036,1.1354708451517643,2.253835369378538
12.0,4,1,2.2274913042192566,2.261649209423922,0.09464110241834789,1.14302768692869,1.1161185360360832,0.11896540136905792,1.1724747290504505,2.290839253277224
12.5,4,1,2.25603722786218,2.2848735683364794,0.09087413979782782,1.1715736105716132,1.1450412959475216,0.11617786186126014,1.2094786129491366,2.3278431371759103
13.0,4,1,2.291506152070724,2.322243097141836,0.08746521468962974,1.2070425347801574,1.1881092257499404,0.11180221813713144,1.2464824968478219,2.3648470210745955
13.5,4,1,2.336908232740825,2.378797992658292,0.0911414603169224,1.2524446154502584,1.2488865815448662,0.11150616670009296,1.283486380746508,2.4018509049732817
14.0,3,1,2.3518063809824525,2.3996074505012075,0.09980915249455627,1.276269047242143,1.2560651491148749,0.13396574350346527,1.3204902646451941,2.438854788871968
14.5,3,0,2.384133117598443,2.4294510211257148,0.09648669253841001,1.3085957838581332,1.292308665069868,0.13304322865704687,1.3574941485438803,2.475858672770654
15.0,2,0,2.4699531307469442,2.4699531307469442,0.01493175399606293,1.3471577874443028,1.3471577874443028,0.18641984604384815,1.3944980324425664,2.51286255666934
