t_iso,t_mono,sim_time_s,frame_i,fsm_state,align_sub,det_ok,pos_x,pos_y,pos_z,yaw_deg,yaw_model_raw_deg,width_m,fps,measurement_sim_time_s,latency_s,truth_x,truth_y,truth_z,truth_yaw_deg,error_x,error_y,error_z,error_yaw_deg
2026-09-07T08:59:13.658+00:00,1000.0,0.0,0,PRECHECK,,1,0.30559161165422705,0.18023205892393143,2.1900677405291638,-14.168033280120909,-14.168033280120909,1.1,,-0.12,0.12,0.3,0.175,2.2,-15.0,0.005591611654227061,0.005232058923931455,-0.009932259470836594,0.8319667198790812
2026-09-07T08:59:13.758+00:00,1000.1,0.09999999999999996,1,SEARCH_SWEEP,,1,0.2892142323927328,0.17269098714772038,2.189272829617969,-15.118734082189718,-15.118734082189718,1.1,10.000000000000004,-0.02000000000000003,0.12,0.3,0.175,2.2,-15.0,-0.010785767607267174,-0.0023090128522795955,-0.010727170382031224,-0.11873408218972274
2026-09-07T08:59:13.858+00:00,1000.2,0.19999999999999996,2,ACQUIRE_VERIFY,,1,0.29477547437565865,0.1613111678138747,2.1832798629537917,-17.027231476058432,-17.027231476058432,1.1,10.0,0.07999999999999996,0.12,0.3,0.175,2.2,-15.0,-0.005224525624341323,-0.013688832186125283,-0.016720137046208484,-2.027231476058417
2026-09-07T08:59:13.958+00:00,1000.3,0.29999999999999993,3,ACQUIRE_VERIFY,,1,0.2965722065432235,0.1732473443034193,2.200662503326199,-13.126081414532024,-13.126081414532024,1.1,10.000000000000002,0.17999999999999994,0.12,0.3,0.175,2.2,-15.0,-0.0034277934567764883,-0.0017526556965807068,0.000662503326198631,1.8739185854679878
2026-09-07T08:59:14.058+00:00,1000.4,0.3999999999999999,4,ACQUIRE_VERIFY,,1,0.29732433457992,0.15405320480117687,2.1997556020076403,-12.804453525311288,-12.804453525311288,1.1,10.000000000000002,0.2799999999999999,0.12,0.3,0.175,2.2,-15.0,-0.00267566542007996,-0.02094679519882311,-0.0002443979923596645,2.195546474688719
2026-09-07T08:59:14.158+00:00,1000.5,0.4999999999999999,5,ACQUIRE_VERIFY,,1,0.30416709461645536,0.17068670904822617,2.2047539592927294,-14.920058418286288,-14.920058418286288,1.1,10.000000000000002,0.3799999999999999,0.12,0.3,0.175,2.2,-15.0,0.004167094616455377,-0.004313290951773814,0.004753959292729349,0.07994158171371336
2026-09-07T08:59:14.258+00:00,1000.6,0.5999999999999999,6,ACQUIRE_VERIFY,,1,0.2986948789108837,0.16144742639065093,2.184053299209822,-14.614776917398245,-14.614776917398245,1.1,10.000000000000002,0.47999999999999987,0.12,0.3,0.175,2.2,-15.0,-0.0013051210891162858,-0.013552573609349068,-0.015946700790178403,0.3852230826017595
2026-09-07T08:59:14.358+00:00,1000.7,0.6999999999999998,7,ACQUIRE_VERIFY,,1,0.3221593381008429,0.16958943104478078,2.1570155034036613,-14.106157122295087,-14.106157122295087,1.1,10.000000000000002,0.5799999999999998,0.12,0.3,0.175,2.2,-15.0,0.022159338100842915,-0.005410568955219207,-0.04298449659633876,0.8938428777049131
2026-09-07T08:59:14.458+00:00,1000.8,0.7999999999999998,8,ACQUIRE_VERIFY,,1,0.31405064760453677,0.15076311945500617,2.1979083093259435,-15.576611277228153,-15.576611277228153,1.1,10.000000000000002,0.6799999999999998,0.12,0.3,0.175,2.2,-15.0,0.014050647604536774,-0.024236880544993823,-0.0020916906740565113,-0.5766112772281511
2026-09-07T08:59:14.558+00:00,1000.9,0.8999999999999998,9,ACQUIRE_VERIFY,,1,0.28793429026264633,0.17449412115801802,2.2079587538968317,-14.990418801340809,-14.990418801340809,1.1,10.000000000000002,0.7799999999999998,0.12,0.3,0.175,2.2,-15.0,-0.012065709737353682,-0.0005058788419819669,0.007958753896831452,0.00958119865918063
