seg_id,tag,cmd,t_from_cmd_s,t_from_onset_s,angle_deg,during_command,usable
0,20260901_173507,ROT_LEFT,-1.1720000000022992,-2.54158227636799,0.0789307806541455,True,True
0,20260901_173507,ROT_LEFT,-1.0780000000013388,-2.4475822763670294,-0.22293677229847297,True,True
0,20260901_173507,ROT_LEFT,-0.9840000000003783,-2.353582276366069,-0.30072930055636604,True,True
0,20260901_173507,ROT_LEFT,-0.8899999999994179,-2.2595822763651086,-0.3473229751997682,True,True
0,20260901_173507,ROT_LEFT,-0.7970000000022992,-2.16658227636799,-0.06638553134764003,True,True
0,20260901_173507,ROT_LEFT,-0.7030000000013388,-2.0725822763670294,-0.0,True,True
0,20260901_173507,ROT_LEFT,-0.6090000000003783,-1.978582276366069,0.020356112510857116,True,True
0,20260901_173507,ROT_LEFT,-0.5149999999994179,-1.8845822763651086,-0.03963122671625996,True,True
0,20260901_173507,ROT_LEFT,-0.4220000000022992,-1.7915822763679898,0.008450656978480353,True,True
0,20260901_173507,ROT_LEFT,-0.3280000000013388,-1.6975822763670294,0.29303818725906616,True,True
0,20260901_173507,ROT_LEFT,-0.23400000000037835,-1.603582276366069,0.212823623503839,True,True
0,20260901_173507,ROT_LEFT,-0.125,-1.4945822763656906,0.03755350318432349,True,True
0,20260901_173507,ROT_LEFT,-0.030999999999039574,-1.4005822763647302,-0.03299944308649572,True,True
0,20260901_173507,ROT_LEFT,0.0779999999977008,-1.2915822763679898,-0.037249244185728614,True,True
0,20260901_173507,ROT_LEFT,0.17199999999866122,-1.1975822763670294,0.23964262753185395,True,True
0,20260901_173507,ROT_LEFT,0.2819999999992433,-1.0875822763664473,0.2750849693063877,True,True
0,20260901_173507,ROT_LEFT,0.375,-0.9945822763656906,0.13322483906346427,True,True
0,20260901_173507,ROT_LEFT,0.5,-0.8695822763656906,-0.123042183470508,True,True
0,20260901_173507,ROT_LEFT,0.6100000000005821,-0.7595822763651086,-0.05782168993195569,True,True
0,20260901_173507,ROT_LEFT,0.7029999999977008,-0.6665822763679898,-0.2287600816000026,True,True
0,20260901_173507,ROT_LEFT,0.7969999999986612,-0.5725822763670294,-0.3945440327302965,True,True
0,20260901_173507,ROT_LEFT,0.8909999999996217,-0.478582276366069,0.14622648473974387,True,True
0,20260901_173507,ROT_LEFT,1.0,-0.36958227636569063,0.5120510321369505,True,True
0,20260901_173507,ROT_LEFT,1.110000000000582,-0.25958227636510856,0.34918739149113165,True,True
0,20260901_173507,ROT_LEFT,1.1879999999982829,-0.18158227636740776,-0.18890646313579218,True,True
0,20260901_173507,ROT_LEFT,1.3129999999982829,-0.05658227636740776,-0.6498280878187064,True,True
0,20260901_173507,ROT_LEFT,1.4069999999992433,0.03741772363355267,1.047925643622202,True,True
0,20260901_173507,ROT_LEFT,1.5,0.13041772363430937,1.1944831311333886,True,True
