angle_deg,n,n_during_command,t_cmd_mean,t_cmd_median,t_cmd_sd,t_onset_mean,t_onset_median,t_onset_sd,t_onset_model,t_cmd_model
0.5,9,9,1.2324267603382597,1.3382244799067848,0.475357972221394,-0.15688380962253884,0.0758480379372485,0.5392889059739413,0.2767310228222739,1.3587320200136404
1.0,9,8,1.5529633759858068,1.5472412018643809,0.12187020539925472,0.1636528060250081,0.13251701340414,0.1286958171849908,0.39135676560463817,1.4733577627960046
1.5,9,8,1.62001293337663,1.6357794501927856,0.09036341425445901,0.23070236341583142,0.165222775471193,0.142349021684925,0.47931219155868043,1.5613131887500469
2.0,9,6,1.6949943789930129,1.6696331922103127,0.11685223289575476,0.30568380903221415,0.2134425658441614,0.20596309101384816,0.5534620456445476,1.635463042835914
2.5,9,6,1.7403540351438602,1.7034869342278398,0.10809447744157177,0.3510434651830615,0.2610363852072623,0.2014238452945541,0.6187893785136496,1.700790375705016
3.0,9,6,1.7769355446879571,1.7495237445364182,0.1023415525529013,0.3876249747271585,0.3347995560761774,0.19667499505767183,0.6778498019130572,1.7598507991044237
3.5,9,6,1.8217519300669665,1.8261301522579745,0.11148433807975522,0.43244136010616785,0.3993406006993609,0.21136132535992694,0.7321614664442759,1.8141624636356424
4.0,8,6,1.8385981977612573,1.8351510107258946,0.09544328780539144,0.41903038412601745,0.3861976883254101,0.15536149141678177,0.7827135312092761,1.8647145284006426
4.5,8,2,1.8901912106939562,1.9229869905266241,0.09902891327611582,0.47062339705871636,0.43175013018662867,0.15936339101923952,0.8301930684668213,1.9121940656581877
5.0,8,2,1.9226933834588635,1.959221266601162,0.10406668626591727,0.5031255698236237,0.47039263740953174,0.15732586215686256,0.8751003313464223,1.9571013285377887
5.5,8,2,1.9523958447875884,1.9974258531274245,0.10612762917800385,0.5328280311523486,0.5083213225007057,0.15798830227838237,0.9178129705527589,1.9998139677441253
6.0,8,2,1.9816101418350627,2.0314600273395627,0.1063240854873863,0.5620423281998228,0.5462500075900607,0.15710956613358712,0.9594534469553431,2.0414544441467095
6.5,8,2,2.014806057016358,2.059478613322426,0.09730071776241875,0.5952382433811181,0.5777081631040346,0.15809377574012354,1.0010922332568886,2.083093230448255
7.0,6,2,2.0884019519016874,2.1097042512228654,0.07463405277169666,0.6197994831187922,0.5996981008775037,0.1649815596601092,1.042731019558434,2.1247320167498005
7.5,5,1,2.0997096812418024,2.1305034325305314,0.06986854812395804,0.6682287793038995,0.6708718078916718,0.17160585953775612,1.0843698058599796,2.166370803051346
8.0,5,1,2.129529148049187,2.163997317282337,0.07070134681960769,0.6980482461112842,0.6919446420870372,0.17517723384953685,1.126008592161526,2.2080095893528924
8.5,4,1,2.160318768279467,2.162616433392031,0.0930713396949895,0.7633303087377499,0.7690404735512857,0.20650309956489385,1.1676473784630714,2.249648375654438
9.0,3,0,2.218852241946782,2.251835373404901,0.0913643737483352,0.8136768729649096,0.8371111849446606,0.225723123249739,1.209286164764617,2.2912871619559834
9.5,3,0,2.264516204844161,2.280800992677541,0.05718753355538363,0.8593408358622886,0.8660768042173004,0.19353373444796534,1.2509249510661624,2.332925948257529
10.0,3,0,2.2879160112946315,2.309766611950181,0.060490437307619896,0.882740642312759,0.8950424234899401,0.19576900137417474,1.2925637373677088,2.3745647345590752
10.5,3,0,2.311315817745102,2.3387322312228207,0.06405081158926568,0.9061404487632293,0.92400804276258,0.19811721751721925,1.3342025236692543,2.4162035208606207
11.0,2,0,2.328600869182992,2.328600869182992,0.10167764995509063,0.8520260366949515,0.8520260366949515,0.18914766958071547,1.3758413099707998,2.4578423071621662
11.5,2,0,2.369737359806095,2.369737359806095,0.13357197924247513,0.8931625273180543,0.8931625273180543,0.22104199886809997,1.4174800962723462,2.4994810934637126
12.0,2,0,2.4218870717868413,2.4218870717868413,0.12378162395907644,0.9453122392988007,0.9453122392988007,0.21125164358470128,1.4591188825738917,2.541119879765258
12.5,2,0,2.4830211104745104,2.4830211104745104,0.1012855120031017,1.0064462779864698,1.0064462779864698,0.18875553162872652,1.5007576688754372,2.5827586660668036
13.0,1,0,2.6733322052532458,2.6733322052532458,,1.258608016793005,1.258608016793005,,1.5423964551769827,2.624397452368349
13.5,1,0,2.7477831183532544,2.7477831183532544,,1.3330589298930136,1.3330589298930136,,1.584035241478529,2.6660362386698955
