target_deg,hold_sec,stop_angle_deg,stop_rate_deg_s,coast_deg,settle_sec,sd_deg
2.0,1.2717961408760639,0.23519305835174978,2.4783885802944563,1.7648069416482501,0.37558399410428756,1.296376535204618
2.5,1.3357465006782152,0.4203886846463548,3.313467067353514,2.0796113153536453,0.3783675890913466,1.4493930285765875
3.0,1.3935620452685233,0.6337830497672061,4.068435728270193,2.366216950232794,0.380884151321701,1.5877305128842532
3.5,1.44672892558774,0.8685450462094327,4.7627010633829405,2.631454953790567,0.383198369130514,1.7149449588254952
4.0,1.4962154511886103,1.120223829532254,5.408907481242593,2.8797761704677463,0.38535239054674564,1.8258592417770032
4.5,1.5426942121835467,1.3857278326285787,6.015837818024299,3.1142721673714213,0.38737549169129726,1.910524296734992
5.0,1.5866549173394517,1.662806104305589,6.589886803287514,3.337193895694411,0.38928898832959824,1.9770583757866191
5.5,1.6284672572189605,1.949759358233984,7.135881941313377,3.550240641766016,0.39110897214276036,2.028123393961746
6.0,1.6694400534634224,2.2530972773778717,7.670914125717964,3.7469027226221283,0.3920277824363051,2.0666079203092442
6.5,1.7110788397649679,2.5838249357906946,8.21464296125925,3.9161750642093054,0.3920277824363051,2.0939996218067094
7.0,1.7527176260665138,2.9371928029926138,8.758371796800542,4.062807197007386,0.3920277824363051,2.109578483826618
7.5,1.7943564123680593,3.3132008789836203,9.302100632341828,4.18679912101638,0.3920277824363051,2.1133445063689695
8.0,1.8359951986696053,3.7118491637637225,9.845829467883119,4.2881508362362775,0.3920277824363051,2.1085262940419263
8.5,1.8776339849711512,4.133137657332918,10.389558303424412,4.366862342667082,0.3920277824363051,2.108526294041927
9.0,1.9192727712726967,4.577066359691201,10.933287138965698,4.422933640308799,0.3920277824363051,2.1085262940419267
9.5,1.9609115575742426,5.043635270838579,11.477015974506989,4.456364729161421,0.3920277824363051,2.108526294041927
10.0,2.0025503438757886,5.532838205355227,12.008034921551944,4.467161794644773,0.3920277824363051,2.108526294041926
10.5,2.044189130177334,6.032838205355224,12.008034921551944,4.467161794644776,0.3920277824363051,2.108526294041927
11.0,2.0858279164788796,6.532838205355221,12.008034921551944,4.467161794644779,0.3920277824363051,2.108526294041928
11.5,2.127466702780426,7.032838205355229,12.008034921551944,4.467161794644771,0.3920277824363051,2.108526294041927
12.0,2.1691054890819714,7.532838205355226,12.008034921551944,4.467161794644774,0.3920277824363051,2.108526294041927
12.5,2.210744275383517,8.032838205355223,12.008034921551944,4.4671617946447775,0.3920277824363051,2.1085262940419263
13.0,2.2523830616850633,8.53283820535523,12.008034921551944,4.46716179464477,0.3920277824363051,2.108526294041927
13.5,2.294021847986609,9.032838205355228,12.008034921551944,4.467161794644772,0.3920277824363051,2.108526294041927
14.0,2.3356606342881543,9.532838205355224,12.008034921551944,4.467161794644776,0.3920277824363051,2.108526294041928
14.5,2.3772994205897,10.032838205355223,12.008034921551944,4.4671617946447775,0.3920277824363051,2.108526294041928
15.0,2.418938206891246,10.53283820535523,12.008034921551944,4.46716179464477,0.3920277824363051,2.108526294041927
15.5,2.4605769931927917,11.032838205355226,12.008034921551944,4.467161794644774,0.3920277824363051,2.108526294041927
16.0,2.502215779494337,11.532838205355223,12.008034921551944,4.4671617946447775,0.3920277824363051,2.108526294041928
16.5,2.5438545657958835,12.03283820535523,12.008034921551944,4.46716179464477,0.3920277824363051,2.108526294041928
17.0,2.585493352097429,12.532838205355228,12.008034921551944,4.467161794644772,0.3920277824363051,2.1085262940419263
17.5,2.6271321383989745,13.032838205355226,12.008034921551944,4.467161794644774,0.3920277824363051,2.108526294041927
18.0,2.66877092470052,13.532838205355223,12.008034921551944,4.4671617946447775,0.3920277824363051,2.108526294041927
18.5,2.7104097110020664,14.03283820535523,12.008034921551944,4.46716179464477,0.3920277824363051,2.108526294041928
19.0,2.752048497303612,14.532838205355226,12.008034921551944,4.467161794644774,0.3920277824363051,2.1085262940419263
19.5,2.7936872836051574,15.032838205355224,12.008034921551944,4.467161794644776,0.3920277824363051,2.108526294041928
20.0,2.8353260699067038,15.532838205355231,12.008034921551944,4.467161794644769,0.3920277824363051,2.108526294041928
