method,n_seg,static_yaw_sd_deg,static_bearing_sd_deg,static_z_sd_m,reproj_rms_px,yaw_sign_ok,corr_yaw_bear,slope_yaw_on_bear,abs_dr_median_m
4pt,12,0.20409812561505328,0.019423803952893427,0.003432601468059178,0.45559073923331606,7,0.020468777416914694,0.01849763653902306,0.020185707754757476
multi,12,0.23019405569138918,0.025685870338204988,0.003403148963866259,1.3482703201390516,12,0.9869851741690818,0.7091207438211912,0.03298299110712266
