tag,step,cmd,sign,dbear_4pt,dyaw_4pt,dr_4pt,dbear_multi,dyaw_multi,dr_multi
20260901_173507,1,ROT_LEFT,-1.0,6.489862051167018,4.727170761391029,0.05204929861547214,6.481284714946959,5.307130185380579,0.042744110882974695
20260901_173507,6,ROT_RIGHT,1.0,-7.068367644832797,-7.387051387371393,-0.02775189269655698,-7.190221397289563,-6.25477013545506,-0.022584139433527994
20260901_173507,7,ROT_RIGHT,1.0,-14.423482646943528,6.903561065364783,0.3118923018774957,-15.325865602443248,-11.157474979556039,0.13575951077679083
20260901_173507,8,ROT_LEFT,-1.0,16.290254657233298,-1.768387195065791,-0.35297417897066774,17.445542724652398,13.112378603272795,-0.1295861159023377
20260901_173507,9,ROT_RIGHT,1.0,-13.307190996594802,-12.019746515886508,0.0016527752155033326,-13.894370746948123,-9.468076446130341,-0.04566412305390033
20260901_173507,10,ROT_LEFT,-1.0,10.500530939681074,9.838669447153269,7.333916280849451e-05,11.378028549627043,6.206372160426504,0.08467163036162839
20260901_173507,11,ROT_RIGHT,1.0,-9.60615430456145,-5.705250933088385,-0.011501791271455897,-9.515848439446602,-7.455270914891978,-0.002861904974773566
20260901_174342,6,ROT_RIGHT,1.0,-11.493615630226795,19.32499489999269,0.18068510820265438,-13.11781170432835,-7.398393397391437,0.012397160504825644
20260901_174342,7,ROT_LEFT,-1.0,15.812743012500594,-20.440297244281574,-0.1693117634727459,16.656617290414673,9.862267176145203,-0.08481137651557424
20260901_174342,8,ROT_RIGHT,1.0,-6.376855088554878,3.1641874341436544,0.0070187348540085015,-5.896659676988306,-3.30939529740862,-0.00817149122694727
20260901_174925,5,ROT_LEFT,-1.0,8.885079712671036,5.352830485515715,0.012619522812957973,8.938285570188288,5.449669851522262,0.015397978973991311
20260901_175419,1,ROT_RIGHT,1.0,-19.64675549206238,-15.546516799489753,0.00014922190269128777,-19.619038662460074,-17.564364634893806,0.023221871331270627
