source,n_used,n_total,bearing_noise_deg,T_on,T_off,alpha,beta,w_max,traj_rms_deg,total_rms_deg,loo_rms_deg,delay_median,delay_sd,coast_median,settle_p90
log_bearing,11,15,0.0249872180292987,1.1183645242267737,0.3675403570440631,23.75698561633472,297.75693331534586,13.512095145714005,1.08635335733266,1.3484940846362043,1.6178813085542894,1.014266274680267,0.1115469936508368,4.876759582189458,0.8811999999998079
recomp4_bearing,10,11,0.0184420050456599,1.092275176154626,0.374012761986667,22.68786662535798,270.3187369946478,12.994361909780505,1.0876292716940197,1.3791288803449318,1.698337561817779,1.0296691304010892,0.0721578075426776,4.670826784462523,0.9453000000001336
recompmulti_bearing,10,11,0.0252602385562367,1.0821649494094965,0.3518343133066537,21.937141151420512,299.9984959154206,14.662831526667755,1.2389355017997608,1.6410979524421911,2.004370320489005,1.0128268324478995,0.1620586286145228,4.769137267785208,2.2400000000005083
recompmulti_yaw,9,11,0.1875119459016103,1.2816557263953767,0.347496326400488,26.75335467301492,299.4929007749408,11.3352313522837,1.1253438916822738,1.4344868087123157,1.8443895626197144,1.3724277312212507,0.175592951537604,3.820618429836019,0.7637999999995371
recompmulti_yaw_fixed*,9,11,0.1875119459016103,1.0820009971913664,0.3520009989302682,13.058229690069151,299.9999967457008,12.008034921551944,1.1336246657408122,1.436979773984964,1.8138715183118743,1.3724277312212507,0.17559295153760407,3.820618429836019,0.7637999999995371
