seg_id,tag,step,cmd,kind,sign,range_m,bearing_ref_deg,bearing_noise_deg,cmd_duration_s,startup_delay_s,onset_threshold_deg,angle_at_stop_deg,rate_at_stop_deg_s,rate_at_stop_linfit_deg_s,stall_gap_s,peak_rate_deg_s,move_time_before_stop_s,final_angle_deg,peak_angle_deg,coast_deg,overshoot_deg,settle_time_after_stop_s,log_stop_rate_deg_s,log_post_stop_deg,usable,exclude_reason
0,20260831_161940,1,ROT_RIGHT,v4_face_rotate,1.0,3.5929211021798126,3.272134253092139,0.2846621419541063,0.39100000000325963,3.230036781373201,1.138648567816425,-0.34020028806085234,,-1.0716335077506036,0.0,,-2.8390367813699413,0.972663676992459,1.7485017816953181,1.3128639650533114,0.7758381047028591,1.9849999999860302,,,False,온셋이 STOP 이후(명령 유지시간 < 시동지연)
1,20260831_161940,2,ROT_RIGHT,v4_face_rotate,1.0,3.59571998450213,3.62819425224923,0.18018357118039283,0.5310000000026776,0.9292687481938628,0.7207342847215713,-0.0963442575686876,,-0.2150683570431582,0.0,,-0.3982687481911853,1.512998945582196,3.292200214063067,1.6093432031508836,1.7792012684808711,,,,False,온셋이 STOP 이후(명령 유지시간 < 시동지연)
2,20260831_161940,3,ROT_RIGHT,v4_face_rotate,1.0,3.6001030749968814,3.0090589829160432,0.403876721176992,0.46899999999732245,2.3141096514445962,1.615506884707968,1.0182157668159235,,1.6428736807142346,0.0,,-1.8451096514472738,2.419698183511355,2.9859374058833237,1.4014824166954314,0.5662392223719688,1.3289999999979045,,,False,온셋이 STOP 이후(명령 유지시간 < 시동지연)
3,20260901_173507,1,ROT_LEFT,v4_face_rotate,-1.0,4.386603054680923,-4.3140568202107,0.013061935635468327,1.5319999999992433,0.9956514591467567,0.25,2.4033064907037565,4.4161319083128525,4.4161319083256325,0.0,17.624208173689922,0.5363485408524866,6.4691139922050915,7.543289104018551,4.065807501501335,1.0741751118134593,1.0940000000009604,9.68429740024476,4.405893585053946,True,
4,20260901_173507,6,ROT_RIGHT,v4_waypoint_rotate,1.0,2.2579198094072366,4.673601266449381,0.07479022836841011,1.5469999999986612,1.1253665923213703,0.29916091347364043,1.647140815737582,2.907153817059491,2.9071538171262588,0.0,14.247365258601393,0.42163340767729096,7.168994427251349,8.234831315313459,5.521853611513767,1.06583688806211,1.0470000000022992,-41.65071409884429,1.653933379697719,True,
5,20260901_173507,7,ROT_RIGHT,v4_waypoint_rotate,1.0,2.557454924815556,-2.4820956664842866,0.019931336472371806,1.9680000000007567,0.9810213146010938,0.25,10.983543325583174,24.821532930716984,21.00333246787045,0.25,23.663259308342745,0.9869786853996629,14.31782421928069,14.67361325121875,3.3342808936975157,0.3557890319380608,0.7659999999996217,-12.931691249033797,-10.274998947437382,True,
6,20260901_173507,8,ROT_LEFT,v4_recenter_rotate,-1.0,2.2445702368164526,-16.825450740189936,0.04694308387143972,2.1570000000028813,0.9804182615080208,0.25,9.348851936697082,24.328757272376958,15.223664704871444,0.4059999999990396,20.123385363521642,1.1765817384948605,16.297521991697362,17.110036354363203,6.94867005500028,0.8125143626658407,1.125,20.79487743113837,7.505500448163218,True,
7,20260901_173507,9,ROT_RIGHT,v4_waypoint_rotate,1.0,2.241629267139012,-0.5159346455925282,0.02498721802929873,2.0,1.1112424679558899,0.25,7.1600077568228215,20.512661469215352,14.316507805717828,0.18800000000192085,23.146000856772634,0.8887575320441101,13.318038531745675,13.879821204308731,6.158030774922853,0.5617826725630568,0.8760000000002037,-5.911118748662284,9.874845495295034,True,
8,20260901_173507,10,ROT_LEFT,v4_recenter_rotate,-1.0,2.239876207915826,-13.843284574841572,0.013714012588544232,1.9209999999984575,1.0145371574435558,0.25,6.503497636920028,19.050387243554702,12.429414546528381,0.2029999999977008,22.80062807278134,0.9064628425549017,10.488569865475295,10.864140035944008,3.985072228555267,0.37557017046871266,0.86000000000422,19.88376185655367,4.701698756699614,True,
9,20260901_173507,11,ROT_RIGHT,v4_waypoint_rotate,1.0,2.2333931245945036,-3.3476435101674937,0.0290459465442797,1.9059999999990396,1.014266274683905,0.25,5.726904244426196,22.425173108821,11.255410906040636,0.4059999999990396,18.364914278992654,0.8917337253151345,9.586887847310681,10.399108602012753,3.859983602884485,0.8122207547020714,0.9690000000009604,-1.9168568805745454,4.715463082164263,True,
10,20260901_174342,6,ROT_RIGHT,v4_waypoint_rotate,1.0,2.207145368792006,-5.093510148596329,0.03433888774336908,1.8290000000015425,1.0316066117884475,0.25,6.43399634910413,9.947955204664378,9.947955204368265,0.0,14.87834073416211,0.797393388213095,11.310755931293588,11.581283821324888,4.876759582189458,0.27052789003129973,0.5780000000013388,-3.146603517257144,-18.968405309639422,True,
11,20260901_174342,7,ROT_LEFT,v4_recenter_rotate,-1.0,1.9918615544439828,-16.35130477154817,0.15401194811336286,5.65599999999904,1.2884824111570197,0.6160477924534514,8.735859817167755,8.917475565799712,5.492773638602147,3.0320000000028813,18.63784463138847,4.36751758884202,15.451659576241344,16.730445973405427,6.7157997590735885,1.2787863971640832,0.7810000000026776,10.361302719097823,7.120620621433744,False,명령 유지 중 회전 정체 3.0s
12,20260901_174342,8,ROT_RIGHT,v4_waypoint_rotate,1.0,1.9856178131083606,-0.9217330069844089,0.031165639301635684,1.5159999999996217,0.8320044149004389,0.25,1.9281675745708302,5.7321492998477375,3.7893470014119646,0.10900000000037835,11.230737925005371,0.6839955850991828,5.936244238171464,6.682752850921557,4.008076663600634,0.7465086127500928,0.8899999999994179,-2.8748648131194914,1.3395124714203916,True,
13,20260901_174925,5,ROT_LEFT,v4_final_rotate,-1.0,1.545708907172169,-4.6814601365805055,0.011681542546877189,1.4840000000003783,0.9415517114612157,0.25,2.840940920698806,3.994687378475781,3.9946873785012444,0.0,17.374130540030528,0.5424482885391626,8.937233717644544,9.7607530856986,6.096292796945738,0.8235193680540558,0.5779999999977008,4.191580402956281,3.7565635317507144,True,
14,20260901_175419,1,ROT_RIGHT,v4_face_rotate,1.0,4.366797938321054,17.465836343784236,0.015807662516001655,2.438000000001921,1.265172425093624,0.25,14.311958928841893,20.26620000132048,16.5954676529623,0.2969999999986612,24.429453287211008,1.1728275749082968,19.74416413999731,20.346957715110285,5.432205211155416,0.602793575112976,,-20.57634083805984,,True,
