target_deg,hold_sec,stop_angle_deg,stop_rate_deg_s,coast_deg,settle_sec,sd_deg
2.0,1.1215664203795597,0.009732833738461236,0.664555842266085,1.9902671662615388,0.40786208965122517,0.7156666577204176
2.5,1.1691700009115271,0.06707456855020154,1.7445795282648502,2.4329254314497986,0.41185746081197516,0.8001396479464636
3.0,1.2122069273872982,0.163166882269762,2.7209955761124816,2.836833117730238,0.41546955244388806,0.8765090686690402
3.5,1.251783465763931,0.28862249796868145,3.61890280029489,3.2113775020313184,0.41879121351024684,0.9221104887483078
4.0,1.2886204095118075,0.4373250854177389,4.454654466932524,3.562674914582261,0.42188294024709594,0.9441305253593413
4.5,1.326903687015228,0.6244896331317742,5.323220360911697,3.875510366868226,0.42208328071670165,0.9493343788337074
5.0,1.3653819134546246,0.8461132432643824,6.19620923034905,4.153886756735617,0.42208328071670165,0.937644665825843
5.5,1.4038601398940207,1.101327916794271,7.069198099786392,4.398672083205729,0.42208328071670165,0.937644665825843
6.0,1.4423383663334168,1.3901336537214417,7.942186969223735,4.609866346278558,0.42208328071670165,0.937644665825843
6.5,1.4808165927728134,1.712530454045899,8.815175838661087,4.787469545954101,0.42208328071670165,0.9376446658258426
7.0,1.5192948192122095,2.0685183177676354,9.68816470809843,4.931481682232365,0.42208328071670165,0.9376446658258426
7.5,1.5577730456516057,2.4580972448866545,10.561153577535773,5.0419027551133455,0.42208328071670165,0.937644665825843
8.0,1.5962512720910023,2.8812672354029605,11.434142446973125,5.1187327645970395,0.42208328071670165,0.9376446658258435
8.5,1.6347294985303984,3.3380282893165445,12.307131316410468,5.1619717106834555,0.42208328071670165,0.9376446658258426
9.0,1.6732077249697945,3.827619953084174,12.994361909780505,5.172380046915826,0.42208328071670165,0.937644665825843
9.5,1.711685951409191,4.327619953084178,12.994361909780505,5.172380046915822,0.42208328071670165,0.937644665825843
10.0,1.7501641778485872,4.827619953084176,12.994361909780505,5.172380046915824,0.42208328071670165,0.937644665825843
10.5,1.7886424042879834,5.327619953084175,12.994361909780505,5.172380046915825,0.42208328071670165,0.937644665825843
11.0,1.82712063072738,5.827619953084179,12.994361909780505,5.172380046915821,0.42208328071670165,0.937644665825843
11.5,1.865598857166776,6.327619953084177,12.994361909780505,5.172380046915823,0.42208328071670165,0.937644665825843
12.0,1.9040770836061722,6.8276199530841755,12.994361909780505,5.1723800469158245,0.42208328071670165,0.937644665825843
12.5,1.9425553100455684,7.327619953084174,12.994361909780505,5.172380046915826,0.42208328071670165,0.937644665825843
13.0,1.981033536484965,7.827619953084177,12.994361909780505,5.172380046915823,0.42208328071670165,0.937644665825843
13.5,2.0195117629243606,8.32761995308417,12.994361909780505,5.17238004691583,0.42208328071670165,0.937644665825843
14.0,2.057989989363757,8.827619953084174,12.994361909780505,5.172380046915826,0.42208328071670165,0.937644665825843
14.5,2.096468215803154,9.327619953084177,12.994361909780505,5.172380046915823,0.42208328071670165,0.937644665825843
15.0,2.1349464422425495,9.82761995308417,12.994361909780505,5.17238004691583,0.42208328071670165,0.937644665825843
15.5,2.173424668681946,10.327619953084174,12.994361909780505,5.172380046915826,0.42208328071670165,0.937644665825843
16.0,2.2119028951213417,10.827619953084167,12.994361909780505,5.172380046915833,0.42208328071670165,0.937644665825843
16.5,2.2503811215607383,11.32761995308417,12.994361909780505,5.17238004691583,0.42208328071670165,0.937644665825843
17.0,2.288859348000135,11.827619953084174,12.994361909780505,5.172380046915826,0.42208328071670165,0.937644665825843
17.5,2.3273375744395315,12.32761995308418,12.994361909780505,5.172380046915819,0.42208328071670165,0.9376446658258448
18.0,2.365815800878927,12.82761995308417,12.994361909780505,5.17238004691583,0.42208328071670165,0.937644665825843
18.5,2.4042940273183238,13.327619953084177,12.994361909780505,5.172380046915823,0.42208328071670165,0.937644665825843
19.0,2.4427722537577203,13.82761995308418,12.994361909780505,5.172380046915819,0.42208328071670165,0.937644665825843
19.5,2.481250480197116,14.327619953084174,12.994361909780505,5.172380046915826,0.42208328071670165,0.9376446658258413
20.0,2.5197287066365126,14.827619953084177,12.994361909780505,5.172380046915823,0.42208328071670165,0.937644665825843
