seg_id,tag,step,cmd,kind,sign,range_m,bearing_ref_deg,bearing_noise_deg,cmd_duration_s,startup_delay_s,onset_threshold_deg,angle_at_stop_deg,rate_at_stop_deg_s,rate_at_stop_linfit_deg_s,stall_gap_s,peak_rate_deg_s,move_time_before_stop_s,final_angle_deg,peak_angle_deg,coast_deg,overshoot_deg,settle_time_after_stop_s,log_stop_rate_deg_s,log_post_stop_deg,usable,exclude_reason
0,20260901_173507,1,ROT_LEFT,v4_face_rotate,-1.0,4.389135252549648,-4.330439193082097,0.010856039785184849,1.5319999999992433,0.9758379411323403,0.25,2.448389973485552,8.959768111460729,4.424848900426973,0.18799999999828287,17.186194504899202,0.556162058866903,6.491276499101971,7.591768767395871,4.042886525616419,1.1004922682939,0.6870000000017171,9.68429740024476,4.405893585053946,True,
1,20260901_173507,6,ROT_RIGHT,v4_waypoint_rotate,1.0,2.2573268397992816,4.609117201654963,0.05717469874744581,1.5469999999986612,1.1405422444731812,0.25,1.8487745464638268,8.442166131191462,3.7050835110073534,0.20300000000133878,19.01111696446214,0.40645775552548,7.063243415834036,8.141238452129091,5.214468869370209,1.0779950362950554,0.875,-41.65071409884429,1.653933379697719,True,
2,20260901_173507,7,ROT_RIGHT,v4_waypoint_rotate,1.0,2.5350706459033265,-2.447882544710493,0.017649161929991126,1.9680000000007567,1.0277514962181158,0.25,11.011130163476931,28.257662977912908,22.584241240510657,0.23500000000058208,23.169094350476723,0.9402485037826409,14.409795478595784,14.645355204533685,3.398665315118853,0.2355597259379003,0.4690000000009604,-12.931691249033797,-10.274998947437382,True,
3,20260901_173507,8,ROT_LEFT,v4_recenter_rotate,-1.0,2.2495246464182537,-16.797958775587546,0.03881540093013435,2.1570000000028813,1.0315867645840626,0.25,8.99429494197298,24.621217820691626,15.341753787711054,0.31300000000192085,22.754184704008424,1.1254132354188187,16.298448945098823,17.02758702264849,7.304154003125843,0.729138077549667,0.6090000000003783,20.79487743113837,7.505500448163218,True,
4,20260901_173507,9,ROT_RIGHT,v4_waypoint_rotate,1.0,2.242186178779944,-0.5113304917836722,0.013614227231912291,2.0,1.0030882571336406,0.25,7.113632850158716,21.017303066536705,12.452453010172391,0.5,28.652220985481602,0.9969117428663594,13.319226979200394,13.919292257600604,6.205594129041678,0.6000652784002103,0.6569999999992433,-5.911118748662284,9.874845495295034,True,
5,20260901_173507,10,ROT_LEFT,v4_recenter_rotate,-1.0,2.240419962637776,-13.829929754415742,0.012857923697959139,1.9209999999984575,1.0195458087982843,0.25,6.2746124804867645,18.82352382422321,12.712964323368649,0.4059999999990396,24.771559172377838,0.9014541912001732,10.489298854850126,11.153800228988702,4.214686374363362,0.6645013741385757,0.4690000000009604,19.88376185655367,4.701698756699614,True,
6,20260901_173507,11,ROT_RIGHT,v4_waypoint_rotate,1.0,2.233307143382027,-3.3491740797969682,0.019234848161328862,1.9059999999990396,1.119412172891316,0.25,5.690032231910854,22.150224930467726,11.412213685147782,0.4220000000022992,31.873803394424176,0.7865878271077236,9.602949716892077,10.412893989072904,3.9129174849812234,0.809944272180827,0.6880000000019209,-1.9168568805745454,4.715463082164263,True,
7,20260901_174342,6,ROT_RIGHT,v4_waypoint_rotate,1.0,2.1533084224272514,-5.120218269964208,0.006561491709162865,1.8290000000015425,1.0440819841787743,0.25,6.368287437856261,16.04837280018435,11.312021990001213,0.11000000000058208,25.350492519380914,0.7849180158227682,11.495254632417947,11.72465563795561,5.1269671945616855,0.22940100553766385,1.5780000000013388,-3.146603517257144,-18.968405309639422,True,
8,20260901_174342,7,ROT_LEFT,v4_recenter_rotate,-1.0,1.9890171734048305,-16.614515118030376,0.048954167295901234,5.65599999999904,1.0620040028188669,0.25,8.92686553689957,9.10521626199314,4.300503907444153,2.938000000001921,21.908053539188955,4.593995997180173,15.793257733324971,17.030774187534018,6.8663921964254016,1.2375164542090467,,10.361302719097823,7.120620621433744,False,명령 유지 중 회전 정체 2.9s
9,20260901_174342,8,ROT_RIGHT,v4_waypoint_rotate,1.0,1.9845325496411452,-0.5369283377231504,0.10575304126854057,1.5159999999996217,1.1551011710871535,0.4230121650741623,2.2729590588330204,10.123176026985817,5.46161475759876,0.0,11.890869133449167,0.36089882891246816,6.340346159937221,7.207828006789522,4.067387101104201,0.8674818468523009,0.48400000000037835,-2.8748648131194914,1.3395124714203916,True,
10,20260901_174925,5,ROT_LEFT,v4_final_rotate,-1.0,1.5442079214046376,-4.621732660433243,0.019612759744457996,1.4840000000003783,0.933613979810616,0.25,2.407165080728753,7.388625411386193,4.423530301650611,0.21900000000096043,16.778136890630762,0.5503860201897623,8.884761626754333,10.234176281379881,6.47759654602558,1.3494146546255479,0.5779999999977008,4.191580402956281,3.7565635317507144,True,
