seg_id,tag,cmd,t_from_cmd_s,t_from_onset_s,angle_deg,during_command,usable
0,20260901_173507,ROT_LEFT,-1.1720000000022992,-2.1478379411346396,0.013365793316101104,True,True
0,20260901_173507,ROT_LEFT,-1.0780000000013388,-2.053837941133679,-0.002970426617582511,True,True
0,20260901_173507,ROT_LEFT,-0.9840000000003783,-1.9598379411327187,-0.0023315511708243974,True,True
0,20260901_173507,ROT_LEFT,-0.8899999999994179,-1.8658379411317583,0.0070010720336934895,True,True
0,20260901_173507,ROT_LEFT,-0.7970000000022992,-1.7728379411346396,0.01081656103482409,True,True
0,20260901_173507,ROT_LEFT,-0.7030000000013388,-1.6788379411336791,0.0064441623701858575,True,True
0,20260901_173507,ROT_LEFT,-0.6090000000003783,-1.5848379411327187,0.0030418540970655883,True,True
0,20260901_173507,ROT_LEFT,-0.5149999999994179,-1.4908379411317583,-0.0,True,True
0,20260901_173507,ROT_LEFT,-0.4220000000022992,-1.3978379411346396,0.00500611087405467,True,True
0,20260901_173507,ROT_LEFT,-0.3280000000013388,-1.3038379411336791,-0.01107525715440083,True,True
0,20260901_173507,ROT_LEFT,-0.23400000000037835,-1.2098379411327187,-0.012893568116584042,True,True
0,20260901_173507,ROT_LEFT,-0.125,-1.1008379411323403,-0.013845394757157514,True,True
0,20260901_173507,ROT_LEFT,-0.030999999999039574,-1.00683794113138,-0.023047193975751945,True,True
0,20260901_173507,ROT_LEFT,0.0779999999977008,-0.8978379411346396,-0.02882121382160019,True,True
0,20260901_173507,ROT_LEFT,0.17199999999866122,-0.8038379411336791,-0.021650341940598672,True,True
0,20260901_173507,ROT_LEFT,0.2819999999992433,-0.693837941133097,0.0055012788040667004,True,True
0,20260901_173507,ROT_LEFT,0.375,-0.6008379411323403,0.002810366426886368,True,True
0,20260901_173507,ROT_LEFT,0.5,-0.47583794113234035,0.01286846220176141,True,True
0,20260901_173507,ROT_LEFT,0.6100000000005821,-0.36583794113175827,0.02940722057423706,True,True
0,20260901_173507,ROT_LEFT,0.7029999999977008,-0.27283794113463955,0.032179423551107256,True,True
0,20260901_173507,ROT_LEFT,0.7969999999986612,-0.17883794113367912,0.02611967617923394,True,True
0,20260901_173507,ROT_LEFT,0.8909999999996217,-0.0848379411327187,0.007904399917626037,True,True
0,20260901_173507,ROT_LEFT,1.0,0.024162058867659653,0.16311698253863316,True,True
0,20260901_173507,ROT_LEFT,1.110000000000582,0.13416205886824173,0.274095961817892,True,True
0,20260901_173507,ROT_LEFT,1.1879999999982829,0.21216205886594253,0.34411865864738145,True,True
0,20260901_173507,ROT_LEFT,1.3129999999982829,0.3371620588659425,0.7880909867588297,True,True
0,20260901_173507,ROT_LEFT,1.4069999999992433,0.43116205886690295,1.1630805198220466,True,True
0,20260901_173507,ROT_LEFT,1.5,0.5241620588676597,2.080101753317571,True,True
0,20260901_173507,ROT_LEFT,1.610000000000582,0.6341620588682417,3.346092510181641,False,True
0,20260901_173507,ROT_LEFT,1.7190000000009604,0.7431620588686201,4.950179386153963,False,True
0,20260901_173507,ROT_LEFT,1.8129999999982829,0.8371620588659425,6.565681669568471,False,True
0,20260901_173507,ROT_LEFT,1.9069999999992433,0.931162058866903,7.591768767395871,False,True
0,20260901_173507,ROT_LEFT,2.0159999999996217,1.0401620588672813,6.832204657172244,False,True
0,20260901_173507,ROT_LEFT,2.125,1.1491620588676597,6.210183578427985,False,True
0,20260901_173507,ROT_LEFT,2.2190000000009604,1.24316205886862,6.380652432105416,False,True
0,20260901_173507,ROT_LEFT,2.327999999997701,1.3521620588653604,6.814254597808768,False,True
0,20260901_173507,ROT_LEFT,2.437999999998283,1.4621620588659425,6.851181610081767,False,True
0,20260901_173507,ROT_LEFT,2.5319999999992433,1.556162058866903,6.575325193312063,False,True
