frame_i,yaw_deg,pose_ok,valid,confidence,model_hash,angle_domain,angle_source,model_det_ok,pos_x_m,pos_z_m,pose_src,pose_n_used,pose_rms_px,keypoint_count,video_frame_i,failure_reason
194,4.433350,1,1,0.939453,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.05223465,3.71142769,pnp_visible_ransac,9,3.068444,9,0,
195,4.448361,1,1,0.939453,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.05398643,3.71645284,pnp_visible_ransac,9,2.975415,9,1,
196,4.618876,1,1,0.939453,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.05617774,3.71571231,pnp_visible_ransac,9,3.123913,9,2,
197,4.576256,1,1,0.938965,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.05523288,3.71268868,pnp_visible_ransac,9,3.111950,9,3,
198,4.168495,1,1,0.938965,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.04731965,3.70484304,pnp_visible_ransac,9,2.903308,9,4,
199,4.445173,1,1,0.938965,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.05193210,3.70896029,pnp_visible_ransac,9,3.043382,9,5,
200,5.550120,1,1,0.940430,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.07524300,3.74197102,pnp_visible_ransac,9,3.227339,9,6,
201,4.303280,1,1,0.939453,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.04849887,3.70329738,pnp_visible_ransac,9,3.003733,9,7,
202,3.126849,1,1,0.939453,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.02253675,3.66643310,pnp_visible_ransac,9,2.762371,9,8,
203,2.975850,1,1,0.938965,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-1.01933658,3.66247082,pnp_visible_ransac,9,2.745022,9,9,
