frame_i,yaw_deg,pose_ok,valid,confidence,model_hash,angle_domain,angle_source,model_det_ok,pos_x_m,pos_z_m,pose_src,pose_n_used,pose_rms_px,keypoint_count,video_frame_i,failure_reason
36,2.993772,1,1,0.699219,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.08923253,4.04070282,pnp_visible_ransac,9,0.541096,9,0,
37,2.045445,1,1,0.583008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.08114534,3.99968314,pnp_visible_ransac,9,1.359524,9,1,
38,2.885945,1,1,0.521484,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.07849463,3.93463039,pnp_visible_ransac,9,0.597399,9,2,
110,1.166483,1,1,0.946777,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.07253023,3.32712603,pnp_visible_ransac,9,0.715892,9,3,
111,1.016905,1,1,0.950195,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.07331628,3.32967544,pnp_visible_ransac,9,0.983858,9,4,
112,0.965197,1,1,0.949707,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.07330891,3.32790732,pnp_visible_ransac,9,0.907900,9,5,
113,1.191563,1,1,0.949219,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.07407215,3.33153224,pnp_visible_ransac,9,0.894847,9,6,
114,1.213161,1,1,0.948730,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.07373752,3.33578825,pnp_visible_ransac,9,0.943576,9,7,
115,1.099962,1,1,0.949219,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.07320026,3.33769441,pnp_visible_ransac,9,1.053535,9,8,
116,1.072631,1,1,0.948730,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.07525001,3.33471966,pnp_visible_ransac,9,0.963008,9,9,
