target_deg,diagnostic_earliest_duration_s
1,1.0520435427423758
2,1.396519545654327
3,1.5154149351725972
5,1.7247663069835502
8,1.9489813563692666
10,2.3294107798750363
12,2.3667629077458714
15,2.4300984676028823
