command_duration_s,predicted_total_rotation_deg
0.0,0.0
0.3279999999977008,0.1606209999999919
0.7339999999999236,0.16672412500000178
0.7649999999994179,0.16672412500000178
1.5149999999998727,2.3439439999999934
1.5159999999996217,3.925048815789485
1.5470000000000255,3.925048815789485
1.719000000000051,4.873172000000011
1.7819999999999254,6.258836000000002
1.7970000000000255,7.637826892857134
1.9209999999984575,7.637826892857134
2.0,8.660353288135584
2.0160000000000764,8.660353288135584
2.030999999999949,9.08359292307692
2.0470000000000255,9.08359292307692
2.0930000000000746,9.09887929000001
2.312999999999988,9.09887929000001
2.3599999999999,11.679663000000005
2.436999999999898,15.326903199999993
2.5,15.326903199999993
2.530999999999949,17.350740909090906
